strategy_id,predictor_id,alpha,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan
R_q90,ridge,0.9,2025-02-01,2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:10:00,0.4248,2532.1822,0.0,2652.636936286267,0.0,442.1061560477111,33.095600000000104,475.2017560477112,28,,1029.1325634551094,607.1021967884428,0.0,0.0,0.0,8801.462273333342,9347.85425044294,9300.0,437.1755129557305,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,0.4245,2492.4439,0.0,2684.7084529826816,0.0,447.4514088304469,46.638997289841086,494.090406120288,28,,1327.4237394536212,833.3333333333333,0.0,0.0,78.68308945362128,9347.85425044294,10097.85425044294,10050.0,563.4913773980622,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,0.4269,2464.3,0.0,2726.51244098962,0.0,454.4187401649366,40.86833333333334,495.28707349826993,28,,495.28707349826993,84.57040683160324,0.0,0.0,0.0,10097.85425044294,10173.967616591384,10050.0,211.43805167641145,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,0.4272,2581.7688,0.0,2718.641189648967,0.0,453.1068649414945,42.4796833333333,495.5865482748278,28,,495.5865482748278,65.29174827482785,0.0,0.0,0.0,10173.967616591384,10232.73019003873,10050.0,211.71457342300644,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,0.4271,2546.4635,0.0,2741.785824668052,0.0,456.964304111342,45.3493666666667,502.3136707780087,28,,502.3136707780087,77.9030874446754,0.0,0.0,0.0,10232.73019003873,10302.842968738938,10050.0,214.5381687892875,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,0.4285,2436.31,0.0,2822.638006962233,0.0,470.43966782703876,62.049999999999955,532.4896678270387,28,,532.4896678270387,126.4380011603721,0.0,0.0,0.0,10302.842968738938,10416.637169783273,10050.0,228.17182266388608,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,0.4311,2620.5011,0.0,2887.390007010456,0.0,481.231667835076,32.94965781189114,514.1813256469671,28,,514.1813256469671,77.43114231363381,0.0,0.0,0.0,10416.637169783273,10486.325197865543,10050.0,221.66356948640754,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,0.4302,2710.7861,0.0,2829.19031659201,0.0,471.53171943200164,31.841183333333333,503.37290276533497,28,,503.37290276533497,51.57521943200169,0.0,0.0,0.0,10486.325197865543,10532.742895354344,10050.0,216.55102276964712,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,0.4279,2676.48,0.0,2748.106186267788,0.0,458.01769771129796,43.15666666666675,501.1743643779647,28,,501.1743643779647,55.09436437796472,0.0,0.0,0.0,10532.742895354344,10582.327823294512,10050.0,214.4525105173311,0.0
R_q90,ridge,0.9,2025-02-01,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,0.4312,2830.598,0.0,2856.7756575278413,0.0,476.1292762546402,44.104016666666666,520.2332929213069,28,,520.2332929213069,48.46695958797358,0.0,0.0,0.0,10582.327823294512,10625.948086923689,10050.0,224.32459590766754,0.0
