month,mean,std,min,max
2025-02,-198.1889058779762,267.7078397636754,-1540.2837392857132,933.2689285714268
2025-03,-131.34740181131596,342.8962474887193,-1989.2930999999999,1486.4467857142854
2025-04,-41.58254754794974,353.13932978268787,-1766.2873750000008,1808.6910714285714
2025-05,68.02293298851126,376.4167376531318,-1704.2736071428562,1914.129642857144
2025-06,218.11511283234128,482.03241723281013,-1965.0611142857151,2696.1385714285734
2025-07,257.7118049403162,410.51325441423927,-1504.4762964285696,1877.528928571428
2025-08,-115.66987776017665,397.54603766907223,-2242.865839285714,2170.607160714283
2025-09,-292.6241192691799,434.01899915148215,-1863.783928571428,1393.8723785714283
2025-10,-42.63106068388377,345.4529424960488,-2030.6200607142855,1518.0971428571447
2025-11,66.01562475611773,233.74673902620455,-1090.9763321428563,1368.7073892857152
2025-12,168.22840101206478,284.43501318933517,-894.707417857142,1586.9342428571435
