周次,总供货量(m³),满足率(%),达标概率(%),达标
1,27032,95.86,73.71,✗
2,27749,98.4,85.75,✗
3,28488,101.02,92.56,✓
4,28452,100.89,92.52,✓
5,28974,102.74,95.47,✓
6,28371,100.61,91.11,✓
7,28451,100.89,92.03,✓
8,28854,102.32,95.14,✓
9,28916,102.54,95.19,✓
10,28874,102.39,94.95,✓
11,28380,100.64,90.81,✓
12,28523,101.14,91.71,✓
13,28536,101.19,92.21,✓
14,28624,101.5,92.7,✓
15,28731,101.88,93.4,✓
16,28463,100.93,91.31,✓
17,29030,102.94,95.94,✓
18,28947,102.65,95.17,✓
19,28583,101.36,91.75,✓
20,28527,101.16,91.68,✓
21,28971,102.73,95.52,✓
22,28538,101.2,91.45,✓
23,29006,102.86,95.81,✓
24,28655,101.61,92.97,✓
