供应商ID,材料类别,有效周数,F1_周均供货量,F2_周均缺失量,F3_供货达标率,F4_供货偏差均方,贴近度C,排名
S229,A,240,1560.45,28.8875,0.9458333333333333,426146.1875,0.9520563344154591,1
S361,C,240,1458.0833333333333,28.8125,0.9125,404296.32916666666,0.9166447138948564,2
S108,B,240,1037.5333333333333,128.02083333333334,0.95,932185.75,0.8476612809108044,3
S140,B,220,1117.55,480.2181818181818,0.9045454545454545,7389303.377272727,0.8404243415792979,4
S282,A,240,794.3,1.8458333333333334,0.9708333333333333,168451.51666666666,0.7967509795672032,5
S340,B,240,752.5583333333333,5.595833333333333,0.9458333333333333,80041.60833333334,0.7811594832560835,6
S151,C,240,734.7625,185.325,0.95,1806080.5583333333,0.7775311803983326,7
S275,A,240,695.7583333333333,3.1083333333333334,0.95,68670.275,0.770089571012521,8
S329,A,240,687.5208333333334,3.6458333333333335,0.9458333333333333,65289.1375,0.7671743844424128,9
S395,A,84,828.8690476190476,287.3690476190476,0.8690476190476191,1669425.357142857,0.7663909534110656,10
S139,B,224,631.5,99.66964285714286,0.9598214285714286,1351044.34375,0.7586495859908196,11
S356,C,240,602.0625,13.3375,0.9458333333333333,89430.075,0.7493762004594736,12
S131,B,240,603.1458333333334,10.516666666666667,0.9333333333333333,55386.65833333333,0.7459274884605672,13
S268,C,240,570.2625,2.808333333333333,0.95,45602.49166666667,0.7441311770575635,14
S330,B,240,601.375,120.94166666666666,0.9291666666666667,945153.9333333333,0.743752920354195,15
S308,B,240,599.3708333333333,185.25,0.9208333333333333,1191722.4791666667,0.740347294957353,16
S306,C,240,561.2708333333334,3.5625,0.9416666666666667,49870.4,0.7399858233345261,17
S194,C,240,445.8666666666667,4.075,0.9541666666666667,28658.9625,0.7210492881059195,18
S307,A,172,368.66279069767444,132.42441860465115,0.9651162790697675,825865.3139534884,0.7090958314613479,19
S352,A,240,394.8541666666667,4.183333333333334,0.9291666666666667,30076.895833333332,0.7043895862449667,20
