区域,新增快充,新增慢充,新增总桩数,新增快充成本_万元,新增慢充成本_万元,新增总成本_万元,新增接入功率_kW,新增压力_raw,新增压力_pct,建设后覆盖率_raw,建设后覆盖率_pct,建设后服务能力_车次日,规划需求车次日,服务裕度_车次日
1,15,10,25,90,8,98,1870,0.005753846154,0.5753846154,0.9015110921,90.15110921,13440.0,1101.3714285714284,12338.628571428571
2,25,16,41,150,12.8,162.8,3112,0.01044295302,1.044295302,0.9402445508,94.02445508,13420.0,1133.7357142857143,12286.264285714286
3,10,6,16,60,4.8,64.8,1242,0.0045,0.45,0.9027276167,90.27276167,10160.0,991.9571428571428,9168.042857142857
4,89,58,147,534,46.4,580.4,11086,0.03149431818,3.149431818,0.9037640383,90.37640383,18460.0,1559.2357142857143,16900.764285714286
5,96,63,159,576,50.4,626.4,11961,0.05316,5.316,0.9160573093,91.60573093,16020.0,1244.9571428571428,14775.042857142857
6,29,18,47,174,14.4,188.4,3606,0.01170779221,1.170779221,0.9046429655,90.46429655,11540.0,1156.5714285714284,10383.428571428572
7,117,78,195,702,62.4,764.4,14586,0.07841935484,7.841935484,0.9013512547,90.13512547,15120.0,692.7928571428571,14427.207142857143
8,94,62,156,564,49.6,613.6,11714,0.0459372549,4.59372549,0.906840577,90.6840577,14260.0,1071.3071428571427,13188.692857142858
9,138,92,230,828,73.6,901.6,17204,0.1131842105,11.31842105,0.9052708724,90.52708724,16520.0,1324.6357142857141,15195.364285714286
10,21,13,34,126,10.4,136.4,2611,0.01273658537,1.273658537,0.9014472075,90.14472075,6880.0,847.2214285714284,6032.778571428572
全市,634,416,1050,3804,332.8,4136.8,78992,0.03673363152,3.673363152,0.9061176052,90.61176052,,,
