区域,区域面积_km2,现有覆盖面积_km2,原覆盖率_raw,原覆盖率_pct,现有快充数,现有慢充数,现有总桩数,单桩平均覆盖面积_km2,工作日充电车次,周末充电车次,2025加权日均车次,2026规划车次需求,电网容量_kW,快充成本_万元,慢充成本_万元,快充服务能力_车次日,慢充服务能力_车次日
1,17.36,14.02,0.8076036866,80.76036866,129,86,215,0.06520930233,874,1167,957.7142857,1101.371429,325000,6,0.8,80,20
2,14.25,11.1,0.7789473684,77.89473684,119,79,198,0.05606060606,929,1128,985.8571429,1133.735714,298000,6,0.8,80,20
3,17.62,14.5,0.8229284904,82.29284904,99,66,165,0.08787878788,788,1049,862.5714286,991.9571429,276000,6,0.8,80,20
4,110.07,55.03,0.4999545744,49.99545744,109,73,182,0.3023626374,1301,1493,1355.857143,1559.235714,352000,6,0.8,80,20
5,80.1,32.44,0.4049937578,40.49937578,76,50,126,0.2574603175,756,1899,1082.571429,1244.957143,225000,6,0.8,80,20
6,60.08,41.89,0.6972370173,69.72370173,95,63,158,0.2651265823,930,1195,1005.714286,1156.571429,308000,6,0.8,80,20
7,139.87,35.02,0.2503753485,25.03753485,45,30,75,0.4669333333,557,716,602.4285714,692.7928571,186000,6,0.8,80,20
8,120.04,42,0.3498833722,34.98833722,59,39,98,0.4285714286,985,798,931.5714286,1071.307143,255000,6,0.8,80,20
9,131.2,26.17,0.1994664634,19.94664634,39,26,65,0.4026153846,781,2079,1151.857143,1324.635714,152000,6,0.8,80,20
10,22.3,14.5,0.6502242152,65.02242152,53,35,88,0.1647727273,653,946,736.7142857,847.2214286,205000,6,0.8,80,20
