strategy_id,alpha,date,slot,nominal_charge_kWh,nominal_discharge_kWh,nominal_unused_kWh,nominal_binary_mode,nominal_state_start_kWh,nominal_state_end_kWh,nominal_planned_cost_yuan
P1_q75,0.75,2025-02-01,0,553.9308074073981,0.0,0.0,0.9999999999999984,8801.462273333342,9300.0,428.06698913780406
P1_q75,0.75,2025-02-01,1,833.3333333333333,0.0,0.0,1.0,9300.0,10050.0,548.1391817551333
P1_q75,0.75,2025-02-01,2,0.0,0.0,0.0,-0.0,10050.0,10050.0,202.12509327195713
P1_q75,0.75,2025-02-01,3,0.0,0.0,0.0,0.0,10050.0,10050.0,200.33120933720858
P1_q75,0.75,2025-02-01,4,0.0,0.0,0.0,0.0,10050.0,10050.0,201.17552649626384
P1_q75,0.75,2025-02-01,5,0.0,0.0,0.0,0.0,10050.0,10050.0,213.38100626662663
P1_q75,0.75,2025-02-01,6,0.0,0.0,0.0,0.0,10050.0,10050.0,213.14549388218578
P1_q75,0.75,2025-02-01,7,0.0,0.0,0.0,0.0,10050.0,10050.0,201.38989680046592
P1_q75,0.75,2025-02-01,8,0.0,0.0,0.0,0.0,10050.0,10050.0,205.83994334568962
P1_q75,0.75,2025-02-01,9,0.0,0.0,0.0,0.0,10050.0,10050.0,211.594687346375
P1_q75,0.75,2025-02-01,10,0.0,0.0,0.0,0.0,10050.0,10050.0,220.71772551380812
P1_q75,0.75,2025-02-01,11,0.0,0.0,0.0,0.0,10050.0,10050.0,226.95877366720575
P1_q75,0.75,2025-02-01,12,0.0,0.0,0.0,0.0,10050.0,10050.0,212.90567134219862
P1_q75,0.75,2025-02-01,13,0.0,0.0,0.0,0.0,10050.0,10050.0,220.01545327832224
P1_q75,0.75,2025-02-01,14,0.0,0.0,0.0,0.0,10050.0,10050.0,227.80928282101553
P1_q75,0.75,2025-02-01,15,0.0,0.0,0.0,0.0,10050.0,10050.0,222.4424720197436
P1_q75,0.75,2025-02-01,16,0.0,0.0,0.0,0.0,10050.0,10050.0,229.36207824365067
P1_q75,0.75,2025-02-01,17,0.0,0.0,0.0,0.0,10050.0,10050.0,240.30926178583192
P1_q75,0.75,2025-02-01,18,0.0,0.0,0.0,0.0,10050.0,10050.0,233.34818473984143
P1_q75,0.75,2025-02-01,19,0.0,0.0,0.0,0.0,10050.0,10050.0,236.4914761320614
P1_q75,0.75,2025-02-01,20,0.0,0.0,0.0,0.0,10050.0,10050.0,231.67293596645325
P1_q75,0.75,2025-02-01,21,0.0,0.0,0.0,0.0,10050.0,10050.0,224.2569332510398
P1_q75,0.75,2025-02-01,22,0.0,0.0,0.0,0.0,10050.0,10050.0,228.38428142160404
P1_q75,0.75,2025-02-01,23,0.0,0.0,0.0,0.0,10050.0,10050.0,242.96863025929636
P1_q75,0.75,2025-02-01,24,0.0,0.0,0.0,0.0,10050.0,10050.0,240.99285286261937
P1_q75,0.75,2025-02-01,25,0.0,0.0,0.0,0.0,10050.0,10050.0,241.07139876121158
P1_q75,0.75,2025-02-01,26,0.0,0.0,0.0,0.0,10050.0,10050.0,244.55479216247682
P1_q75,0.75,2025-02-01,27,0.0,0.0,0.0,0.0,10050.0,10050.0,245.56682598911226
P1_q75,0.75,2025-02-01,28,0.0,0.0,0.0,0.0,10050.0,10050.0,248.73423454439293
P1_q75,0.75,2025-02-01,29,0.0,0.0,0.0,0.0,10050.0,10050.0,242.40190730149826
P1_q75,0.75,2025-02-01,30,0.0,0.0,0.0,0.0,10050.0,10050.0,247.82462232818398
P1_q75,0.75,2025-02-01,31,0.0,0.0,0.0,0.0,10050.0,10050.0,262.84722253268745
P1_q75,0.75,2025-02-01,32,0.0,0.0,0.0,0.0,10050.0,10050.0,253.10245310937876
P1_q75,0.75,2025-02-01,33,833.3333333333333,0.0,0.0,1.0,10050.0,10800.0,523.0122667560721
P1_q75,0.75,2025-02-01,34,0.0,70.07244246271402,0.0,0.0,10800.0,10722.141730596984,281.1579750678403
P1_q75,0.75,2025-02-01,35,0.0,553.0387180429045,0.0,0.0,10722.141730596984,10107.654266104868,0.0
P1_q75,0.75,2025-02-01,36,0.0,572.0485133066925,0.0,0.0,10107.654266104868,9472.04480687521,0.0
P1_q75,0.75,2025-02-01,37,0.0,566.4160871819861,0.0,0.0,9472.04480687521,8842.693598895226,0.0
P1_q75,0.75,2025-02-01,38,0.0,564.9805551140412,0.0,0.0,8842.693598895226,8214.937426546292,0.0
P1_q75,0.75,2025-02-01,39,0.0,570.1874319210536,0.0,0.0,8214.937426546292,7581.3958355229,0.0
P1_q75,0.75,2025-02-01,40,0.0,592.709749831487,0.0,0.0,7581.3958355229,6922.829446821247,0.0
P1_q75,0.75,2025-02-01,41,0.0,605.4558016275537,0.0,0.0,6922.829446821247,6250.100778346187,0.0
P1_q75,0.75,2025-02-01,42,0.0,568.4457026144299,0.0,0.0,6250.100778346187,5618.494442107932,0.0
P1_q75,0.75,2025-02-01,43,0.0,511.6841405566769,0.0,0.0,5618.494442107932,5049.956508156069,0.0
P1_q75,0.75,2025-02-01,44,0.0,462.3732886148351,0.0,0.0,5049.956508156069,4536.20840969514,0.0
P1_q75,0.75,2025-02-01,45,0.0,427.96777270730115,0.0,0.0,4536.20840969514,4060.688662242583,0.0
P1_q75,0.75,2025-02-01,46,0.0,368.693814654118,0.0,0.0,4060.688662242583,3651.0288681824522,0.0
P1_q75,0.75,2025-02-01,47,0.0,336.3287652007299,0.0,0.0,3651.0288681824522,3277.3302401816413,0.0
P1_q75,0.75,2025-02-01,48,0.0,287.9647758888189,0.0,0.0,3277.3302401816413,2957.3693780829535,0.0
P1_q75,0.75,2025-02-01,49,0.0,218.07873675126498,0.0,0.0,2957.3693780829535,2715.059670581548,0.0
P1_q75,0.75,2025-02-01,50,0.0,185.12279052354225,0.0,0.0,2715.059670581548,2509.3676811109453,0.0
P1_q75,0.75,2025-02-01,51,0.0,116.25794908007113,0.0,0.0,2509.3676811109453,2380.1921821330884,0.0
P1_q75,0.75,2025-02-01,52,0.0,119.10581511174021,0.0,0.0,2380.1921821330884,2247.8523875644883,0.0
P1_q75,0.75,2025-02-01,53,0.0,145.77976762319318,0.0,0.0,2247.8523875644883,2085.8748679831624,0.0
P1_q75,0.75,2025-02-01,54,0.0,102.08565978238887,0.0,0.0,2085.8748679831624,1972.4463571138415,0.0
P1_q75,0.75,2025-02-01,55,0.0,17.558966619187782,0.0,0.0,1972.4463571138415,1952.9363942036327,0.0
P1_q75,0.75,2025-02-01,56,19.051787698932998,0.0,0.0,1.0,1952.9363942036327,1970.0830031326725,0.0
P1_q75,0.75,2025-02-01,57,59.463393071721356,0.0,0.0,1.0,1970.0830031326725,2023.6000568972217,0.0
P1_q75,0.75,2025-02-01,58,71.58103837103329,0.0,0.0,1.0,2023.6000568972217,2088.0229914311517,0.0
P1_q75,0.75,2025-02-01,59,128.71063769336462,0.0,0.0,1.0,2088.0229914311517,2203.86256535518,0.0
P1_q75,0.75,2025-02-01,60,157.89472785440955,0.0,0.0,1.0,2203.86256535518,2345.9678204241486,0.0
P1_q75,0.75,2025-02-01,61,220.2264023408652,0.0,0.0,1.0,2345.9678204241486,2544.1715825309275,0.0
P1_q75,0.75,2025-02-01,62,227.5256391665933,0.0,0.0,1.0,2544.1715825309275,2748.9446577808612,0.0
P1_q75,0.75,2025-02-01,63,253.98003149900478,0.0,0.0,1.0,2748.9446577808612,2977.5266861299656,0.0
P1_q75,0.75,2025-02-01,64,246.8239100844333,0.0,0.0,1.0,2977.5266861299656,3199.6682052059555,0.0
P1_q75,0.75,2025-02-01,65,273.81931299441305,0.0,0.0,1.0,3199.6682052059555,3446.1055869009274,0.0
P1_q75,0.75,2025-02-01,66,283.50935015822597,0.0,0.0,1.0,3446.1055869009274,3701.264002043331,0.0
P1_q75,0.75,2025-02-01,67,316.56370101771745,0.0,0.0,1.0,3701.264002043331,3986.1713329592767,0.0
P1_q75,0.75,2025-02-01,68,282.90840341004593,0.0,0.0,1.0,3986.1713329592767,4240.788896028318,0.0
P1_q75,0.75,2025-02-01,69,292.50455432577667,0.0,0.0,1.0,4240.788896028318,4504.042994921517,0.0
P1_q75,0.75,2025-02-01,70,314.6402691963232,0.0,0.0,1.0,4504.042994921517,4787.219237198207,0.0
P1_q75,0.75,2025-02-01,71,833.3333333333333,0.0,0.0,1.0,4787.219237198207,5537.219237198207,226.0527719824174
P1_q75,0.75,2025-02-01,72,833.3333333333333,0.0,0.0,1.0,5537.219237198207,6287.219237198207,235.38736634739837
P1_q75,0.75,2025-02-01,73,833.3333333333333,0.0,0.0,1.0,6287.219237198207,7037.219237198207,242.33441927270917
P1_q75,0.75,2025-02-01,74,833.3333333333333,0.0,0.0,1.0,7037.219237198207,7787.219237198207,248.37607579696217
P1_q75,0.75,2025-02-01,75,833.3333333333333,0.0,0.0,1.0,7787.219237198207,8537.219237198207,223.99552264705824
P1_q75,0.75,2025-02-01,76,267.7137457317449,0.0,0.0,1.0,8537.219237198207,8778.161608356777,0.0
P1_q75,0.75,2025-02-01,77,262.4736929363089,0.0,0.0,1.0,8778.161608356777,9014.387931999456,0.0
P1_q75,0.75,2025-02-01,78,258.2336957035896,0.0,0.0,1.0,9014.387931999456,9246.798258132687,0.0
P1_q75,0.75,2025-02-01,79,270.14452745414064,0.0,0.0,1.0,9246.798258132687,9489.928332841413,0.0
P1_q75,0.75,2025-02-01,80,232.1463304034653,0.0,0.0,1.0,9489.928332841413,9698.860030204532,0.0
P1_q75,0.75,2025-02-01,81,231.8999909308049,0.0,0.0,1.0,9698.860030204532,9907.570022042257,0.0
P1_q75,0.75,2025-02-01,82,207.13656913586243,0.0,0.0,1.0,9907.570022042257,10093.992934264534,0.0
P1_q75,0.75,2025-02-01,83,153.15146646377528,0.0,0.0,1.0,10093.992934264534,10231.829254081931,0.0
P1_q75,0.75,2025-02-01,84,168.31024096630335,0.0,0.0,1.0,10231.829254081931,10383.308470951604,0.0
P1_q75,0.75,2025-02-01,85,167.03790661102448,0.0,0.0,1.0,10383.308470951604,10533.642586901526,0.0
P1_q75,0.75,2025-02-01,86,142.1367074566839,0.0,0.0,1.0,10533.642586901526,10661.565623612541,0.0
P1_q75,0.75,2025-02-01,87,93.64748247251539,0.0,0.0,1.0,10661.565623612541,10745.848357837805,0.0
P1_q75,0.75,2025-02-01,88,54.28360717109845,0.0,0.0,1.0,10745.848357837805,10794.703604291793,0.0
P1_q75,0.75,2025-02-01,89,5.884884120228669,0.0,0.0,1.0,10794.703604291793,10800.0,0.0
P1_q75,0.75,2025-02-01,90,0.0,-0.0,0.0,0.0,10800.0,10800.0,24.34206349806366
P1_q75,0.75,2025-02-01,91,0.0,-0.0,0.0,0.0,10800.0,10800.0,61.917257435492765
P1_q75,0.75,2025-02-01,92,0.0,-0.0,0.0,0.0,10800.0,10800.0,95.82535768097289
P1_q75,0.75,2025-02-01,93,0.0,-0.0,0.0,0.0,10800.0,10800.0,133.55430909502743
P1_q75,0.75,2025-02-01,94,0.0,-0.0,0.0,0.0,10800.0,10800.0,166.64146326012633
P1_q75,0.75,2025-02-01,95,0.0,-0.0,0.0,0.0,10800.0,10800.0,213.9424567879746
P1_q75,0.75,2025-02-01,96,0.0,-0.0,0.0,0.0,10800.0,10800.0,244.96277918628854
P1_q75,0.75,2025-02-01,97,0.0,-0.0,0.0,0.0,10800.0,10800.0,299.33753236671726
P1_q75,0.75,2025-02-01,98,0.0,-0.0,0.0,0.0,10800.0,10800.0,375.6779079262282
P1_q75,0.75,2025-02-01,99,0.0,-0.0,0.0,0.0,10800.0,10800.0,408.80438351854696
P1_q75,0.75,2025-02-01,100,0.0,-0.0,0.0,0.0,10800.0,10800.0,397.4640624057913
P1_q75,0.75,2025-02-01,101,0.0,-0.0,0.0,0.0,10800.0,10800.0,384.70614528353394
P1_q75,0.75,2025-02-01,102,0.0,-0.0,0.0,0.0,10800.0,10800.0,424.1100289938406
