province,emission_total_mtco2,industrial_emission_mtco2,nonindustrial_emission_mtco2,industrial_share,mapped_sector_count,unmapped_sector_count,sector_sum_mtco2,total_minus_sector_sum,mapping_note
宁夏,247.423050285139,240.87124341567213,6.551806869466873,0.9735198201545234,38,0,247.42305028513871,2.8421709430404007e-13,Total-SumSectors=0.00
山西,629.336654408677,597.1463526121211,32.1903017965559,0.9488504259666842,38,0,629.3366544086767,2.2737367544323206e-13,Total-SumSectors=0.00
内蒙古,878.769744615783,830.7696807517098,48.00006386407324,0.9453781105253459,38,0,878.7697446157836,-5.684341886080801e-13,Total-SumSectors=-0.00
河北,862.273721856768,801.8498012440981,60.42392061266992,0.9299248961425419,38,0,862.273721856767,1.0231815394945443e-12,Total-SumSectors=0.00
新疆,524.476393687672,485.3605594417698,39.11583424590225,0.9254192663069677,38,0,524.4763936876716,4.547473508864641e-13,Total-SumSectors=0.00
陕西,365.526129061286,335.0910789243005,30.435050136985467,0.9167363213810563,38,0,365.52612906128587,1.1368683772161603e-13,Total-SumSectors=0.00
江苏,821.345905674838,745.8776497629799,75.46825591185814,0.9081163546437215,38,0,821.3459056748379,1.1368683772161603e-13,Total-SumSectors=0.00
山东,920.905304452066,833.5137684862419,87.39153596582412,0.9051025816190497,38,0,920.9053044520666,-5.684341886080801e-13,Total-SumSectors=-0.00
吉林,186.839588764021,167.72005610377724,19.11953266024375,0.8976687286312122,38,0,186.83958876402195,-9.663381206337363e-13,Total-SumSectors=-0.00
广西,279.107504323731,248.85533190046482,30.252172423266188,0.8916110389200524,38,0,279.1075043237314,-3.979039320256561e-13,Total-SumSectors=-0.00
安徽,441.077218568729,391.38007154885196,49.697147019877036,0.8873277854133081,38,0,441.07721856872865,3.410605131648481e-13,Total-SumSectors=0.00
福建,299.219512343733,261.92852043290907,37.29099191082395,0.8753724594404614,38,0,299.2195123437325,5.115907697472721e-13,Total-SumSectors=0.00
辽宁,525.713479151335,459.4260435263105,66.28743562502456,0.8739095757406999,38,0,525.7134791513346,4.547473508864641e-13,Total-SumSectors=0.00
甘肃,195.741193567455,169.7036719120717,26.0375216553833,0.8669798565093023,38,0,195.74119356745484,1.7053025658242404e-13,Total-SumSectors=0.00
浙江,460.894579359081,393.6476214676978,67.2469578913832,0.8540947086318597,38,0,460.89457935908183,-8.526512829121202e-13,Total-SumSectors=-0.00
江西,223.645074946473,186.33395116326778,37.311123783205204,0.8331681402233642,38,0,223.64507494647282,1.7053025658242404e-13,Total-SumSectors=0.00
广东,619.353860410031,510.891931067412,108.46192934261899,0.8248788999703435,38,0,619.3538604100313,-3.410605131648481e-13,Total-SumSectors=-0.00
天津,152.678504319368,125.53504111830584,27.143463201062147,0.8222181745749597,38,0,152.6785043193685,-5.115907697472721e-13,Total-SumSectors=-0.00
黑龙江,273.293395891859,221.2984964488224,51.994899443036616,0.809746959770624,38,0,273.29339589185884,1.7053025658242404e-13,Total-SumSectors=0.00
河南,528.975824777069,426.2023872416703,102.77343753539867,0.8057124111887128,38,0,528.9758247770686,3.410605131648481e-13,Total-SumSectors=0.00
云南,220.046746229424,173.51376812713232,46.53297810229168,0.7885313966252621,38,0,220.04674622942352,4.831690603168681e-13,Total-SumSectors=0.00
重庆,162.055223095746,127.31820903627437,34.73701405947162,0.7856470566274301,38,0,162.0552230957456,3.979039320256561e-13,Total-SumSectors=0.00
湖北,372.810249713111,286.2218376812213,86.58841203188967,0.7677413319550036,38,0,372.8102497131113,-3.410605131648481e-13,Total-SumSectors=-0.00
青海,55.3334344741701,41.777656462420026,13.555778011750071,0.7550165078208191,38,0,55.3334344741701,0.0,Total-SumSectors=0.00
海南,44.6919345401215,33.06856190707083,11.623372633050671,0.7399223651279636,38,0,44.69193454012146,4.263256414560601e-14,Total-SumSectors=0.00
四川,307.863676214341,225.61871113141075,82.24496508293026,0.7328526505813904,38,0,307.86367621434084,1.7053025658242404e-13,Total-SumSectors=0.00
贵州,251.866531099655,179.5500013272102,72.3165297724448,0.712877572670298,38,0,251.86653109965482,1.7053025658242404e-13,Total-SumSectors=0.00
湖南,307.058038080964,213.70137075683698,93.35666732412705,0.6959640988147293,38,0,307.0580380809641,-5.684341886080802e-14,Total-SumSectors=-0.00
上海,178.588614209177,117.88026403780052,60.70835017137648,0.6600659541471658,38,0,178.58861420917742,-4.263256414560601e-13,Total-SumSectors=-0.00
北京,71.5544670473354,34.853013210589026,36.70145383674637,0.4870836811282897,38,0,71.55446704733544,-4.263256414560601e-14,Total-SumSectors=-0.00
