date,interval,planned_kWh,emergency_kWh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,480.28788333333335,0.0
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,428.9967666666667,0.0
2025-03-20,18:00-18:10,697.4002166666667,0.0
2025-03-20,20:00-20:10,0.0,0.0
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,118.12294999999996,0.0
2025-06-21,18:00-18:10,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,422.5404166666665,0.0
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,548.0609,0.0
2025-09-23,18:00-18:10,764.1748666666667,0.0
2025-09-23,20:00-20:10,0.0,0.0
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,886.9195833333332,0.0
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,781.0102166666666,0.0
2025-12-21,18:00-18:10,720.8249333333333,0.0
2025-12-21,20:00-20:10,0.0,0.0
