date,S0_L75,S2_load_q75,delta_yuan,emergency_kWh_S2
2025-02-01,21642.017529074783,21514.48312020867,-127.53440886611133,0.0
2025-02-02,56778.58109573036,57216.86420168268,438.28310595231596,220.46050763097867
2025-02-03,57122.70811164932,57197.90607284528,75.1979611959614,0.0
2025-02-04,57604.82890856326,57569.57789881202,-35.25100975123496,0.0
2025-02-05,55836.377865082875,56483.934846812284,647.556981729409,0.0
2025-02-06,56949.2590557258,57115.37300623611,166.11395051030559,28.087841500901618
2025-02-07,22468.966391074755,22509.08380573276,40.117414658005146,33.297520971518026
2025-02-08,19672.486214897355,19818.996863395874,146.510648498519,0.0
2025-02-09,56281.39099863463,56368.21846614781,86.82746751317609,0.0
2025-02-10,52396.28044018855,52368.63838983125,-27.64205035730265,0.0
2025-02-11,52923.612549071986,52922.102964015634,-1.5095850563520798,6.141805166023005
2025-02-12,52597.81823977916,52686.32083914806,88.50259936889779,0.12571503963624764
2025-02-13,50108.40098119838,49884.74190926371,-223.65907193467137,0.0
2025-02-14,20372.110144928833,20580.142293207587,208.0321482787549,0.0
2025-02-15,19284.28670689138,19077.032211796624,-207.25449509475584,80.40678316268293
2025-02-16,54277.78968479925,53651.17523064322,-626.6144541560352,28.105982110894956
2025-02-17,50464.65284329209,50409.33640139028,-55.316441901806684,35.68709918399263
2025-02-18,48909.647901907476,49636.0338072041,726.3859052966218,7.790769390250489
2025-02-19,50817.965907835125,49965.05179766716,-852.9141101679634,374.4092573797814
2025-02-20,49367.1803373338,49658.526065572165,291.3457282383679,45.86703618594322
2025-02-21,18140.548313444462,18475.561690100207,335.01337665574465,0.0
2025-02-22,18275.90655741922,18839.405054683597,563.498497264376,0.0
2025-02-23,48265.78511695865,48963.18896200098,697.4038450423323,75.33311920850034
2025-02-24,46922.902123811684,47485.77945197277,562.8773281610847,54.06165384964879
2025-02-25,46587.15570086514,46518.83029208703,-68.32540877811698,68.46735109165036
2025-02-26,46910.926332484516,47253.583336277814,342.6570037932979,30.844311081885166
2025-02-27,45642.60529253673,45642.231920435355,-0.373372101377754,22.162679463057884
2025-02-28,17562.040570193847,18179.85263321773,617.8120630238845,0.0
2025-03-01,18725.83572798635,18989.29502129522,263.45929330887157,0.0
2025-03-02,51534.9189049852,49916.01349961072,-1618.9054053744767,171.8270407368132
2025-03-03,50579.92407140556,50234.855290908934,-345.0687804966292,100.44596990581074
2025-03-04,46482.52610868084,46600.54746177734,118.02135309650475,0.6247333333333245
2025-03-05,46155.7313873682,46219.3517196922,63.62033232399699,6.6182999999999765
2025-03-06,44176.03425217324,44620.03560354354,444.00135137030156,0.0
2025-03-07,17209.653194568134,17367.5963381208,157.94314355266397,0.0
2025-03-08,16438.89697669212,16617.70937323548,178.8123965433624,0.0
2025-03-09,44233.53712143577,44467.34028873363,233.8031672978541,0.0
2025-03-10,45474.183749684344,46079.60240449404,605.4186548096986,0.0
2025-03-11,44367.182338089646,44727.7031277027,360.52078961305233,0.0
2025-03-12,43380.98230276142,43544.11482894495,163.13252618353,0.0
2025-03-13,46248.63075630824,46286.932992203285,38.30223589504749,4.914969434159912
2025-03-14,16810.431005301587,17120.246734632463,309.8157293308759,0.0
2025-03-15,16350.964408014155,16643.330494713035,292.36608669887937,0.0
2025-03-16,43727.67232741379,43900.166467470845,172.4941400570533,1.6399999999999864
