group,interval_start,interval_end,owner_date,effective_version,price_yuan_kWh,actual_load_kW,actual_pv_kW,net_kWh,q0_kWh,q_eff_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
Q43,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-19,2025-03-19 12:00,0.4495,3410.51,0.0,568.4183333333333,0.0,0.0,0.0,568.4183333333333,0.0,0.0,2852.911395410464,2221.3354694845384,0.0,0.0,0.0,0.0
Q43,2025-03-20 00:10:00,2025-03-20 00:20:00,2025-03-20,2025-03-20 00:00,0.4487,3299.0689,0.0,549.8448166666667,598.9244615470104,598.9244615470104,49.07964488034372,0.0,0.0,0.0,2221.3354694845384,2265.507149876848,268.73740589614357,0.0,0.0,268.73740589614357
Q43,2025-03-20 00:20:00,2025-03-20 00:30:00,2025-03-20,2025-03-20 00:00,0.4373,3421.881,0.0,570.3135,992.6212395732127,992.6212395732127,422.30773957321276,0.0,0.0,0.0,2265.507149876848,2645.5841154927393,434.07326806536594,0.0,0.0,434.07326806536594
Q43,2025-03-20 00:30:00,2025-03-20 00:40:00,2025-03-20,2025-03-20 00:00,0.4311,3683.11,0.0,613.8516666666667,1423.5854735331445,1423.5854735331445,809.7338068664778,0.0,0.0,0.0,2645.5841154927393,3374.3445416725694,613.7076976401386,0.0,0.0,613.7076976401386
Q43,2025-03-20 00:40:00,2025-03-20 00:50:00,2025-03-20,2025-03-20 00:00,0.4344,3476.737,0.0,579.4561666666666,1428.506378349246,1428.506378349246,833.3333333333334,0.0,0.0,15.71687834924603,3374.3445416725694,4124.34454167257,620.5431707549125,0.0,0.0,620.5431707549125
Q43,2025-03-20 00:50:00,2025-03-20 01:00:00,2025-03-20,2025-03-20 00:00,0.4238,3302.6695,0.0,550.4449166666666,1434.2092951527284,1434.2092951527284,833.3333333333334,0.0,0.0,50.431045152728416,4124.34454167257,4874.34454167257,607.8178992857263,0.0,0.0,607.8178992857263
Q43,2025-03-20 01:00:00,2025-03-20 01:10:00,2025-03-20,2025-03-20 00:00,0.4296,3426.94,0.0,571.1566666666666,1431.649388801448,1431.649388801448,833.3333333333334,0.0,0.0,27.159388801447903,4874.34454167257,5624.34454167257,615.036577429102,0.0,0.0,615.036577429102
Q43,2025-03-20 01:10:00,2025-03-20 01:20:00,2025-03-20,2025-03-20 00:00,0.4989,3609.5343,0.0,601.5890499999999,597.872223787549,597.872223787549,0.0,3.716826212450883,0.0,0.0,5624.34454167257,5620.2147347698465,298.27845244760823,0.0,0.0,298.27845244760823
Q43,2025-03-20 01:20:00,2025-03-20 01:30:00,2025-03-20,2025-03-20 00:00,0.5083,3668.9025,0.0,611.48375,594.0289596091945,594.0289596091945,0.0,17.454790390805442,0.0,0.0,5620.2147347698465,5600.820523224507,301.94492016935357,0.0,0.0,301.94492016935357
Q43,2025-03-20 01:30:00,2025-03-20 01:40:00,2025-03-20,2025-03-20 00:00,0.4468,3589.3,0.0,598.2166666666667,579.7397909004395,579.7397909004395,0.0,18.47687576622718,0.0,0.0,5600.820523224507,5580.290661262033,259.02773857431634,0.0,0.0,259.02773857431634
Q43,2025-03-20 01:40:00,2025-03-20 01:50:00,2025-03-20,2025-03-20 00:00,0.4284,3503.6157,0.0,583.9359499999999,1416.0465659867596,1416.0465659867596,832.1106159867596,0.0,0.0,0.0,5580.290661262033,6329.190215650116,606.6343488687278,0.0,0.0,606.6343488687278
Q43,2025-03-20 01:50:00,2025-03-20 02:00:00,2025-03-20,2025-03-20 00:00,0.4436,3545.9703,0.0,590.99505,597.5551074156919,597.5551074156919,6.560057415691858,0.0,0.0,0.0,6329.190215650116,6335.094267324239,265.0754456496009,0.0,0.0,265.0754456496009
Q43,2025-03-20 02:00:00,2025-03-20 02:10:00,2025-03-20,2025-03-20 00:00,0.454,3590.66,0.0,598.4433333333333,618.6201895341919,618.6201895341919,20.17685620085865,0.0,0.0,0.0,6335.094267324239,6353.253437905012,280.85356604852313,0.0,0.0,280.85356604852313
Q43,2025-03-20 02:10:00,2025-03-20 02:20:00,2025-03-20,2025-03-20 00:00,0.4404,3395.9017,0.0,565.9836166666666,602.6298698247585,602.6298698247585,36.646253158091895,0.0,0.0,0.0,6353.253437905012,6386.235065747294,265.39819467082367,0.0,0.0,265.39819467082367
