group,date,start_hour,end_hour,charge_kWh,discharge_kWh
Q42,2025-03-20,0,4,6396.937824029003,671.849153214949
Q42,2025-03-20,4,8,3681.0708987649823,4766.219238738335
Q42,2025-03-20,8,12,5456.086223061534,3265.5568
Q42,2025-03-20,12,16,4358.674051101722,363.30870516409755
Q42,2025-03-20,16,20,232.35925522664775,6517.409077894856
Q42,2025-03-20,20,24,1306.9420464770706,2891.6455714432996
Q42,2025-06-21,0,4,1432.8557214910643,1968.0748144326922
Q42,2025-06-21,4,8,2893.6080249158267,1719.9539666666667
Q42,2025-06-21,8,12,9298.387063842074,0.0
Q42,2025-06-21,12,16,0.0,0.0
Q42,2025-06-21,16,20,57.03130559409192,5016.373156377069
Q42,2025-06-21,20,24,1902.1764941377442,3021.5457750268138
Q42,2025-09-23,0,4,6270.1623975115035,28.91877133208402
Q42,2025-09-23,4,8,4314.041854104481,5362.851863636859
Q42,2025-09-23,8,12,4233.34417392528,2387.9403
Q42,2025-09-23,12,16,5493.213040061131,639.4414648217085
Q42,2025-09-23,16,20,202.44376473914963,6610.536200983574
Q42,2025-09-23,20,24,522.246908830807,1881.419223873033
Q42,2025-12-21,0,4,7691.599196763728,722.3045384081806
Q42,2025-12-21,4,8,2386.482287522202,36.4124900321724
Q42,2025-12-21,8,12,5024.859595822784,7926.768630055432
Q42,2025-12-21,12,16,7502.150338402027,2220.1094166666667
Q42,2025-12-21,16,20,16.02337402214188,4415.734785819098
Q42,2025-12-21,20,24,446.86654280801713,4056.1583818043064
Q43,2025-03-20,0,4,6406.627852084641,671.849153214949
Q43,2025-03-20,4,8,3341.654480171863,5474.037759626586
Q43,2025-03-20,8,12,3639.1952240617447,3237.8420321556478
Q43,2025-03-20,12,16,7101.181815658762,254.72278333333327
Q43,2025-03-20,16,20,365.8954907755725,6384.570375225598
Q43,2025-03-20,20,24,1306.9420464770706,2891.6455714432996
Q43,2025-06-21,0,4,1432.8557214910643,1989.8862751482484
Q43,2025-06-21,4,8,2971.3788801801657,1719.9539666666667
Q43,2025-06-21,8,12,9220.616208577732,0.0
Q43,2025-06-21,12,16,0.0,0.0
Q43,2025-06-21,16,20,70.61791931438506,4967.46126839811
Q43,2025-06-21,20,24,1902.1764941377442,3021.5457750268138
Q43,2025-09-23,0,4,6270.1623975115035,28.91877133208402
Q43,2025-09-23,4,8,3997.3540373647065,5793.100313690324
Q43,2025-09-23,8,12,4559.816234723983,2387.9403
Q43,2025-09-23,12,16,6009.720976499108,404.81110472278607
Q43,2025-09-23,16,20,156.49021199994246,6555.400788132669
Q43,2025-09-23,20,24,522.246908830807,2230.960574060689
Q43,2025-12-21,0,4,7679.531589348663,722.3045384081806
Q43,2025-12-21,4,8,2386.859435265927,36.71797970458988
Q43,2025-12-21,8,12,4497.212288242894,8421.80956168698
Q43,2025-12-21,12,16,8599.946235138628,2220.6492850172963
Q43,2025-12-21,16,20,49.83819350848839,4409.364346837794
Q43,2025-12-21,20,24,446.86654280801713,4056.1583818043064
