group,date,start,end,energy_kWh
Q42,2025-02-05,2025-02-05 06:10:00,2025-02-05 06:20:00,8.210316329325337
Q42,2025-02-05,2025-02-05 06:40:00,2025-02-05 06:50:00,1.923847840526605
Q42,2025-02-05,2025-02-05 08:00:00,2025-02-05 08:10:00,10.13417560234575
Q42,2025-02-05,2025-02-05 10:20:00,2025-02-05 11:00:00,364.54787897446244
Q42,2025-02-06,2025-02-06 08:00:00,2025-02-06 08:20:00,25.16890554538122
Q42,2025-02-15,2025-02-15 20:50:00,2025-02-15 21:30:00,236.09950291743164
Q42,2025-02-15,2025-02-15 21:40:00,2025-02-15 21:50:00,5.889536590125999
Q42,2025-02-16,2025-02-16 06:00:00,2025-02-16 06:10:00,30.039564406483574
Q42,2025-02-16,2025-02-16 10:30:00,2025-02-16 11:00:00,193.97995415531685
Q42,2025-02-19,2025-02-19 06:00:00,2025-02-19 06:10:00,3.3324771928279238
Q42,2025-02-19,2025-02-19 06:30:00,2025-02-19 06:40:00,54.05030881932999
Q42,2025-02-19,2025-02-19 10:00:00,2025-02-19 10:20:00,132.50769824802305
Q42,2025-02-19,2025-02-19 23:50:00,2025-02-20 00:00:00,37.48624842899085
Q42,2025-02-20,2025-02-20 00:00:00,2025-02-20 00:10:00,10.440628484194349
Q42,2025-02-20,2025-02-20 06:10:00,2025-02-20 06:20:00,8.424255809390957
Q42,2025-02-22,2025-02-22 20:50:00,2025-02-22 21:00:00,2.392122553127763
Q42,2025-02-23,2025-02-23 06:10:00,2025-02-23 06:20:00,22.869948433078207
Q42,2025-02-24,2025-02-24 06:10:00,2025-02-24 06:20:00,9.186247317906805
Q42,2025-02-24,2025-02-24 21:00:00,2025-02-24 21:10:00,12.72904364730707
Q42,2025-02-25,2025-02-25 06:00:00,2025-02-25 06:10:00,28.24138246299958
Q42,2025-02-25,2025-02-25 06:30:00,2025-02-25 06:40:00,31.094999999999917
Q42,2025-02-27,2025-02-27 09:50:00,2025-02-27 10:20:00,317.37917873013004
Q42,2025-03-02,2025-03-02 19:30:00,2025-03-02 21:50:00,3365.0269250009474
Q42,2025-03-02,2025-03-02 23:50:00,2025-03-03 00:00:00,178.4523497630522
Q42,2025-03-03,2025-03-03 00:00:00,2025-03-03 00:10:00,24.814633907886787
Q42,2025-03-03,2025-03-03 10:40:00,2025-03-03 10:50:00,14.888666462143078
Q42,2025-03-03,2025-03-03 20:40:00,2025-03-03 21:10:00,402.05068890683464
Q42,2025-03-03,2025-03-03 21:20:00,2025-03-03 23:00:00,168.13287386279234
Q42,2025-03-05,2025-03-05 06:00:00,2025-03-05 06:10:00,3.2866666666666333
Q42,2025-03-08,2025-03-08 07:50:00,2025-03-08 08:10:00,12.555154938047714
Q42,2025-03-13,2025-03-13 20:00:00,2025-03-13 20:20:00,340.9134368905887
Q42,2025-03-13,2025-03-13 20:40:00,2025-03-13 21:00:00,666.8383548572074
Q42,2025-03-16,2025-03-16 06:00:00,2025-03-16 06:10:00,1.6399999999999864
Q42,2025-03-24,2025-03-24 20:40:00,2025-03-24 20:50:00,6.552770711175299
Q42,2025-04-01,2025-04-01 20:20:00,2025-04-01 21:00:00,1591.3242021370256
Q42,2025-04-02,2025-04-02 09:00:00,2025-04-02 10:30:00,1213.2468762097221
Q42,2025-04-08,2025-04-08 20:40:00,2025-04-08 20:50:00,6.477536093638491
Q42,2025-04-27,2025-04-27 20:40:00,2025-04-27 20:50:00,649.6025540929087
Q42,2025-04-28,2025-04-28 19:50:00,2025-04-28 20:10:00,1104.6372250677769
Q42,2025-04-28,2025-04-28 20:30:00,2025-04-28 21:10:00,1405.9364135262056
Q42,2025-05-01,2025-05-01 19:50:00,2025-05-01 20:10:00,409.5197379385193
Q42,2025-05-01,2025-05-01 20:20:00,2025-05-01 23:50:00,1843.2595828366636
Q42,2025-05-02,2025-05-02 00:00:00,2025-05-02 00:20:00,14.087329710319173
Q42,2025-05-02,2025-05-02 20:30:00,2025-05-02 22:00:00,1880.4738537727112
Q42,2025-05-02,2025-05-02 23:50:00,2025-05-03 00:00:00,323.196332529336
Q42,2025-05-03,2025-05-03 00:00:00,2025-05-03 00:10:00,22.06057023172633
Q42,2025-05-03,2025-05-03 20:50:00,2025-05-03 22:10:00,1118.991911036183
Q42,2025-05-04,2025-05-04 00:00:00,2025-05-04 00:10:00,70.26160627619981
Q42,2025-05-04,2025-05-04 18:50:00,2025-05-04 19:00:00,5.99694999999997
Q42,2025-05-04,2025-05-04 20:40:00,2025-05-04 22:30:00,969.6634241159092
Q42,2025-05-04,2025-05-04 22:40:00,2025-05-04 23:00:00,35.11168922444058
Q42,2025-05-04,2025-05-04 23:10:00,2025-05-04 23:50:00,51.18291212302622
Q42,2025-05-05,2025-05-05 00:20:00,2025-05-05 00:40:00,17.632627420342374
Q42,2025-05-05,2025-05-05 20:40:00,2025-05-05 20:50:00,413.96716530582967
Q42,2025-05-05,2025-05-05 21:10:00,2025-05-05 21:40:00,28.17730350127556
Q42,2025-05-06,2025-05-06 22:00:00,2025-05-06 22:20:00,45.18715789142563
Q42,2025-05-06,2025-05-06 22:30:00,2025-05-06 23:10:00,88.8754338112416
Q42,2025-05-07,2025-05-07 20:40:00,2025-05-07 20:50:00,281.8649658588207
Q42,2025-05-08,2025-05-08 20:10:00,2025-05-08 20:30:00,82.43748333333315
Q42,2025-05-11,2025-05-11 18:40:00,2025-05-11 18:50:00,7.264799999999809
Q42,2025-05-11,2025-05-11 19:30:00,2025-05-11 19:40:00,27.56166666666661
Q42,2025-05-11,2025-05-11 20:40:00,2025-05-11 20:50:00,200.56681131528785
Q42,2025-05-19,2025-05-19 20:20:00,2025-05-19 20:40:00,79.23649999999998
Q42,2025-05-25,2025-05-25 20:50:00,2025-05-25 21:00:00,12.048766666666552
Q42,2025-05-29,2025-05-29 19:20:00,2025-05-29 19:30:00,8.41228353864767
Q42,2025-06-01,2025-06-01 17:00:00,2025-06-02 00:00:00,10854.648918625131
Q42,2025-06-02,2025-06-02 00:00:00,2025-06-02 00:30:00,204.23711732894935
Q42,2025-06-02,2025-06-02 00:40:00,2025-06-02 01:50:00,324.12744224367907
Q42,2025-06-02,2025-06-02 19:30:00,2025-06-02 19:40:00,47.66455853091645
Q42,2025-06-02,2025-06-02 20:00:00,2025-06-02 20:50:00,2775.8367644274263
Q42,2025-06-02,2025-06-02 21:30:00,2025-06-02 21:40:00,5.997510726965947
Q42,2025-06-02,2025-06-02 22:00:00,2025-06-02 22:30:00,79.58007565923428
Q42,2025-06-02,2025-06-02 22:40:00,2025-06-03 00:00:00,201.3300601029817
Q42,2025-06-03,2025-06-03 00:00:00,2025-06-03 00:30:00,141.81926883685026
Q42,2025-06-03,2025-06-03 10:00:00,2025-06-03 10:30:00,208.664119981359
Q42,2025-06-03,2025-06-03 18:40:00,2025-06-03 18:50:00,3.248800478992507
Q42,2025-06-03,2025-06-03 19:00:00,2025-06-03 19:10:00,14.770372616853251
Q42,2025-06-03,2025-06-03 19:40:00,2025-06-03 20:00:00,75.27614622268379
Q42,2025-06-03,2025-06-03 20:30:00,2025-06-03 20:50:00,299.1748536760074
Q42,2025-06-03,2025-06-03 22:00:00,2025-06-03 22:30:00,69.03462634274149
Q42,2025-06-03,2025-06-03 23:20:00,2025-06-03 23:40:00,15.067541737275404
Q42,2025-06-03,2025-06-03 23:50:00,2025-06-04 00:00:00,16.40169755809932
Q42,2025-06-04,2025-06-04 00:00:00,2025-06-04 00:50:00,133.9612009495521
Q42,2025-06-04,2025-06-04 01:10:00,2025-06-04 01:40:00,137.88540649002084
