group,published_at,accepted,state_kWh,old_total_yuan,new_total_yuan,old_ordinary_yuan,old_adjustment_yuan,old_emergency_yuan,new_ordinary_yuan,new_adjustment_yuan,new_emergency_yuan
Q43,2025-02-01 06:00:00,True,10209.798703703704,10996.21443144527,9884.771953447616,10996.21443144527,0.0,0.0,8773.329475449958,1111.442477997657,0.0
Q43,2025-02-01 12:00:00,True,6709.567392037039,10687.908594582217,9654.324436401528,8773.329475449958,811.9488000474003,1102.6303190848585,8911.4217972583,742.9026391432296,0.0
Q43,2025-02-01 18:00:00,False,10800.0,4406.249815696115,4406.2498156961165,4406.249815696115,6.957350251468598e-14,0.0,4406.249815696116,1.1578919156818301e-12,0.0
Q43,2025-02-02 06:00:00,True,10800.0,50857.58917570694,49337.451047219234,50687.799390119006,0.0,169.78978558793233,47919.18679008427,1418.264257134955,1.166745278169401e-11
Q43,2025-02-02 12:00:00,True,7206.254740622471,36194.72173327968,34748.88875201502,34543.47650490723,882.7553662626384,768.4898621098115,33097.47004527972,1651.4187067352916,7.926018952275627e-12
Q43,2025-02-02 18:00:00,False,10800.0,13505.099303816194,13505.099303816196,13505.099303816187,0.0,7.926018952275627e-12,13505.099303816192,3.443017249082914e-12,0.0
Q43,2025-02-03 06:00:00,True,10800.0,53186.277073237834,50977.04727709879,53167.17869909015,0.0,19.09837414768375,48780.545721479095,2196.501555619697,0.0
Q43,2025-02-03 12:00:00,True,6310.333450174338,37265.10177847874,36269.6078012933,35707.25794724689,1240.3743088610659,317.469522370783,34357.57917124591,1912.028630047389,0.0
Q43,2025-02-03 18:00:00,False,10800.0,13491.292982548044,13491.292982548048,13491.292982548044,0.0,0.0,13491.292982548046,2.1543030470638763e-12,0.0
Q43,2025-02-04 06:00:00,True,10800.0,53513.17653238273,51622.887336882755,53513.17653238273,0.0,0.0,49732.59814138275,1890.289195499989,2.1594814825220967e-11
Q43,2025-02-04 12:00:00,True,7085.17484350717,36686.6487310238,35719.14355730284,34776.923761138525,1811.3006775692775,98.424292315998,33038.761998328606,2680.381558974236,0.0
Q43,2025-02-04 18:00:00,False,10800.0,12809.83354728732,12809.833547287328,12809.83354728732,0.0,0.0,12809.833547287322,2.2074573280406186e-12,3.631248546298593e-12
Q43,2025-02-05 06:00:00,True,10800.0,51572.53510501309,49187.82569719187,48447.694954144084,0.0,3124.840150869008,48795.46543513382,392.36026205804615,2.16957118936989e-12
Q43,2025-02-05 12:00:00,True,6336.396324903044,34478.88233794427,33457.405898651414,34338.74555628598,140.13678165828867,0.0,32419.389761207054,1038.0161374443485,8.93646756594535e-12
Q43,2025-02-05 18:00:00,True,10763.248376204288,12649.46824685566,12495.072286434333,12432.800886349234,0.0,216.66736050642643,12474.315153072634,20.75713336169893,0.0
Q43,2025-02-06 06:00:00,True,10800.0,53037.41506024294,50650.061875732994,53037.41506024294,0.0,0.0,48262.708691223044,2387.353184509948,0.0
Q43,2025-02-06 12:00:00,True,7182.741176766082,36096.578084806584,34861.62518290878,34135.27384259302,1961.3042422135618,0.0,31665.368038797405,3196.2571441113696,0.0
Q43,2025-02-06 18:00:00,True,10722.701646345517,12839.514902882,12504.598142134928,12373.8232414552,0.0,465.6916614267985,12461.00650857502,43.591633559909376,0.0
Q43,2025-02-07 06:00:00,True,10284.15564283711,9975.462807286336,9486.762281692843,9973.452827744946,0.0,2.009979541389334,8999.31813566253,487.444146030306,6.7420842242427165e-12
Q43,2025-02-07 12:00:00,True,6809.985062918681,9148.803925713126,8601.14604517301,8864.979851909718,283.8240738034079,0.0,7770.417690807669,830.7283543653347,6.9828729465370994e-12
Q43,2025-02-07 18:00:00,False,10800.0,3859.2119444169757,3859.2119444169716,3859.211944416968,7.223661668831482e-13,6.9828729465370994e-12,3859.2119444169707,7.905669008323456e-13,0.0
