group,published_at,interval_start,q_kWh,c_kWh,d_kWh,w_kWh,state_start_kWh,state_end_kWh,price_yuan_kWh,protected_net_kWh
Q42,2025-02-01,2025-02-01 00:10:00,455.7359170017879,0.0,0.0,0.0,5573.657228960253,5573.657228960253,0.3281,455.7359170017879
Q42,2025-02-01,2025-02-01 00:20:00,1271.7646187497476,807.047523377497,0.0,0.0,5573.657228960253,6300.0,0.3257,464.71709537225047
Q42,2025-02-01,2025-02-01 00:30:00,1306.1060520077149,833.3333333333334,0.0,0.0,6300.0,7050.0,0.3041,472.7727186743816
Q42,2025-02-01,2025-02-01 00:40:00,1309.5896046093233,833.3333333333334,0.0,0.0,7050.0,7800.0,0.3126,476.25627127598983
Q42,2025-02-01,2025-02-01 00:50:00,475.7465591124011,0.0,0.0,0.0,7800.0,7800.0,0.3286,475.7465591124011
Q42,2025-02-01,2025-02-01 01:00:00,501.909523814466,0.0,0.0,0.0,7800.0,7800.0,0.3438,501.909523814466
Q42,2025-02-01,2025-02-01 01:10:00,500.9540259215924,0.0,0.0,0.0,7800.0,7800.0,0.3704,500.9540259215924
Q42,2025-02-01,2025-02-01 01:20:00,486.9273603812024,0.0,0.0,0.0,7800.0,7800.0,0.3746,486.9273603812024
Q42,2025-02-01,2025-02-01 01:30:00,490.0843154913688,0.0,0.0,0.0,7800.0,7800.0,0.3606,490.0843154913688
Q42,2025-02-01,2025-02-01 01:40:00,498.4686633364116,0.0,0.0,0.0,7800.0,7800.0,0.3582,498.4686633364116
Q42,2025-02-01,2025-02-01 01:50:00,1348.5081006304508,833.3333333333334,0.0,0.0,7800.0,8550.0,0.3041,515.1747672971175
Q42,2025-02-01,2025-02-01 02:00:00,1370.7643091339396,833.3333333333334,0.0,0.0,8550.0,9300.0,0.2537,537.4309758006063
Q42,2025-02-01,2025-02-01 02:10:00,496.8615928685187,0.0,0.0,0.0,9300.0,9300.0,0.3346,496.8615928685187
Q42,2025-02-01,2025-02-01 02:20:00,514.8206343596333,0.0,0.0,0.0,9300.0,9300.0,0.3971,514.8206343596333
Q42,2025-02-01,2025-02-01 02:30:00,530.3478004869163,0.0,0.0,0.0,9300.0,9300.0,0.367,530.3478004869163
Q42,2025-02-01,2025-02-01 02:40:00,1359.121987110564,833.3333333333334,0.0,0.0,9300.0,10050.0,0.3185,525.7886537772307
Q42,2025-02-01,2025-02-01 02:50:00,548.2874690539056,0.0,0.0,0.0,10050.0,10050.0,0.3285,548.2874690539056
Q42,2025-02-01,2025-02-01 03:00:00,557.5160193937859,0.0,0.0,0.0,10050.0,10050.0,0.3772,557.5160193937859
Q42,2025-02-01,2025-02-01 03:10:00,551.6359897408255,0.0,0.0,0.0,10050.0,10050.0,0.3815,551.6359897408255
