group,month,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
F42,2025-02,1266233.1339669116,0.0,5210.106050207801,1271443.2400171196
F42,2025-03,1093392.2095918898,0.0,30093.70055887666,1123485.9101507664
F42,2025-04,901489.4157490793,0.0,38998.59223386928,940488.0079829486
F42,2025-05,929972.1617868216,0.0,41252.6507870163,971224.8125738379
F42,2025-06,1385762.9692221957,0.0,107377.3310398018,1493140.3002619976
F42,2025-07,1639795.6563662768,0.0,67076.01536294511,1706871.671729222
F42,2025-08,1381551.60716184,0.0,35096.71779004177,1416648.3249518818
F42,2025-09,1102518.6233345075,0.0,51076.68743197744,1153595.3107664848
F42,2025-10,1098212.6972809285,0.0,17673.669979566963,1115886.3672604954
F42,2025-11,1319599.1186658517,0.0,1644.0846686237862,1321243.2033344754
F42,2025-12,1879941.4344724794,0.0,69534.98945064176,1949476.423923121
F43,2025-02,1224371.2385281287,45077.70300365158,2664.6463322006257,1272113.587863981
F43,2025-03,1068879.5136300146,41779.93613712817,2992.6295137851116,1113652.079280928
F43,2025-04,878738.7482423306,28355.89744305369,0.0,907094.6456853843
F43,2025-05,897804.4749753373,28096.42023120134,29850.384876735454,955751.2800832741
F43,2025-06,1326662.2576306958,50813.92604753743,13549.491469276581,1391025.67514751
F43,2025-07,1618490.1142887757,57907.860726753286,26420.439187510903,1702818.41420304
F43,2025-08,1365867.7473323357,40720.883967511705,9170.49636120927,1415759.1276610568
F43,2025-09,1078548.7398541495,36733.91023682056,14732.450305085176,1130015.1003960553
F43,2025-10,1069297.056943162,43289.09257038282,2916.0987169388686,1115502.2482304838
F43,2025-11,1292578.3399939882,35447.39075712438,1328.2713483126315,1329354.0020994253
F43,2025-12,1827629.6339604459,49735.76632648826,43699.6027168237,1921065.003003758
Q42,2025-02,1257369.6539710492,0.0,7950.357491957269,1265320.0114630065
Q42,2025-03,1083257.2570343674,0.0,31413.79344287643,1114671.050477244
Q42,2025-04,892032.3936288066,0.0,37391.351794370894,929423.7454231775
Q42,2025-05,919321.3281411567,0.0,41059.04014265454,960380.3682838113
Q42,2025-06,1371854.0327751965,0.0,108265.73978865743,1480119.772563854
Q42,2025-07,1625066.1165379283,0.0,67371.79256383538,1692437.9091017637
Q42,2025-08,1368367.507087162,0.0,34764.71056294529,1403132.2176501073
Q42,2025-09,1088716.2236314039,0.0,54987.490279637845,1143703.7139110419
Q42,2025-10,1088249.7871336527,0.0,18810.986738620915,1107060.7738722735
Q42,2025-11,1307523.1982542363,0.0,3567.351218275026,1311090.5494725113
Q42,2025-12,1870358.6597358307,0.0,70209.12009082918,1940567.77982666
Q43,2025-02,1214232.6424956184,45377.766223382816,3565.477579279608,1263175.886298281
Q43,2025-03,1058740.0939131572,40411.90806314464,2661.507774862791,1101813.5097511648
Q43,2025-04,869151.2745492236,29961.214749595565,0.0,899112.4892988192
Q43,2025-05,889470.0803591674,29127.81066944007,29971.489694034124,948569.3807226416
Q43,2025-06,1313221.7836871764,49718.93520715604,15787.402085514132,1378728.1209798467
Q43,2025-07,1604135.0252160614,57856.4289599947,27278.52960764314,1689269.9837836993
Q43,2025-08,1351872.7555181782,38584.11138280487,9657.96726261023,1400114.8341635931
Q43,2025-09,1064165.5712672556,37030.30945125771,15094.971019465782,1116290.851737979
Q43,2025-10,1059629.163898813,42954.987236802895,3040.377422161708,1105624.5285577776
Q43,2025-11,1281857.1159331845,36063.80503555218,802.6756938785034,1318723.5966626152
Q43,2025-12,1819301.4098135482,49200.30582701014,38583.45341916397,1907085.1690597225
