group,date,total_cost_yuan,emergency_kWh,state_start_kWh,state_end_kWh
F42,2025-02-01,18207.478849778356,0.0,6097.354409999999,2749.155534699689
F42,2025-02-02,65010.390146374884,0.0,2749.155534699689,2631.56005295408
F42,2025-02-03,64691.463743130305,0.0,2631.56005295408,2334.751404912955
F42,2025-02-04,61982.233394870455,0.0,2334.751404912955,1688.1314144935482
F42,2025-02-05,63440.08279364697,328.89160538157665,1688.1314144935482,1747.2531695629689
F42,2025-02-06,63095.79793884788,25.168905545381108,1747.2531695629689,1640.2676780711352
F42,2025-02-07,18146.905603031377,0.0,1640.2676780711352,1855.7314879772794
F42,2025-02-08,16959.014988934356,0.0,1855.7314879772794,1949.7479750308821
F42,2025-02-09,61774.8253161045,0.0,1949.7479750308821,2005.7531851050096
F42,2025-02-10,60504.20616748122,0.0,2005.7531851050096,1859.3440006443336
F42,2025-02-11,60053.85229887229,0.0,1859.3440006443336,1908.9693685227635
F42,2025-02-12,58575.4603142745,0.0,1908.9693685227635,1706.8216676144707
F42,2025-02-13,58164.76877639325,0.0,1706.8216676144707,1849.1617721889202
F42,2025-02-14,15897.600692221145,0.0,1849.1617721889202,1968.6878690483672
F42,2025-02-15,16161.400057133433,244.0611184490171,1968.6878690483672,1219.4532830403816
F42,2025-02-16,55269.96203874837,32.76040374001616,1219.4532830403816,1304.5307122682666
F42,2025-02-17,54945.57989558826,0.0,1304.5307122682666,1300.0895678241993
F42,2025-02-18,54175.59940378509,0.0,1300.0895678241993,1809.9080097614485
F42,2025-02-19,52735.10157273359,131.4849075746141,1809.9080097614485,1200.0
F42,2025-02-20,53901.92562587532,18.86488429358519,1200.0,1822.4236441679225
F42,2025-02-21,15100.488709016592,0.0,1822.4236441679225,1690.3503370070669
F42,2025-02-22,14687.289486881768,2.392122553127763,1690.3503370070669,1442.304163587336
F42,2025-02-23,50782.608623494976,28.012383934960006,1442.304163587336,1283.5827528437258
F42,2025-02-24,52081.00572488318,19.9656647429872,1283.5827528437258,1393.0270670995628
F42,2025-02-25,51306.66110088419,59.33638246299938,1393.0270670995628,1478.3319317953242
F42,2025-02-26,50131.081732069826,0.0,1478.3319317953242,1557.7701420475455
F42,2025-02-27,49410.442733805736,169.5787336371565,1557.7701420475455,1696.6855854835037
F42,2025-02-28,14250.012288257654,0.0,1696.6855854835037,1770.4578877304339
F42,2025-03-01,13890.875625807626,0.0,1770.4578877304339,1591.2276531790606
F42,2025-03-02,68577.62514617252,3473.947344424319,1591.2276531790606,1200.0
F42,2025-03-03,53414.53964694005,552.7411638936497,1200.0,1249.6862923932688
F42,2025-03-04,51278.028458798486,0.0,1249.6862923932688,1282.7520619434051
