group,date,update_hour,kind,objective_yuan,mip_gap,seconds,max_violation_kWh,n_intervals,context
Q43_S2,2025-02-01,0,plan,18474.073027320865,0.0,0.022793600102886558,2.035408878479454e-12,144,Q43_S2 2025-02-01 00:00 plan
Q43_S2,2025-02-01,6,revision,8185.446074476635,0.0,0.017911099828779697,1.6484591469634324e-12,109,Q43_S2 2025-02-01 06:00
Q43_S2,2025-02-01,12,revision,8833.394386470858,0.0,0.04327449994161725,8.526512829121202e-13,73,Q43_S2 2025-02-01 12:00
Q43_S2,2025-02-01,18,revision,4481.459339296471,0.0,0.007318899966776371,5.684341886080801e-13,37,Q43_S2 2025-02-01 18:00
Q43_S2,2025-02-02,0,plan,64549.21165451987,0.0,0.012179299956187606,7.958078640513122e-13,144,Q43_S2 2025-02-02 00:00 plan
Q43_S2,2025-02-02,6,revision,44823.05858466636,1.6232621877955638e-16,0.021855399943888187,9.094947017729282e-13,109,Q43_S2 2025-02-02 06:00
Q43_S2,2025-02-02,12,revision,34423.81625390493,0.0,0.01733569987118244,9.094947017729282e-13,73,Q43_S2 2025-02-02 12:00
Q43_S2,2025-02-02,18,revision,13090.883366860951,0.0,0.006936999969184399,3.410605131648481e-12,37,Q43_S2 2025-02-02 18:00
Q43_S2,2025-02-03,0,plan,66795.78129126664,0.0,0.019187199883162975,8.526512829121202e-13,144,Q43_S2 2025-02-03 00:00 plan
Q43_S2,2025-02-03,6,revision,49975.058837331155,0.0,0.023187000071629882,8.526512829121202e-13,109,Q43_S2 2025-02-03 06:00
Q43_S2,2025-02-03,12,revision,35691.65003440414,0.0,0.015119400108233094,5.366077952354924e-11,73,Q43_S2 2025-02-03 12:00
Q43_S2,2025-02-03,18,revision,13229.60544844766,0.0,0.011512500001117587,8.881784197001252e-11,37,Q43_S2 2025-02-03 18:00
Q43_S2,2025-02-04,0,plan,66929.5608183519,0.0,0.013679099967703223,9.094947017729282e-13,144,Q43_S2 2025-02-04 00:00 plan
