区域,区域面积_km2,现有覆盖面积_km2,原覆盖率_raw,原覆盖率_pct,现有快充数,现有慢充数,现有总桩数,单桩平均覆盖面积_km2,工作日充电车次,周末充电车次,2025加权日均车次,2026规划车次需求,电网容量_kW,快充成本_万元,慢充成本_万元,快充服务能力_车次日,慢充服务能力_车次日,新增快充,新增慢充,新增总桩数,新增快充成本_万元,新增慢充成本_万元,新增总成本_万元,新增接入功率_kW,新增压力_raw,新增压力_pct,建设后覆盖率_raw,建设后覆盖率_pct,建设后服务能力_车次日,规划需求车次日,服务裕度_车次日,覆盖约束裕度_pct,服务约束裕度_车次日,结构约束裕度,全部约束是否通过
1,17.36,14.02,0.8076036866,80.76036866,129,86,215,0.06520930233,874,1167,957.7142857,1101.371429,325000,6,0.8,80,20,15,10,25,90,8.0,98.0,1870,0.005753846154,0.5753846154,0.9015110921,90.15110921,13440.0,1101.3714285714284,12338.628571428571,0.1511092059,12338.62857,0,True
2,14.25,11.1,0.7789473684,77.89473684,119,79,198,0.05606060606,929,1128,985.8571429,1133.735714,298000,6,0.8,80,20,25,16,41,150,12.8,162.8,3112,0.01044295302,1.044295302,0.9402445508,94.02445508,13420.0,1133.7357142857145,12286.264285714286,4.024455077,12286.26429,71,True
3,17.62,14.5,0.8229284904,82.29284904,99,66,165,0.08787878788,788,1049,862.5714286,991.9571429,276000,6,0.8,80,20,10,6,16,60,4.8,64.8,1242,0.0045,0.45,0.9027276167,90.27276167,10160.0,991.9571428571428,9168.042857142857,0.2727616689,9168.042857,66,True
4,110.07,55.03,0.4999545744,49.99545744,109,73,182,0.3023626374,1301,1493,1355.857143,1559.235714,352000,6,0.8,80,20,89,58,147,534,46.4,580.4,11086,0.03149431818,3.149431818,0.9037640383,90.37640383,18460.0,1559.2357142857145,16900.764285714286,0.3764038269,16900.76429,175,True
5,80.1,32.44,0.4049937578,40.49937578,76,50,126,0.2574603175,756,1899,1082.571429,1244.957143,225000,6,0.8,80,20,96,63,159,576,50.4,626.4,11961,0.05316,5.316,0.9160573093,91.60573093,16020.0,1244.9571428571428,14775.042857142857,1.605730932,14775.04286,12,True
6,60.08,41.89,0.6972370173,69.72370173,95,63,158,0.2651265823,930,1195,1005.714286,1156.571429,308000,6,0.8,80,20,29,18,47,174,14.4,188.4,3606,0.01170779221,1.170779221,0.9046429655,90.46429655,11540.0,1156.5714285714284,10383.428571428572,0.4642965497,10383.42857,117,True
7,139.87,35.02,0.2503753485,25.03753485,45,30,75,0.4669333333,557,716,602.4285714,692.7928571,186000,6,0.8,80,20,117,78,195,702,62.4,764.4,14586,0.07841935484,7.841935484,0.9013512547,90.13512547,15120.0,692.7928571428571,14427.207142857143,0.1351254737,14427.20714,0,True
8,120.04,42.0,0.3498833722,34.98833722,59,39,98,0.4285714286,985,798,931.5714286,1071.307143,255000,6,0.8,80,20,94,62,156,564,49.6,613.6,11714,0.0459372549,4.59372549,0.906840577,90.6840577,14260.0,1071.3071428571427,13188.692857142858,0.6840576951,13188.69286,8,True
9,131.2,26.17,0.1994664634,19.94664634,39,26,65,0.4026153846,781,2079,1151.857143,1324.635714,152000,6,0.8,80,20,138,92,230,828,73.6,901.6,17204,0.1131842105,11.31842105,0.9052708724,90.52708724,16520.0,1324.635714285714,15195.364285714286,0.527087242,15195.36429,0,True
10,22.3,14.5,0.6502242152,65.02242152,53,35,88,0.1647727273,653,946,736.7142857,847.2214286,205000,6,0.8,80,20,21,13,34,126,10.4,136.4,2611,0.01273658537,1.273658537,0.9014472075,90.14472075,6880.0,847.2214285714284,6032.778571428572,0.1447207501,6032.778571,46,True
