strategy_id,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,theta,theta_preset,residual_days,fallback_reason,solver_seconds,mip_gap,milp_fallback
T_q80_7200,2025-02-01,8801.462273333342,8503.540941481482,47297.96611831275,0.0,9834.331142798357,17650.464425514387,14565.005383333333,24753.6809054432,0.0,24753.6809054432,0,0,0.80,0.80,28,,0.03501970018260181,0.0,False
T_q80_7200,2025-02-02,8503.540941481482,8269.863033703705,93409.96650144033,0.0,11330.183208847733,20704.291892592595,16980.786550000004,59652.87553546814,0.0,59652.87553546814,0,0,0.80,0.80,28,,0.026459000073373318,0.0,False
T_q80_7200,2025-02-03,8269.863033703705,8041.871466481483,90613.64458024691,0.0,6491.966229423866,21631.338217489712,17726.576366666668,57448.62213165006,0.0,57448.62213165006,0,0,0.80,0.80,28,,0.027431099908426404,1.2665156002366325e-16,False
T_q80_7200,2025-02-04,8041.871466481483,8189.038516666667,92642.8832919753,0.0,6891.809897530871,23282.942627777767,18726.73318333333,58636.53458207913,0.0,58636.53458207913,0,0,0.80,0.80,28,,0.016269300132989883,0.0,False
T_q80_7200,2025-02-05,8189.038516666667,7865.809201296296,93274.31808683128,0.0,8659.669941563789,21879.618661934153,18013.3975,59455.60827448497,0.0,59455.60827448497,0,0,0.80,0.80,28,,0.033107300056144595,0.0,False
T_q80_7200,2025-02-06,7865.809201296296,8082.924143703705,93252.91316522633,0.0,8683.611731481478,21593.89878374486,17295.654566666668,59306.16694924011,0.0,59306.16694924011,0,0,0.80,0.80,28,,0.016742900013923645,0.0,False
T_q80_7200,2025-02-07,8082.924143703705,7876.029470185183,45291.48990967078,0.0,10149.593894238682,18539.060815432094,15202.84446666667,23491.899454203576,0.0,23491.899454203576,0,0,0.80,0.80,28,,0.03697749995626509,0.0,False
T_q80_7200,2025-02-08,7876.029470185183,7832.363444629626,39483.892715226335,0.0,4395.772596913581,18685.562234979425,15174.604833333333,20516.445802798455,0.0,20516.445802798455,0,0,0.80,0.80,28,,0.03329940000548959,0.0,False
T_q80_7200,2025-02-09,7832.363444629626,7582.869305185188,85843.63235957819,61.97174916666623,2004.2247748045256,24055.305751440334,19709.342384166666,53882.91204655451,247.57713792083158,54130.489184475344,1,1,0.80,0.80,28,,0.02716260007582605,1.3503274670635918e-16,False
T_q80_7200,2025-02-10,7582.869305185188,7565.365956111108,89264.78911090535,0.0,11130.558897119347,20122.871813785998,16315.279183333329,56162.908450429335,0.0,56162.908450429335,0,0,0.80,0.80,28,,0.02174280001781881,0.0,False
T_q80_7200,2025-02-11,7565.365956111108,7403.07224574074,82871.76989403291,0.0,3402.5373946502013,23129.99844938272,18881.363083333334,51677.40088825393,0.0,51677.40088825393,0,0,0.80,0.80,28,,0.028225099900737405,0.0,False
T_q80_7200,2025-02-12,7403.07224574074,7553.888575555555,84435.22322139918,0.0,4763.684258436217,22468.7796462963,18063.976816666665,52760.733316186255,0.0,52760.733316186255,0,0,0.80,0.80,28,,0.030569899827241898,2.758095711285826e-16,False
T_q80_7200,2025-02-13,7553.888575555555,7568.399602037039,84540.44462366254,0.0,9416.701994444444,19901.072045884775,16106.808433333332,53038.54806065578,0.0,53038.54806065578,0,0,0.80,0.80,28,,0.016362299909815192,0.0,False
T_q80_7200,2025-02-14,7568.399602037039,7569.937050370373,36619.48613477366,0.0,3302.8707292181025,18491.73623888889,14976.922649999997,19095.674814831422,0.0,19095.674814831422,0,0,0.80,0.80,28,,0.030782399931922555,0.0,False
T_q80_7200,2025-02-15,7569.937050370373,7433.227542037035,37185.51733744856,0.0,4634.180440534983,17864.654496913572,14593.408700000002,19442.97083997358,0.0,19442.97083997358,0,0,0.80,0.80,28,,0.04551380011253059,0.0,False
T_q80_7200,2025-02-16,7433.227542037035,7535.162234629633,83245.2465505288,19.151666666666642,3502.9676685185373,22591.106449176936,18207.055000499997,51786.895882287994,87.1305074999999,51874.02638978799,1,1,0.80,0.80,28,,0.03367300005629659,0.0,False
T_q80_7200,2025-02-17,7535.162234629633,7515.413347962962,83874.21427942385,0.0,9010.957293415635,19458.77798600823,15779.38416666667,52139.02025270897,0.0,52139.02025270897,0,0,0.80,0.80,28,,0.02932840003632009,0.0,False
T_q80_7200,2025-02-18,7515.413347962962,7759.551140185185,79920.39259181893,8.248333333333335,3384.7936329218246,22277.555241563776,17825.09573266666,49416.09737697333,37.52579250000001,49453.62316947333,1,1,0.80,0.80,28,,0.02382740005850792,0.0,False
T_q80_7200,2025-02-19,7759.551140185185,7271.206149814817,80273.78010185185,40.60458333333338,3561.4225623456773,22700.764372839505,18827.12963333333,49827.865120568764,178.2932893750002,50006.15840994376,2,2,0.80,0.80,28,,0.0630457999650389,0.0,False
T_q80_7200,2025-02-20,7271.206149814817,7570.7266198148145,80699.55655160904,31.04203333333328,5491.760794444451,20927.02965349793,16681.32559633333,50222.69850595937,145.40088413333308,50368.099390092706,1,1,0.80,0.80,28,,0.035384600050747395,0.0,False
T_q80_7200,2025-02-21,7570.7266198148145,7750.200653888891,35806.197676543205,0.0,6701.5518590534975,17804.511334156377,14260.127549999997,18626.97275920216,0.0,18626.97275920216,0,0,0.80,0.80,28,,0.031588099896907806,0.0,False
T_q80_7200,2025-02-22,7750.200653888891,7726.074105185185,35519.07319855967,0.0,4373.992461111113,17484.37762078189,14184.059766666664,18547.296320115205,0.0,18547.296320115205,0,0,0.80,0.80,28,,0.05502779991365969,0.0,False
T_q80_7200,2025-02-23,7726.074105185185,7544.6778718518535,81704.00217839505,0.0,6426.003408436209,20575.79840329218,16829.65331666667,50911.624272568326,0.0,50911.624272568326,0,0,0.80,0.80,28,,0.028602699982002378,0.0,False
T_q80_7200,2025-02-24,7544.6778718518535,7524.840421111109,79586.59816599792,16.587866666666628,7530.650205144026,20459.767981687244,16590.265770833335,48989.013787579795,77.69756746666648,49066.711355046464,1,1,0.80,0.80,28,,0.02400090009905398,0.0,False
T_q80_7200,2025-02-25,7524.840421111109,7472.621084814817,77167.39687510287,30.095000000000027,7442.657248765428,20950.046293004118,17016.5349,47447.217688873,131.8010525000001,47579.018741373,1,1,0.80,0.80,28,,0.02512830006889999,0.0,False
T_q80_7200,2025-02-26,7472.621084814817,7761.039255925928,74561.08237798352,0.0,1207.0172006172788,22524.425210699592,17985.208066666662,45763.90326744615,0.0,45763.90326744615,0,0,0.80,0.80,28,,0.04615759989246726,0.0,False
T_q80_7200,2025-02-27,7761.039255925928,7580.353857222224,76819.58929880452,399.2516108333314,6099.724808847739,22763.940840123454,18601.408939333334,47207.6845026806,1954.7835802820741,49162.468082962674,4,1,0.80,0.80,28,,0.05312480009160936,0.0,False
T_q80_7200,2025-02-28,7580.353857222224,7646.488855370374,34776.89382057613,0.0,8154.89894156379,17209.893845679006,13880.492516666665,17987.07114651325,0.0,17987.07114651325,0,0,0.80,0.80,28,,0.11076950002461672,0.0,False
T_q80_7200,2025-03-01,7646.488855370374,7763.9216453703675,34717.44349683332,0.0,7792.045386625516,16636.540346707814,13369.908169833338,18059.35438864265,0.0,18059.35438864265,0,0,0.80,0.80,28,,0.041934399865567684,0.0,False
T_q80_7200,2025-03-02,7763.9216453703675,7261.865153703705,80745.50029238683,647.0988933333333,5684.320701851844,20009.59084053499,16659.61942333333,50273.113597295145,4460.146496163335,54733.26009345848,2,2,0.80,0.80,28,,0.04901989991776645,0.0,False
T_q80_7200,2025-03-03,7261.865153703705,7431.929417407406,84343.75770617284,0.0,7880.5726744856,22594.63453168724,18148.596133333336,52346.052097441454,0.0,52346.052097441454,0,0,0.80,0.80,28,,0.027079499792307615,0.0,False
T_q80_7200,2025-03-04,7431.929417407406,7526.7574420370365,84191.40329053497,0.0,11197.075987448554,19523.811303086426,15728.941933333332,52553.16078949033,0.0,52553.16078949033,0,0,0.80,0.80,28,,0.03098020004108548,0.0,False
T_q80_7200,2025-03-05,7526.7574420370365,7462.678827777777,80831.45349518106,0.0,11214.34131193415,18654.267996913582,15167.627830333335,49964.98991638824,0.0,49964.98991638824,0,0,0.80,0.80,28,,0.026768800104036927,0.0,False
T_q80_7200,2025-03-06,7462.678827777777,7522.964677222225,77462.23239168723,0.0,7639.144862263375,20148.295429423863,16265.862033333331,47858.93367776894,0.0,47858.93367776894,0,0,0.80,0.80,28,,0.03579850005917251,0.0,False
T_q80_7200,2025-03-07,7522.964677222225,7879.0017659259265,34029.05027383333,0.0,9670.374097530861,16399.7750691358,12963.384426166669,17752.446275817434,0.0,17752.446275817434,0,0,0.80,0.80,28,,0.03080229996703565,0.0,False
T_q80_7200,2025-03-08,7879.0017659259265,7805.482928888891,32403.201243999996,0.0,10074.856064403288,17533.540085596713,14268.334422666667,17070.129728478,0.0,17070.129728478,0,0,0.80,0.80,28,,0.03807860007509589,0.0,False
T_q80_7200,2025-03-09,7805.482928888891,7641.658521111111,72874.74001707818,0.0,5709.727190329224,20941.735493415632,17110.247716666665,44678.89998778452,0.0,44678.89998778452,0,0,0.80,0.80,28,,0.024673699866980314,0.0,False
T_q80_7200,2025-03-10,7641.658521111111,7571.889546851852,71889.5560037037,611.2991206666677,464.7164277777715,21351.891175925928,17357.82392933333,43969.3631039389,4264.422665770674,48233.785769709575,1,1,0.80,0.80,28,,0.032447699923068285,0.0,False
T_q80_7200,2025-03-11,7571.889546851852,7741.784224629636,77030.66773722015,0.0,9144.795700411527,19968.673825308637,16021.7205885,46822.40878428956,0.0,46822.40878428956,0,0,0.80,0.80,28,,0.025901000015437603,0.0,False
T_q80_7200,2025-03-12,7741.784224629636,7646.22583537037,72846.72173168724,0.0,6557.5535360082395,20734.926645679,16881.293133333333,44425.61066625617,0.0,44425.61066625617,0,0,0.80,0.80,28,,0.05340160010382533,0.0,False
T_q80_7200,2025-03-13,7646.22583537037,7472.871757592593,70368.68069629629,1920.449931666666,946.3644549382717,20806.141191358023,17008.993035,42758.21195346046,11319.15518874583,54077.36714220629,9,2,0.80,0.80,28,,0.025757999857887626,0.0,False
T_q80_7200,2025-03-14,7472.871757592593,7805.352009814815,31557.404484833332,0.0,11816.852849176958,17957.333817489707,14246.208165166667,16475.710281143947,0.0,16475.710281143947,0,0,0.80,0.80,28,,0.07161449990235269,0.0,False
T_q80_7200,2025-03-15,7805.352009814815,7380.872622962963,31872.44614116666,0.0,8042.844597325103,17302.6728526749,14397.196458833332,16577.970946686182,0.0,16577.970946686182,0,0,0.80,0.80,28,,0.05251289997249842,0.0,False
T_q80_7200,2025-03-16,7380.872622962963,7864.209547407412,75482.89014506173,1.6400000000001,7823.763625514406,20393.243969547322,16083.524383333332,45774.142011089236,7.461180000000455,45781.603191089234,1,1,0.80,0.80,28,,0.022163000190630555,0.0,False
T_q80_7200,2025-03-17,7864.209547407412,7819.468732222222,72285.4938354362,0.0,10879.673290123454,18883.97813497942,15336.289023000005,43959.15016842654,0.0,43959.15016842654,0,0,0.80,0.80,28,,0.022843800019472837,0.0,False
T_q80_7200,2025-03-18,7819.468732222222,7619.1624288888925,66479.28384876544,1341.2092944999984,2812.62180679012,21379.940225308645,17498.027255499997,40079.910100257955,6802.587214009158,46882.497314267115,8,1,0.80,0.80,28,,0.02375200018286705,0.0,False
T_q80_7200,2025-03-19,7619.1624288888925,7864.6430544444465,71494.77711625514,0.0,7937.178469135809,20374.713863785993,16282.585666666666,43463.45634666026,0.0,43463.45634666026,0,0,0.80,0.80,28,,0.026270300149917603,0.0,False
T_q80_7200,2025-03-20,7864.6430544444465,7601.3595712963,69321.39733847737,0.0,3519.3692691357983,20158.007302674894,16564.94105,42346.10794728951,0.0,42346.10794728951,0,0,0.80,0.80,28,,0.022552700014784932,0.0,False
T_q80_7200,2025-03-21,7601.3595712963,7563.2981190740775,31312.1539025,0.0,15996.548704320987,17454.715729012347,14172.5750475,16382.60027493325,0.0,16382.60027493325,0,0,0.80,0.80,28,,0.03403049986809492,0.0,False
T_q80_7200,2025-03-22,7563.2981190740775,8317.52889759259,31563.673759499998,0.0,11657.509776748971,17611.35025658436,13586.386007166668,16373.443322260015,0.0,16373.443322260015,0,0,0.80,0.80,28,,0.025374199962243438,0.0,False
T_q80_7200,2025-03-23,8317.52889759259,7483.753919999999,70626.75635555555,26.0759833333326,9021.143646090524,19012.4529261317,16150.48435,42864.79174599634,181.90605973332822,43046.69780572967,1,1,0.80,0.80,28,,0.027454099850729108,0.0,False
T_q80_7200,2025-03-24,7483.753919999999,7228.978894444444,68228.48892633745,12.436889080246829,6638.081766255145,20177.076256995882,16572.729291166666,41037.29357105734,86.75973822380188,41124.05330928114,1,1,0.80,0.80,28,,0.028174599865451455,0.0,False
T_q80_7200,2025-03-25,7228.978894444444,7357.634595185184,67840.26302530864,0.0,2621.716849794243,21855.954358847735,17587.532900000002,40882.684352183824,0.0,40882.684352183824,0,0,0.80,0.80,28,,0.02967860014177859,0.0,False
T_q80_7200,2025-03-26,7357.634595185184,7522.2145401851885,70292.68557620575,0.0,10848.090605629634,19494.30607057613,15642.265966666664,42326.870328226054,0.0,42326.870328226054,0,0,0.80,0.80,28,,0.023671399801969528,0.0,False
T_q80_7200,2025-03-27,7522.2145401851885,7529.508765000005,65283.73868765432,0.0,2615.988195267493,20758.927842386827,16808.166749999997,39394.45168321533,0.0,39394.45168321533,0,0,0.80,0.80,28,,0.022633399814367294,0.0,False
T_q80_7200,2025-03-28,7529.508765000005,7933.387947592592,31158.666461499997,0.0,16670.064414814817,17385.421135185185,13718.69985516667,16105.588875440282,0.0,16105.588875440282,0,0,0.80,0.80,28,,0.025628599803894758,0.0,False
T_q80_7200,2025-03-29,7933.387947592592,7713.064478703709,30423.71601383333,0.0,19723.808033744863,16794.683782921806,13801.984986166666,15518.246369518118,0.0,15518.246369518118,0,0,0.80,0.80,28,,0.061952800024300814,0.0,False
