strategy_id,date,slot,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,load_kW,pv_kW,net_actual_kWh,residual_kWh,residual_available_at,valid
R1_load_ridge,2025-01-01,0,,,,3529.7296,0.0,588.2882666666667,,2025-01-02,0
R1_load_ridge,2025-01-01,1,,,,3609.5287,0.0,601.5881166666666,,2025-01-02,0
R1_load_ridge,2025-01-01,2,,,,3726.56,0.0,621.0933333333332,,2025-01-02,0
R1_load_ridge,2025-01-01,3,,,,3510.6311,0.0,585.1051833333333,,2025-01-02,0
R1_load_ridge,2025-01-01,4,,,,3502.5625,0.0,583.7604166666666,,2025-01-02,0
R1_load_ridge,2025-01-01,5,,,,3787.01,0.0,631.1683333333333,,2025-01-02,0
R1_load_ridge,2025-01-01,6,,,,3900.3205,0.0,650.0534166666666,,2025-01-02,0
R1_load_ridge,2025-01-01,7,,,,3916.8376,0.0,652.8062666666666,,2025-01-02,0
R1_load_ridge,2025-01-01,8,,,,3817.28,0.0,636.2133333333334,,2025-01-02,0
R1_load_ridge,2025-01-01,9,,,,3533.0136,0.0,588.8356,,2025-01-02,0
R1_load_ridge,2025-01-01,10,,,,3694.6613,0.0,615.7768833333333,,2025-01-02,0
R1_load_ridge,2025-01-01,11,,,,4064.73,0.0,677.4549999999999,,2025-01-02,0
R1_load_ridge,2025-01-01,12,,,,3810.671,0.0,635.1118333333333,,2025-01-02,0
R1_load_ridge,2025-01-01,13,,,,3844.9495,0.0,640.8249166666667,,2025-01-02,0
R1_load_ridge,2025-01-01,14,,,,4234.62,0.0,705.77,,2025-01-02,0
R1_load_ridge,2025-01-01,15,,,,4109.9755,0.0,684.9959166666665,,2025-01-02,0
R1_load_ridge,2025-01-01,16,,,,3996.8945,0.0,666.1490833333332,,2025-01-02,0
R1_load_ridge,2025-01-01,17,,,,4102.19,0.0,683.6983333333333,,2025-01-02,0
R1_load_ridge,2025-01-01,18,,,,4086.0577,0.0,681.0096166666666,,2025-01-02,0
R1_load_ridge,2025-01-01,19,,,,4133.7626,0.0,688.9604333333333,,2025-01-02,0
R1_load_ridge,2025-01-01,20,,,,4179.18,0.0,696.53,,2025-01-02,0
R1_load_ridge,2025-01-01,21,,,,3953.3711,0.0,658.8951833333333,,2025-01-02,0
R1_load_ridge,2025-01-01,22,,,,3910.7496,0.0,651.7916,,2025-01-02,0
R1_load_ridge,2025-01-01,23,,,,4099.31,0.0,683.2183333333334,,2025-01-02,0
R1_load_ridge,2025-01-01,24,,,,4123.8623,0.0,687.3103833333332,,2025-01-02,0
