month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,emergency_days
2025-02,1968521.0125785957,1264.6568989042091,152427.68436646543,578105.5226937863,474627.2096494185,110546.90889709182,1198098.7303861866,6652.652546272862,1204751.3829324595,28,21,12
2025-03,1834160.1246675353,4351.493145590697,198988.24588664842,595109.4103799765,481903.70492016553,113055.7971402383,1094698.6735580848,27028.66246643316,1121727.336024518,39,10,7
2025-04,1585297.0124381627,6235.017765209663,272940.84609912476,531798.6251928314,430937.0400885837,101061.75586245912,924253.6050273663,39518.650737848846,963772.2557652153,23,6,6
2025-05,1591629.486850063,7045.586052192265,314974.527946924,503628.54116447194,406738.4611758071,95556.01646931467,946818.9832571878,39036.187592618255,985855.170849806,78,17,11
2025-06,2083800.456224702,15993.163963706762,248738.62511832223,533921.303873663,432859.47498690966,101487.62760813406,1298761.6494013483,97566.59873462708,1396328.2481359753,98,35,16
2025-07,2283884.469484164,8990.185702914665,239652.84246994523,569385.9796361803,460983.42643571366,108158.97867869736,1434460.3385857597,53164.662204772896,1487625.0007905327,94,30,17
2025-08,1990166.1333898618,3696.979996349603,308721.9552193022,534629.1424767377,433600.84857649513,101640.7863117288,1248637.3748502177,24290.615325804632,1272927.9901760223,65,36,21
2025-09,1762051.9782351882,7986.29465864208,278663.7563438961,545790.4524564139,442799.80315647967,103779.02337413916,1088855.3424736254,48590.44501588058,1137445.7874895062,51,17,14
2025-10,1825420.8671766159,2307.528927855774,238515.91170308072,599227.7157275971,485148.82235953934,113828.19627937522,1102144.8825136928,15320.747734793467,1117465.6302484863,27,12,11
2025-11,2048491.9464275267,282.07691568237703,142940.88354127386,620266.2134059705,502405.4815873684,117849.45262808245,1260146.6561531748,1753.1377105335953,1261899.7938637084,8,7,6
2025-12,2638346.702225782,8691.226402121682,148563.245700098,707926.6016190323,573488.8549245601,134513.64404240993,1652628.9461803248,44038.862568734534,1696667.8087490592,36,12,5
