strategy_id,terminal_mode,date,day_index,elapsed_seconds,mip_gap,mip_node_count,mip_dual_bound_yuan,objective_bound_gap_yuan,terminal_target,terminal_lower_kWh,terminal_upper_kWh,fallback,residual_days,reason,check_bus_balance_max_abs_kWh,check_battery_balance_max_abs_kWh,check_boundary_error_kWh,check_state_bound_violation_kWh,check_flow_bound_violation_kWh,check_simultaneous_charge_discharge_kWh,check_binary_integrality_error,check_binary_bound_violation,check_binary_gate_violation_kWh
T_free,free,2025-02-01,31,0.021889599971473217,0.0,1,21325.711316508296,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,1.5543122344752192e-15,0.0,0.0
T_free,free,2025-02-02,32,0.013614699942991138,0.0,1,58773.838915208755,-7.275957614183426e-12,,1200.0,10800.0,False,28,,1.1368683772161603e-13,7.389644451905042e-13,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
T_free,free,2025-02-03,33,0.013145399978384376,0.0,1,55079.651076002534,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
T_free,free,2025-02-04,34,0.02959090005606413,0.0,1,55653.33490448688,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,5.773159728050814e-15,2.220446049250313e-16,1.850371707708594e-13
T_free,free,2025-02-05,35,0.014364799950271845,0.0,1,54506.94513034794,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,8.526512829121202e-13,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
T_free,free,2025-02-06,36,0.023315300000831485,0.0,1,55849.808972363484,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,1.5543122344752192e-15,0.0,0.0
T_free,free,2025-02-07,37,0.03741580015048385,0.0,1,22752.265607696336,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,8.526512829121202e-13,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
T_free,free,2025-02-08,38,0.034062499878928065,0.0,1,20927.710721263993,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,6.661338147750939e-16,0.0,0.0
T_free,free,2025-02-09,39,0.01392140006646514,1.3051439004976019e-16,1,55748.31718869757,7.275957614183426e-12,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
T_free,free,2025-02-10,40,0.01380409998819232,0.0,1,55856.02528369237,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,1.1102230246251565e-16,0.0,0.0
T_free,free,2025-02-11,41,0.013104999903589487,0.0,1,54700.74317596304,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,-0.0,2.220446049250313e-16,2.220446049250313e-16,1.850371707708594e-13
T_free,free,2025-02-12,42,0.013871700037270784,0.0,1,54125.56630083191,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,-0.0,2.220446049250313e-16,2.220446049250313e-16,1.850371707708594e-13
T_free,free,2025-02-13,43,0.03494219994172454,0.0,1,53377.506944392575,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,7.958078640513122e-13,0.0,0.0,0.0,-0.0,2.4424906541753444e-15,0.0,0.0
T_free,free,2025-02-14,44,0.04053690005093813,0.0,1,19394.93751482373,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
T_free,free,2025-02-15,45,0.045633000088855624,0.0,1,18396.896465938422,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,2.2737367544323206e-13,2.5263741715914674e-13,-0.0,5.329070518200751e-15,5.329070518200751e-15,4.440892098500626e-12
T_free,free,2025-02-16,46,0.01314050005748868,0.0,1,50804.71902648542,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,6.821210263296962e-13,0.0,0.0,0.0,-0.0,2.220446049250313e-16,2.220446049250313e-16,1.850371707708594e-13
T_free,free,2025-02-17,47,0.02920069987885654,0.0,1,51275.95167031906,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,8.526512829121202e-13,0.0,0.0,0.0,-0.0,1.1102230246251565e-16,0.0,0.0
T_free,free,2025-02-18,48,0.024310299893841147,0.0,1,50360.62640103665,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,8.952838470577262e-13,0.0,0.0,3.410605131648481e-13,-0.0,4.440892098500626e-16,4.440892098500626e-16,3.700743415417188e-13
T_free,free,2025-02-19,49,0.05580029985867441,0.0,1,49174.80246461065,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,1.1368683772161603e-12,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0
T_free,free,2025-02-20,50,0.013781300047412515,0.0,1,49858.73811779573,0.0,,1200.0,10800.0,False,28,,1.1368683772161603e-13,8.100187187665142e-13,0.0,0.0,3.410605131648481e-13,-0.0,0.0,0.0,3.410605131648481e-13
