strategy_id,alpha,date,day_index,elapsed_seconds,mip_gap,mip_node_count,fallback,residual_days,reason,check_bus_balance_max_abs_kWh,check_battery_balance_max_abs_kWh,check_boundary_error_kWh,check_state_bound_violation_kWh,check_flow_bound_violation_kWh,check_simultaneous_charge_discharge_kWh,check_binary_integrality_error,check_binary_bound_violation,check_binary_gate_violation_kWh
P1_q80,0.8,2025-02-01,31,0.02358399983495474,0.0,1,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0
P1_q80,0.8,2025-02-02,32,0.026638699928298593,0.0,1,False,28,,1.1368683772161603e-13,7.958078640513122e-13,0.0,0.0,0.0,0.0,1.2212453270876722e-15,0.0,0.0
P1_q80,0.8,2025-02-03,33,0.02533769980072975,0.0,1,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.3322676295501878e-15,1.1102230246251565e-12
P1_q80,0.8,2025-02-04,34,0.03363389987498522,0.0,1,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.9531932455029164e-14,0.0,0.0
P1_q80,0.8,2025-02-05,35,0.027245299890637398,0.0,1,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15,1.2952601953960159e-12
P1_q80,0.8,2025-02-06,36,0.028546199901029468,0.0,1,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.5543122344752192e-15,2.220446049250313e-16,1.850371707708594e-13
P1_q80,0.8,2025-02-07,37,0.036954599898308516,0.0,1,False,28,,2.2737367544323206e-13,8.526512829121202e-13,0.0,0.0,0.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15,9.25185853854297e-13
P1_q80,0.8,2025-02-08,38,0.038093200186267495,0.0,1,False,28,,2.2737367544323206e-13,1.7763568394002505e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_q80,0.8,2025-02-09,39,0.02929569990374148,0.0,1,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.1102230246251565e-15,1.1102230246251565e-15,9.25185853854297e-13
P1_q80,0.8,2025-02-10,40,0.014352699974551797,0.0,1,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_q80,0.8,2025-02-11,41,0.014574999921023846,0.0,1,False,28,,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_q80,0.8,2025-02-12,42,0.016545600024983287,0.0,1,False,28,,1.1368683772161603e-13,7.389644451905042e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_q80,0.8,2025-02-13,43,0.03624909999780357,0.0,1,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,5.551115123125783e-16,0.0,0.0
P1_q80,0.8,2025-02-14,44,0.034775199834257364,0.0,1,False,28,,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_q80,0.8,2025-02-15,45,0.05657769995741546,1.974395757752121e-16,1,False,28,,2.2737367544323206e-13,1.0231815394945443e-12,0.0,3.410605131648481e-12,3.789561257387201e-12,0.0,1.3589261410362178e-14,1.3589261410362178e-14,7.534823251247947e-12
P1_q80,0.8,2025-02-16,46,0.022341599920764565,0.0,1,False,28,,1.1368683772161603e-13,7.958078640513122e-13,0.0,0.0,0.0,0.0,1.887379141862766e-15,0.0,0.0
P1_q80,0.8,2025-02-17,47,0.02593540004454553,0.0,1,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_q80,0.8,2025-02-18,48,0.02779739978723228,0.0,1,False,28,,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1_q80,0.8,2025-02-19,49,0.014353800099343061,0.0,1,False,28,,1.1368683772161603e-13,7.105427357601002e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
