quantity,publication_hour,scope,n,signed_mean,mean_abs,max_abs,mean_left,mean_right
net_forecast,0,reach,52779,0.0,0.0,0.0,390.4518834466916,390.4518834466916
net_forecast,0,tail,364,0.0,0.0,0.0,573.0288640864263,573.0288640864263
net_forecast,6,reach,39676,0.053160665788892884,10.528585188217095,131.42944963039835,323.442149145297,323.38898847950816
net_forecast,6,tail,364,1.867085046114762,11.251193451968847,112.9981261459817,574.8959491325411,573.0288640864263
net_forecast,12,reach,26572,0.283131605311959,9.912538717582201,77.52818085091769,415.0478713978287,414.76473979251676
net_forecast,12,tail,364,2.1054138347932714,11.608120946349398,77.52818085091769,575.1342779212196,573.0288640864263
net_forecast,18,reach,13468,0.5099303598269498,11.108397725090123,106.35615845866039,655.0028432735485,654.4929129137216
net_forecast,18,tail,364,1.3184629761750088,10.710727175706102,101.07323055919346,574.3473270626014,573.0288640864263
rho,0,reach,52925,0.0,0.0,0.0,30.390476154925395,30.390476154925395
rho,0,tail,365,0.0,0.0,0.0,22.001189000679794,22.001189000679794
rho,6,reach,39785,0.4872634855638409,8.496045773582402,59.5340916666666,26.83655169967245,26.349288214108615
rho,6,tail,365,-1.3547147139468922,8.896006300503386,49.09928198072453,18.49341611712556,19.848130831072453
rho,12,reach,26645,-0.21523169323728408,7.707973254111523,49.95393152802677,14.190544563451684,14.405776256688966
rho,12,tail,365,-1.2528234360678412,8.14031307294292,42.275135580519645,18.59530739500461,19.848130831072453
rho,18,reach,13505,-0.8117375816940817,7.492394438946934,36.063474235445824,18.29421180314569,19.10594938483977
rho,18,tail,365,-0.4486361062214014,7.7890724119310795,36.063474235445824,19.39949472485105,19.848130831072453
protected,0,reach,52779,0.0,0.0,0.0,420.92642730882295,420.92642730882295
protected,0,tail,364,0.0,0.0,0.0,595.0904959140312,595.0904959140312
protected,6,reach,39676,0.5417627873020849,9.564733436991112,134.8150668427579,350.3524276353532,349.8106648480511
protected,6,tail,364,0.508648588448237,10.205864545227106,99.63512021620136,593.4401713379006,592.9315227494524
protected,12,reach,26572,0.06730861621413246,8.419633248158894,92.07932375771566,429.2774009738174,429.21009235760323
protected,12,tail,364,0.8491485760988688,11.457540960018818,82.02583840687998,593.7806713255512,592.9315227494524
protected,18,reach,13468,-0.30403727016848964,9.783578518417665,132.95233444230803,673.3473139003291,673.6513511704976
protected,18,tail,364,0.868594353178273,9.867595576537655,132.95233444230803,593.8001171026306,592.9315227494524
