日期类型,小时序号,时段,调度前全市负荷_kW,调度后全市负荷_kW,全市负荷变化_kW
工作日,0,00-01,941,3701.498633,2760.498633
工作日,1,01-02,434,3701.504094,3267.504094
工作日,2,02-03,346,3701.509494,3355.509494
工作日,3,03-04,190,3701.506037,3511.506037
工作日,4,04-05,263,3701.502678,3438.502678
工作日,5,05-06,1698,3701.514329,2003.514329
工作日,6,06-07,3402,3773.964735,371.9647351
工作日,7,07-08,6256,6256,0
工作日,8,08-09,5670,5670,0
工作日,9,09-10,5606,5606,0
工作日,10,10-11,6041,6041,0
工作日,11,11-12,8248,6598.4,-1649.6
工作日,12,12-13,9560,7648,-1912
工作日,13,13-14,7436,5948.8,-1487.2
工作日,14,14-15,7003,7003,0
工作日,15,15-16,6797,6797,0
工作日,16,16-17,10514,8411.2,-2102.8
工作日,17,17-18,14247,11397.6,-2849.4
工作日,18,18-19,13629,10903.2,-2725.8
工作日,19,19-20,11912,9529.6,-2382.4
工作日,20,20-21,8783,7026.4,-1756.6
工作日,21,21-22,5497,4397.6,-1099.4
工作日,22,22-23,3719,2975.2,-743.8
工作日,23,23-00,1729,1729,0
周末,0,00-01,1214,3056.864989,1842.864989
周末,1,01-02,670,3056.875521,2386.875521
周末,2,02-03,299,3056.882875,2757.882875
周末,3,03-04,137,3056.859652,2919.859652
周末,4,04-05,21,3056.861007,3035.861007
周末,5,05-06,1298,3056.858674,1758.858674
周末,6,06-07,2612,3094.797281,482.7972814
周末,7,07-08,4237,4237,0
周末,8,08-09,5818,5818,0
周末,9,09-10,7585,7585,0
周末,10,10-11,9409,9409,0
周末,11,11-12,10512,8409.6,-2102.4
周末,12,12-13,11597,9277.6,-2319.4
周末,13,13-14,11774,9419.2,-2354.8
周末,14,14-15,11917,11917,0
周末,15,15-16,10647,10647,0
周末,16,16-17,9316,7452.8,-1863.2
周末,17,17-18,8173,6538.4,-1634.6
周末,18,18-19,7321,5856.8,-1464.2
周末,19,19-20,6078,4862.4,-1215.6
周末,20,20-21,4882,3905.6,-976.4
周末,21,21-22,3674,2939.2,-734.8
周末,22,22-23,2598,2078.4,-519.6
周末,23,23-00,1433,1433,0
