区域,日期类型,调度前峰值_kW,峰值时段,调度前谷值_kW,谷值时段,调度前峰谷差_kW,调度前方差,调度前最大负荷率_raw,调度前最大负荷率_pct
1,工作日,2221,17,19,03,2202,371711.8542,0.4398890869,43.98890869
1,周末,1304,14,2,04,1302,165237.9167,0.3247820672,32.47820672
2,工作日,2078,17,15,03,2063,319456.0399,0.4241681976,42.41681976
2,周末,1280,14,3,03,1277,159596.3889,0.3311772316,33.11772316
3,工作日,1534,17,13,01;04,1521,192525.0764,0.3336958886,33.36958886
3,周末,1159,14,2,02,1157,131680.9566,0.3247408238,32.47408238
4,工作日,1985,17,16,04,1969,316140.4722,0.3546542791,35.46542791
4,周末,1396,14,1,04,1395,180167.8177,0.305738064,30.5738064
5,工作日,1514,18,8,02,1506,182408.0399,0.3967505241,39.67505241
5,周末,1808,12,0,02;03;04,1808,384096.3733,0.5258132956,52.58132956
6,工作日,1762,18,12,03,1750,285306.4722,0.3656360241,36.56360241
6,周末,1267,14,0,03;04,1267,159257.6875,0.3113787171,31.13787171
7,工作日,727,17,8,02,719,42500.9375,0.2020566982,20.20566982
7,周末,894,12,0,01;02;03;04;23,894,86149.80556,0.3030983386,30.30983386
8,工作日,992,17,12,01,980,86016.88889,0.2631753397,26.31753397
8,周末,611,10,0,00;01;02;03;04;23,611,38455.65104,0.2017167382,20.17167382
9,工作日,1218,18,8,02,1210,140861.2431,0.4035785288,40.35785288
9,周末,2285,12,0,03;04,2285,588366.901,0.9447459299,94.47459299
10,工作日,908,17,9,01,899,66223.78993,0.2329997434,23.29997434
10,周末,952,12,0,02;03;04,952,91254.53993,0.2831158561,28.31158561
