区域,日期类型,小时序号,时段,时段类别,调度前负荷_kW,高峰削减量_kW,低谷接收量_kW,调度后负荷_kW,最大允许负荷_kW,调度后负荷率_raw,调度后负荷率_pct,调度后安全裕度_kW,是否超过2100kW,是否超过允许负荷
1,工作日,0,00-01,低谷,127,0,394.1084502,521.1084502,2017,0.2583581806,25.83581806,1495.89155,False,False
1,工作日,1,01-02,低谷,75,0,446.1145342,521.1145342,2023,0.2575949254,25.75949254,1501.885466,False,False
1,工作日,2,02-03,低谷,71,0,450.1131377,521.1131377,2039,0.2555728974,25.55728974,1517.886862,False,False
1,工作日,3,03-04,低谷,19,0,502.1131377,521.1131377,2046,0.2546985033,25.46985033,1524.886862,False,False
1,工作日,4,04-05,低谷,24,0,497.1120676,521.1120676,2058,0.2532128608,25.32128608,1536.887932,False,False
1,工作日,5,05-06,低谷,187,0,334.1246488,521.1246488,2517,0.2070419741,20.70419741,1995.875351,False,False
1,工作日,6,06-07,低谷,499,0,22.11402373,521.1140237,3529,0.1476662011,14.76662011,3007.885976,False,False
1,工作日,7,07-08,平段,983,0,0,983,4038,0.2434373452,24.34373452,3055,False,False
1,工作日,8,08-09,平段,789,0,0,789,4042,0.1952003958,19.52003958,3253,False,False
1,工作日,9,09-10,平段,652,0,0,652,3857,0.1690432979,16.90432979,3205,False,False
1,工作日,10,10-11,平段,668,0,0,668,3863,0.172922599,17.2922599,3195,False,False
1,工作日,11,11-12,高峰,1083,216.6,0,866.4,4276,0.2026192703,20.26192703,3409.6,False,False
1,工作日,12,12-13,高峰,1322,264.4,0,1057.6,4589,0.2304641534,23.04641534,3531.4,False,False
1,工作日,13,13-14,高峰,972,194.4,0,777.6,4298,0.1809213588,18.09213588,3520.4,False,False
1,工作日,14,14-15,平段,846,0,0,846,4015,0.2107098381,21.07098381,3169,False,False
1,工作日,15,15-16,平段,782,0,0,782,3822,0.2046049189,20.46049189,3040,False,False
1,工作日,16,16-17,高峰,1501,300.2,0,1200.8,4537,0.264668283,26.4668283,3336.2,False,False
1,工作日,17,17-18,高峰,2221,444.2,0,1776.8,5049,0.3519112696,35.19112696,3272.2,False,False
