strategy_id,interval_start,interval_end,owner_date,effective_version,price_yuan_kWh,actual_load_kW,actual_pv_kW,net_kWh,q0_kWh,q_eff_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan
L75,2025-02-01 00:00:00,2025-02-01 00:10:00,2025-01-31,public_January,0.4276,2543.76,0.0,423.96000000000004,0.0,0.0,0.0,423.96000000000004,0.0,0.0,6075.795025925926,5604.728359259259,0.0,0.0,0.0,0.0
L75,2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01,2025-02-01 00:00,0.4248,2532.1822,0.0,422.0303666666667,1286.7704003351214,1286.7704003351214,833.3333333333334,0.0,0.0,31.4067003351214,5604.728359259259,6354.728359259259,546.6200660623596,0.0,0.0,546.6200660623596
L75,2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01,2025-02-01 00:00,0.4245,2492.4439,0.0,415.4073166666667,1297.367031192705,1297.367031192705,833.3333333333334,0.0,0.0,48.626381192705026,6354.728359259259,7104.728359259259,550.7323047413033,0.0,0.0,550.7323047413033
L75,2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01,2025-02-01 00:00,0.4269,2464.3,0.0,410.7166666666667,1304.606052007715,1304.606052007715,833.3333333333334,0.0,0.0,60.55605200771504,7104.728359259259,7854.728359259259,556.9363236020936,0.0,0.0,556.9363236020936
L75,2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01,2025-02-01 00:00,0.4272,2581.7688,0.0,430.29479999999995,1304.1257421914345,1304.1257421914345,833.3333333333334,0.0,0.0,40.497608858101216,7854.728359259259,8604.72835925926,557.1225170641809,0.0,0.0,557.1225170641809
L75,2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01,2025-02-01 00:00,0.4271,2546.4635,0.0,424.4105833333333,1306.5522664609991,1306.5522664609991,833.3333333333334,0.0,0.0,48.80834979433246,8604.72835925926,9354.72835925926,558.0284730054927,0.0,0.0,558.0284730054927
L75,2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01,2025-02-01 00:00,0.4285,2436.31,0.0,406.0516666666666,494.01820161461194,494.01820161461194,87.96653494794532,0.0,0.0,0.0,9354.72835925926,9433.89824071241,211.6867993918612,0.0,0.0,211.6867993918612
L75,2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01,2025-02-01 00:00,0.4311,2620.5011,0.0,436.7501833333333,500.5733759215923,500.5733759215923,63.82319258825896,0.0,0.0,0.0,9433.89824071241,9491.339114041843,215.79718235979843,0.0,0.0,215.79718235979843
L75,2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01,2025-02-01 00:00,0.4302,2710.7861,0.0,451.7976833333333,475.4419270478692,475.4419270478692,23.644243714535946,0.0,0.0,0.0,9491.339114041843,9512.618933384925,204.53511701599336,0.0,0.0,204.53511701599336
L75,2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01,2025-02-01 00:00,0.4279,2676.48,0.0,446.08,1307.0922038894391,1307.0922038894391,833.3333333333334,0.0,0.0,27.678870556105835,9512.618933384925,10262.618933384925,559.304754044291,0.0,0.0,559.304754044291
L75,2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01,2025-02-01 00:00,0.4312,2830.598,0.0,471.7663333333333,494.913732198216,494.913732198216,23.14739886488269,0.0,0.0,0.0,10262.618933384925,10283.451592363319,213.40680132387075,0.0,0.0,213.40680132387075
L75,2025-02-01 01:50:00,2025-02-01 02:00:00,2025-02-01,2025-02-01 00:00,0.4333,2688.1558,0.0,448.02596666666665,511.80398396378405,511.80398396378405,63.7780172971174,0.0,0.0,0.0,10283.451592363319,10340.851807930725,221.76466625150763,0.0,0.0,221.76466625150763
L75,2025-02-01 02:00:00,2025-02-01 02:10:00,2025-02-01,2025-02-01 00:00,0.4311,2384.42,0.0,397.4033333333333,527.7268794137424,527.7268794137424,130.32354608040907,0.0,0.0,0.0,10340.851807930725,10458.142999403093,227.50305771526433,0.0,0.0,227.50305771526433
L75,2025-02-01 02:10:00,2025-02-01 02:20:00,2025-02-01,2025-02-01 00:00,0.4293,2604.5438,0.0,434.0906333333333,493.4204349535627,493.4204349535627,59.329801620229375,0.0,0.0,0.0,10458.142999403093,10511.5398208613,211.82539272556446,0.0,0.0,211.82539272556446
L75,2025-02-01 02:20:00,2025-02-01 02:30:00,2025-02-01,2025-02-01 00:00,0.4324,2943.3655,0.0,490.5609166666666,509.9211510263,509.9211510263,19.360234359633353,0.0,0.0,0.0,10511.5398208613,10528.96403178497,220.4899057037721,0.0,0.0,220.4899057037721
L75,2025-02-01 02:30:00,2025-02-01 02:40:00,2025-02-01,2025-02-01 00:00,0.4367,3019.32,0.0,503.22,526.964467153583,526.964467153583,23.744467153582946,0.0,0.0,0.0,10528.96403178497,10550.334052223194,230.12538280596968,0.0,0.0,230.12538280596968
