date,interval,start_slot,end_slot,emergency_kWh
2025-02-06,07:50-08:10,47,49,19.758592857142617
2025-02-16,05:50-06:00,35,36,12.227500000000077
2025-02-16,20:30-20:40,123,124,9.981705357140413
2025-02-17,20:30-20:40,123,124,62.57081547618907
2025-02-18,20:30-20:40,123,124,31.32976785714402
2025-02-19,06:20-06:30,38,39,37.951249999999845
2025-02-19,20:30-21:30,123,129,101.74994642857155
2025-02-22,20:40-20:50,124,125,46.838791071425476
2025-02-23,06:00-06:10,36,37,2.573809523809473
2025-02-23,20:30-20:40,123,124,70.52865238095285
2025-02-23,21:10-21:20,127,128,22.419455916666788
2025-02-23,21:30-21:50,129,131,27.12074583333331
2025-02-24,06:00-06:10,36,37,8.861801785714306
2025-02-24,20:40-21:00,124,126,34.85431075000065
2025-02-25,05:50-06:00,35,36,31.41583333333324
2025-02-25,06:20-06:30,38,39,12.407380952381004
2025-02-25,20:40-20:50,124,125,7.422106547616203
2025-02-25,21:00-21:30,126,129,59.85592083333349
2025-02-26,20:30-20:50,123,125,77.95611264880995
2025-02-27,20:30-20:50,123,125,59.67854702380521
2025-02-27,21:10-21:30,127,129,39.607449083333314
2025-02-28,21:40-21:50,130,131,21.239916726186685
2025-03-01,20:50-21:20,125,128,50.48348618452326
2025-03-01,21:30-21:50,129,131,36.61048392857077
2025-03-02,19:40-21:40,118,130,3788.945676374998
2025-03-03,09:40-10:40,58,64,762.1402451369044
2025-03-03,20:10-21:40,121,130,2292.6886740297587
2025-03-04,20:30-21:50,123,131,108.87627083333416
2025-03-05,20:30-20:50,123,125,109.21749345238118
2025-03-06,20:30-21:10,123,127,99.44284211904778
2025-03-09,20:30-21:10,123,127,111.67752261905116
2025-03-09,21:20-21:50,128,131,27.99204324999987
2025-03-10,20:30-20:50,123,125,113.549268035713
2025-03-10,21:10-21:30,127,129,28.83649999999984
2025-03-11,20:30-20:40,123,124,177.74898486309496
2025-03-11,21:00-21:30,126,129,58.77057983333289
2025-03-12,20:30-20:40,123,124,194.00942683333164
2025-03-13,20:30-21:00,123,126,747.0946697559577
2025-03-15,20:40-21:50,124,131,242.33334464285804
2025-03-16,05:50-06:00,35,36,1.6400000000001
2025-03-17,20:30-20:40,123,124,3.8641172619018107
2025-03-17,20:50-21:10,125,127,21.150665375000084
2025-03-20,20:30-20:40,123,124,366.85856099404447
2025-03-20,21:40-21:50,130,131,5.158127416667026
2025-03-21,20:40-20:50,124,125,50.028416666666374
2025-03-21,21:30-21:40,129,130,111.65347970833352
2025-03-23,20:30-21:00,123,126,126.69572083333355
2025-03-24,20:30-20:40,123,124,118.06317582738393
2025-03-25,20:30-20:40,123,124,389.78699388690364
2025-03-25,21:00-21:30,126,129,22.048899333333452
2025-03-26,20:30-20:40,123,124,49.31852678571306
2025-03-27,20:30-20:40,123,124,100.62930794642648
2025-03-27,21:30-21:50,129,131,83.62891408333333
2025-03-28,21:30-21:40,129,130,3.6724815476192987
2025-03-29,20:40-20:50,124,125,23.037417922615134
2025-03-29,21:30-21:40,129,130,77.5363274047622
2025-03-31,20:30-20:40,123,124,515.3708342916634
2025-03-31,20:50-21:00,125,126,5.309859416666516
2025-04-01,20:00-20:50,120,125,2859.5000085238116
2025-04-01,21:40-21:50,130,131,23.36797820833358
2025-04-02,08:30-10:20,51,62,1986.6111063869105
2025-04-02,20:20-20:40,122,124,1473.9847940119043
2025-04-02,21:40-21:50,130,131,5.520778874999337
2025-04-03,08:40-09:30,52,57,540.8014269047658
2025-04-03,20:30-20:40,123,124,17.964460410712263
2025-04-05,21:30-21:50,129,131,68.9040130059505
2025-04-06,20:30-20:40,123,124,77.2721833333328
2025-04-06,20:50-21:00,125,126,16.7586399999999
2025-04-06,21:30-21:50,129,131,27.61389608333311
2025-04-08,09:00-09:40,54,58,117.41492916666385
2025-04-08,20:30-20:50,123,125,383.9762819702383
2025-04-08,21:00-21:30,126,129,42.05954999999985
2025-04-09,19:50-21:00,119,126,3030.2505329290843
