date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_events,solver_seconds,mip_gap
2025-01-01,6000.0,6000.0,0.0,92035.17001666666,0.0,0.0,0.0,0.0,366613.56615685835,366613.56615685835,1,0.0,0.0
2025-01-02,6000.0,6049.009037222222,96853.44019506173,1298.0248914999975,342.93226666666635,25679.923261728392,20756.629708500004,61778.212383179496,6670.959150943903,68449.1715341234,5,0.028322699945420027,0.0
2025-01-03,6049.009037222222,10800.0,97285.06258919752,0.0,44670.20378199588,14915.924073868315,7806.006633333334,62145.86173267929,0.0,62145.86173267929,0,0.02423490001820028,0.0
2025-01-04,10800.0,10800.0,81339.90561097392,0.0,34352.553626748966,11693.419039780518,9471.669422222221,49578.14153385155,0.0,49578.14153385155,0,0.01618080004118383,0.0
2025-01-05,10800.0,9978.71997,73200.694565625,20783.20168025,0.0,19407.0419625,16458.856016624995,43356.19272892761,122195.9319404479,165552.1246693755,3,0.023976400028914213,0.0
2025-01-06,9978.71997,9350.254381074075,77689.74823925925,16228.673209066666,0.0,20271.365149259254,16985.42480093333,46840.76714200807,95594.07328610387,142434.84042811196,3,0.040337299928069115,0.0
2025-01-07,9350.254381074075,8844.969986537037,80673.0163611111,15257.023237555552,0.0,20094.182125000003,16731.043476333332,49147.13501670505,91879.08769843173,141026.22271513677,4,0.016524899983778596,0.0
2025-01-08,8844.969986537037,8987.253256298944,96245.1830590535,420.27205988095204,2114.943420370365,25770.818100587887,20746.307718690477,61587.87138734729,2055.028019953808,63642.8994073011,1,0.025331699987873435,0.0
2025-01-09,8987.253256298944,9041.414701298945,96370.00045584948,287.3913603809481,620.8090785714278,25769.901686801873,20824.87506580953,61714.27906399247,1944.5399310805892,63658.81899507305,2,0.021948100067675114,1.17897474045494e-16
2025-01-10,9041.414701298945,9083.784481298946,49691.15165684891,441.2754131904715,538.3526195767216,21396.183851557904,17292.776117761907,25887.832343125745,2576.750421550852,28464.582764676594,2,0.02600080007687211,0.0
2025-01-11,9083.784481298946,9045.566258917994,49751.27330999411,201.1614576190475,980.0507639623769,21794.177826984123,17687.68044,26030.63600577364,965.8766174064276,26996.512623180068,1,0.025290999794378877,0.0
2025-01-12,9045.566258917994,9136.43781852117,96363.897937184,43.56120714285483,565.5709486772475,25759.02837898295,20783.028583333333,61649.71755079912,174.02702253570507,61823.74457333483,1,0.024485599948093295,0.0
2025-01-13,9136.43781852117,8886.439397410059,95625.47262674896,35.98128690476212,2916.853132921809,24713.907331922397,20243.263517857144,61055.54198473231,173.1039382005961,61228.6459229329,1,0.030019399942830205,0.0
2025-01-14,8886.439397410059,8706.620143706356,95374.01891990006,588.2785802142834,2015.2800126690154,25413.37832865961,20746.67377454762,60802.82738073505,3164.510425863627,63967.337806598676,3,0.02454160014167428,0.0
2025-01-15,8706.620143706356,8688.797741298948,94915.19786779834,697.0667842380906,665.5927613756675,25749.311155232208,20872.98219790477,60523.17541774609,4762.381696943828,65285.55711468992,5,0.028205999871715903,0.0
2025-01-16,8688.797741298948,8722.310272132281,95350.05305161668,720.9506087261911,2189.2424753674354,25144.4655643445,20336.85582936905,60830.362053598605,3733.900880764314,64564.262934362916,3,0.015918400138616562,0.0
2025-01-17,8722.310272132281,8606.69430676191,48669.926198104054,68.57463571428319,2170.221317945327,20964.31798968254,17085.15194047619,25303.10278106202,296.18899594106006,25599.291777003084,2,0.032862599939107895,0.0
2025-01-18,8606.69430676191,8546.656051497357,48380.57731368313,0.0,1216.5225768077676,20924.10605235155,17002.560332142857,25215.105910522554,0.0,25215.105910522554,0,0.029687900096178055,0.0
2025-01-19,8546.656051497357,8538.476411867729,94281.39705235155,465.43226182143576,1227.9328260141142,25490.098406099347,20654.341384607138,59965.56268161661,3215.783627365145,63181.34630898175,2,0.03810929995961487,0.0
2025-01-20,8538.476411867729,8568.238861126989,93819.54755927395,477.6046432619047,1383.0468343180503,25369.69796781305,20522.66914959524,59634.0768234368,2473.714255843999,62107.791079280796,4,0.0662795000243932,0.0
2025-01-21,8568.238861126989,8772.485926219584,93975.83988671369,0.0,5779.036072472069,23879.351433289245,19158.452302380952,59747.06532334938,0.0,59747.06532334938,0,0.027541799936443567,0.0
2025-01-22,8772.485926219584,8649.702735540573,93273.29967525965,584.3963905079391,277.3050295120545,25221.744953684098,20540.118284095235,59350.105022545875,3822.3510583765506,63172.45608092242,2,0.03091980004683137,0.0
2025-01-23,8649.702735540573,8696.955320540574,93344.20686987066,1275.8280273571413,377.51296591220853,24389.83686745052,19713.240536134923,59381.28435377992,8317.662779880677,67698.9471336606,3,0.03074189997278154,0.0
2025-01-24,8696.955320540574,8724.373305141089,46987.60271421712,0.0,3124.5399141220946,21099.860336602964,17066.210686507937,24362.74604487921,0.0,24362.74604487921,0,0.03531649988144636,0.0
2025-01-25,8724.373305141089,8892.922543809522,46745.88348834998,0.0,4213.645767460317,20741.936523270622,16649.274269047615,24350.12777796971,0.0,24350.12777796971,0,0.025762700010091066,0.0
2025-01-26,8892.922543809522,8945.552987266312,92169.2933551734,460.82704211904195,194.201973074664,24681.89995670194,19944.971565817465,58508.74362372612,3210.1016179113253,61718.84524163745,1,0.025212100008502603,0.0
2025-01-27,8945.552987266312,9008.677387151676,91976.12003809522,0.0,3250.972269860871,23544.310657916903,19014.079673015873,58294.79071051777,0.0,58294.79071051777,0,0.027296599932014942,0.0
2025-01-28,9008.677387151676,9033.088828818343,91361.32657844404,857.4545176031738,405.2489420634922,25321.907841142463,20488.7750538254,57731.08357858302,5494.154352610918,63225.237931193944,3,0.030192699981853366,0.0
2025-01-29,9033.088828818343,9394.819595154326,92067.98740983978,0.0,6083.685453292172,22492.3327202381,17893.231813690472,58307.49875339391,0.0,58307.49875339391,0,0.046016399981454015,0.0
2025-01-30,9394.819595154326,9480.755109089514,91235.38999940475,233.1665267976184,2952.9495538947663,24714.11698122428,19941.09279225,57620.5934864219,1326.518482385721,58947.11196880763,2,0.01554060005582869,0.0
2025-01-31,9480.755109089514,9717.775484327613,43914.79525935479,0.0,875.1990094282859,21378.70980111698,17103.43660119048,22673.917207194092,0.0,22673.917207194092,0,0.04869999992661178,0.0
2025-02-01,9717.775484327613,10349.573508633166,43936.01349223986,0.0,5204.303827314815,19920.607945877422,15567.074214285713,22771.860309441592,0.0,22771.860309441592,0,0.04891929985024035,0.0
2025-02-02,10349.573508633166,10785.902508077612,90092.79671764401,0.0,7003.097649191651,22845.92115238095,18112.500033928573,56730.7890261898,0.0,56730.7890261898,0,0.027344200061634183,0.0
2025-02-03,10785.902508077612,10800.0,89200.48522804232,0.0,4674.1848994439715,22614.189925622162,18304.80609702381,56118.642579712556,0.0,56118.642579712556,0,0.0313124000094831,0.0
