hour,emergency_kWh,emergency_cost_yuan
1,1086.5217796845236,2342.205607633217
2,2845.3865997499993,6168.479754270624
3,2221.762585017857,4849.377164788928
4,2488.391082648809,5463.975564521693
5,2255.239821625001,6975.397823656749
6,13810.92244070238,60470.51366759089
7,12704.34412305355,57452.77779824575
8,43594.11965724402,232759.01849649768
9,68270.89569826503,334662.0118277665
10,33277.54536966071,159584.26889782166
11,372.3338026130925,890.6291861202852
14,194.4911270595244,761.8760666907647
15,1070.4533547619046,3979.6426534749994
16,978.0292601190472,4347.973966683629
17,798.1819640416718,4229.070538297581
18,5573.681415058125,37138.03118659945
19,86178.14957882298,580877.6060772329
20,308344.67051046464,2083200.3608741437
21,31811.872980386383,136430.8349200736
22,19063.94162133333,39840.89999697904
23,20361.627110594796,43252.521570270204
