strategy_id,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,theta,theta_preset,residual_days,fallback_reason,solver_seconds,mip_gap,milp_fallback,nominal_terminal_error_kWh
A1_load_arima,2025-02-01,8801.462273333342,7854.577993703705,49457.229257407394,0.0,12843.096240740746,16253.436499999982,14017.47941666666,3182.8413629629613,26236.431230166665,0.0,26236.431230166665,0,0,0.80,0.80,28,,0.02444349997676909,0.0,False,0.0
A1_load_arima,2025-02-02,7854.577993703705,7412.415866111111,94769.6339547325,0.0,12999.81900329218,20060.436401440333,16646.8994,3855.6991290329233,60855.23264711353,0.0,60855.23264711353,0,0,0.80,0.80,28,,0.02813770016655326,0.0,False,0.0
A1_load_arima,2025-02-03,7412.415866111111,7188.458649814816,91768.32690432099,0.0,7739.514810493831,21123.458360493823,17311.562766666666,4035.852810123457,58410.78794515716,0.0,58410.78794515716,0,0,0.80,0.80,28,,0.025341799948364496,0.0,False,0.0
A1_load_arima,2025-02-04,7188.458649814816,7204.909921296296,92796.45102592591,0.0,7231.684732304529,22921.558943621392,18551.6566,4353.451072139918,58863.44248822862,0.0,58863.44248822862,0,0,0.80,0.80,28,,0.028282699873670936,0.0,False,0.0
A1_load_arima,2025-02-05,7204.909921296296,6610.406920532632,91857.33903539416,0.0,7475.376870668716,21939.93622147057,18306.401040078457,4228.038182155775,58428.32806226715,0.0,58428.32806226715,0,0,0.80,0.80,28,,0.025786199839785695,0.0,False,0.0
A1_load_arima,2025-02-06,6610.406920532632,6772.924558492144,92010.16353879217,0.9996272617216846,7410.956001549682,22015.17933512632,17686.029387288763,4166.632309878051,58368.0696610907,5.83932264934722,58373.90898374005,1,1,0.80,0.80,28,,0.024558600038290024,0.0,False,0.0
A1_load_arima,2025-02-07,6772.924558492144,6523.314365466968,43947.902597924796,0.0,8782.91644855732,18862.92450749196,15503.618024791143,3608.9166757259904,22752.222720648286,0.0,22752.222720648286,0,0,0.80,0.80,28,,0.06185770011506975,0.0,False,0.0
A1_load_arima,2025-02-08,6523.314365466968,6450.010027421474,38505.901229968935,0.0,3393.65059043115,18952.956984800305,15417.869061929183,3608.3922609166075,19976.9795057207,0.0,19976.9795057207,0,0,0.80,0.80,28,,0.03167950012721121,0.0,False,0.0
A1_load_arima,2025-02-09,6450.010027421474,6214.978989553517,84960.28041103763,199.03919878547126,1170.3093040895592,24448.011963937006,20014.41762487013,4668.625376934827,53144.213398005064,801.6742548874867,53945.887652892554,2,2,0.80,0.80,28,,0.024861000012606382,0.0,False,0.0
A1_load_arima,2025-02-10,6214.978989553517,6242.867175215807,88661.39225290706,0.0,10411.828779619744,20514.87643609429,16591.950546140317,3895.0377042916875,55697.284850093885,0.0,55697.284850093885,0,0,0.80,0.80,28,,0.02498129988089204,0.0,False,0.0
A1_load_arima,2025-02-11,6242.867175215807,6143.720370756627,82218.34804127896,28.483576761862466,2644.4555034743757,23531.637396033595,19149.858414800474,4480.925785692302,51129.77444422881,136.25167738876695,51266.02612161758,3,2,0.80,0.80,28,,0.027356999926269054,0.0,False,0.0
A1_load_arima,2025-02-12,6143.720370756627,6279.221402107977,83877.21060347263,0.0,4197.5839356534525,22583.892664577063,18171.002130091205,4277.389503134507,52383.54565215585,0.0,52383.54565215585,0,0,0.80,0.80,28,,0.02558130002580583,0.0,False,0.0
A1_load_arima,2025-02-13,6279.221402107977,6328.525321537277,84044.4193015625,0.0,8848.63793867706,20115.414835433687,16249.112489214911,3816.9984267894706,52676.180828683144,0.0,52676.180828683144,0,0,0.80,0.80,28,,0.02850149990990758,0.0,False,0.0
A1_load_arima,2025-02-14,6328.525321537277,6231.89895311767,36323.82623019213,0.0,3088.760352887492,18527.514695871647,15094.250635233675,3529.890429057574,18917.262019129717,0.0,18917.262019129717,0,0,0.80,0.80,28,,0.037720799911767244,0.0,False,0.0
A1_load_arima,2025-02-15,6231.89895311767,6149.249155372151,36906.83468662991,0.0,4279.512978782236,18008.502241150767,14661.271633303088,3429.880405593198,19278.559482727134,0.0,19278.559482727134,0,0,0.80,0.80,28,,0.04447040008381009,0.0,False,0.0
A1_load_arima,2025-02-16,6149.249155372151,6248.759470024738,82890.94342326098,0.0,3099.537085470565,22760.357655805732,18346.330418015306,4314.51692313783,51513.30148211324,0.0,51513.30148211324,0,0,0.80,0.80,28,,0.023781899828463793,0.0,False,0.0
A1_load_arima,2025-02-17,6248.759470024738,6339.691221118984,83574.52252432969,0.0,8558.914822042212,19736.347155978907,15904.602620358091,3740.812784526569,51899.78601586631,0.0,51899.78601586631,0,0,0.80,0.80,28,,0.032212099991738796,0.0,False,0.0
A1_load_arima,2025-02-18,6339.691221118984,6606.4121098868045,79343.96700958602,22.58626904435266,2757.7656865063836,22512.373731050648,17994.97392225999,4250.678920022842,49067.90336324899,102.75623101728245,49170.65959426627,1,1,0.80,0.80,28,,0.02171589992940426,0.0,False,0.0
A1_load_arima,2025-02-19,6606.4121098868045,6031.980496294053,79749.81063080725,40.95759479740218,3094.443089247187,22810.453711882135,18993.45595885801,4391.429366616881,49488.260630393284,179.37378641522284,49667.634416808505,1,1,0.80,0.80,28,,0.03510099998675287,0.0,False,0.0
A1_load_arima,2025-02-20,6031.980496294053,6565.8857118188225,81361.01666468548,23.297083333333376,5932.556233329102,20937.416249389964,16478.792468033582,3924.7185658316175,50693.64501453117,109.12353833333353,50802.7685528645,1,1,0.80,0.80,28,,0.033130599884316325,0.0,False,0.0
A1_load_arima,2025-02-21,6565.8857118188225,6725.960170723862,36019.7617219415,0.0,6975.501525495751,17578.58500051515,14094.586837402734,3323.923704207375,18798.67242189233,0.0,18798.67242189233,0,0,0.80,0.80,28,,0.043288700049743056,0.0,False,0.0
A1_load_arima,2025-02-22,6725.960170723862,6747.266275349764,35759.473816899,0.0,4602.398628090003,17332.299006907124,14019.98670143146,3291.0062008497644,18704.371663768878,0.0,18704.371663768878,0,0,0.80,0.80,28,,0.0558166999835521,0.0,False,0.0
A1_load_arima,2025-02-23,6747.266275349764,6463.212812474457,82023.44084924288,0.0,6903.082996762921,20232.380451233767,16643.876282087134,3872.5576320219484,51209.63951592255,0.0,51209.63951592255,0,0,0.80,0.80,28,,0.025210699997842312,0.0,False,0.0
A1_load_arima,2025-02-24,6463.212812474457,6534.74229600898,79979.46101675059,8.842916666666724,7880.24046241156,20213.96483767351,16308.934983334475,3833.500370804515,49321.057121404185,41.42022166666693,49362.47734307085,1,1,0.80,0.80,28,,0.02151310001499951,1.4752233708765804e-16,False,0.0
A1_load_arima,2025-02-25,6534.74229600898,6346.591440332172,77450.33999783489,24.366700898480303,7912.589985581295,20579.627631199288,16838.834151380546,3928.9443354955456,47723.05015355461,106.7139665848945,47829.7641201395,1,1,0.80,0.80,28,,0.0258434999268502,0.0,False,0.0
A1_load_arima,2025-02-26,6346.591440332172,6854.827245035961,75055.88674064352,0.0,1492.2087417047012,22586.409165116183,17837.579199510696,4240.594160901697,46122.71074789566,0.0,46122.71074789566,0,0,0.80,0.80,28,,0.022189399925991893,0.0,False,0.0
A1_load_arima,2025-02-27,6854.827245035961,6504.128719306025,77084.71989931712,232.37402199800297,6403.712364347578,22486.45279012897,18529.655433161413,4307.495882697499,47493.54030387619,1151.6227679870378,48645.16307186322,3,1,0.80,0.80,28,,0.04125819983892143,0.0,False,0.0
A1_load_arima,2025-02-28,6504.128719306025,6565.690255059824,35069.22792010226,0.0,8476.160390305251,17079.308408518897,13778.834428721892,3238.9124440432115,18142.620476207645,0.0,18142.620476207645,0,0,0.80,0.80,28,,0.035013599786907434,0.0,False,0.0
A1_load_arima,2025-03-01,6565.690255059824,6669.453419293444,34925.01995404798,0.0,8080.862999443222,16273.706176111416,13088.315154839991,3081.627857037808,18175.360281780067,0.0,18175.360281780067,0,0,0.80,0.80,28,,0.032134899869561195,0.0,False,0.0
A1_load_arima,2025-03-02,6669.453419293444,6096.849773353077,81249.38255188637,433.6120474931619,6036.135804492638,20020.500050350354,16731.94832213012,3861.155374160605,50651.92085469616,2987.140122690687,53639.06097738685,2,2,0.80,0.80,28,,0.036465799901634455,0.0,False,0.0
A1_load_arima,2025-03-03,6096.849773353077,6358.765523834764,84942.63113850405,0.0,8427.6751197146,22432.027421171522,17934.218035715417,4235.893634974422,52779.91643130101,0.0,52779.91643130101,0,0,0.80,0.80,28,,0.014838199829682708,1.3785466340504538e-16,False,0.0
A1_load_arima,2025-03-04,6358.765523834764,6351.752197747139,83255.24890525236,0.0,10322.42255090159,19682.528497349,15949.160076331553,3740.3817471050743,51955.701949310984,0.0,51955.701949310984,0,0,0.80,0.80,28,,0.04709020000882447,0.0,False,0.0
A1_load_arima,2025-03-05,6351.752197747139,6305.485599899885,79977.02356951218,3.286666666666747,10270.806733481095,19056.165389966416,15477.13390393533,3625.2980838783456,49376.42140035718,14.952690000000366,49391.37409035718,1,1,0.80,0.80,28,,0.02411750005558133,0.0,False,0.0
A1_load_arima,2025-03-06,6305.485599899885,6335.065418796913,76580.95616756036,0.0,6713.585288585129,20526.815308603076,16600.098562961168,3897.136926744883,47274.94982138289,0.0,47274.94982138289,0,0,0.80,0.80,28,,0.0298183998093009,0.0,False,0.0
A1_load_arima,2025-03-07,6335.065418796913,6775.823874705229,33323.151098909664,0.0,9011.716237417073,15749.82483074616,12360.675502586902,2948.3908722509395,17468.205452644805,0.0,17468.205452644805,0,0,0.80,0.80,28,,0.08103989996016026,0.0,False,0.0
A1_load_arima,2025-03-08,6775.823874705229,6701.654861661257,31500.861367726604,206.1673074621168,9541.50269163993,16679.676729587925,13577.290262705796,3176.5554799261035,16704.485070530012,790.3878797739051,17494.872950303918,3,1,0.80,0.80,28,,0.04462429997511208,0.0,False,0.0
A1_load_arima,2025-03-09,6701.654861661257,6567.531618076663,72474.29462885458,0.0,5251.398856682013,21105.69284946686,17216.322127294297,4023.4939657571645,44451.402135117365,0.0,44451.402135117365,0,0,0.80,0.80,28,,0.024547899840399623,0.0,False,0.0
A1_load_arima,2025-03-10,6567.531618076663,6424.769020562845,71465.76496117504,782.2359656372754,320.09051989220075,21128.02786675037,17242.18890983024,4028.6015544339534,43783.19129506805,5444.705421398938,49227.89671646699,2,1,0.80,0.80,28,,0.025109400041401386,0.0,False,0.0
A1_load_arima,2025-03-11,6424.769020562845,6564.148934125069,76565.67819902954,0.0,8681.386390883434,20104.90045231639,16159.527444170271,3805.9930945838923,46493.692684826216,0.0,46493.692684826216,0,0,0.80,0.80,28,,0.027495099930092692,0.0,False,0.0
A1_load_arima,2025-03-12,6564.148934125069,6397.7777357697105,72450.17398888922,0.0,6204.693343470769,20840.42126634184,17030.475304256717,3976.317160440487,44194.21606464275,0.0,44194.21606464275,0,0,0.80,0.80,28,,0.02174540003761649,0.0,False,0.0
A1_load_arima,2025-03-13,6397.7777357697105,6265.608015041161,70097.3796471302,2141.9534539715787,901.7439391249237,20583.809968241472,16791.838822931288,3924.1408660387356,42577.963183983644,12605.136875544347,55183.10005952799,10,2,0.80,0.80,28,,0.026656299829483032,0.0,False,0.0
A1_load_arima,2025-03-14,6265.608015041161,6619.231344823922,31134.71568105703,0.0,11602.72972642338,16759.468286820178,13256.908315519862,3148.936641517559,16286.612141628477,0.0,16286.612141628477,0,0,0.80,0.80,28,,0.048692299984395504,0.0,False,0.0
A1_load_arima,2025-03-15,6619.231344823922,6144.592339882388,31376.41206435723,0.0,7793.262159625815,16243.157153572629,13584.132398841215,3133.6637596729543,16358.946597316639,0.0,16358.946597316639,0,0,0.80,0.80,28,,0.043968699872493744,0.0,False,0.0
A1_load_arima,2025-03-16,6144.592339882388,6740.02334703969,75161.23076357174,1.6400000000001,7346.754539860549,20679.9020207173,16214.832730339444,3869.6382832205577,45578.43724761343,7.461180000000455,45585.89842761343,1,1,0.80,0.80,28,,0.02944959979504347,0.0,False,0.0
A1_load_arima,2025-03-17,6740.02334703969,6614.6840922944175,71926.58253681657,0.0,10570.684514816887,19003.010094405858,15505.243505739496,3623.105843411642,43742.03369071371,0.0,43742.03369071371,0,0,0.80,0.80,28,,0.027409500209614635,0.0,False,0.0
A1_load_arima,2025-03-18,6614.6840922944175,6474.632506548238,66117.64607882858,1374.3026955669548,2409.6489884008697,21486.251823681916,17529.910404353912,4096.393005074182,39889.577620536984,6975.169300573336,46864.746921110316,8,1,0.80,0.80,28,,0.023886100156232715,0.0,False,0.0
A1_load_arima,2025-03-19,6474.632506548238,6748.153767041709,71084.51039247315,0.0,7486.999547832727,20451.954001033155,16319.913606392734,3858.5191341469535,43246.70132218305,0.0,43246.70132218305,0,0,0.80,0.80,28,,0.025789600098505616,0.0,False,0.0
