strategy_id,date,slot,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,load_kW,pv_kW,net_actual_kWh,residual_kWh,residual_available_at,valid
A1_load_arima,2025-01-01,0,,,,3529.7296,0.0,588.2882666666667,,2025-01-02,0
A1_load_arima,2025-01-01,1,,,,3609.5287,0.0,601.5881166666666,,2025-01-02,0
A1_load_arima,2025-01-01,2,,,,3726.56,0.0,621.0933333333332,,2025-01-02,0
A1_load_arima,2025-01-01,3,,,,3510.6311,0.0,585.1051833333333,,2025-01-02,0
A1_load_arima,2025-01-01,4,,,,3502.5625,0.0,583.7604166666666,,2025-01-02,0
A1_load_arima,2025-01-01,5,,,,3787.01,0.0,631.1683333333333,,2025-01-02,0
A1_load_arima,2025-01-01,6,,,,3900.3205,0.0,650.0534166666666,,2025-01-02,0
A1_load_arima,2025-01-01,7,,,,3916.8376,0.0,652.8062666666666,,2025-01-02,0
A1_load_arima,2025-01-01,8,,,,3817.28,0.0,636.2133333333334,,2025-01-02,0
A1_load_arima,2025-01-01,9,,,,3533.0136,0.0,588.8356,,2025-01-02,0
A1_load_arima,2025-01-01,10,,,,3694.6613,0.0,615.7768833333333,,2025-01-02,0
A1_load_arima,2025-01-01,11,,,,4064.73,0.0,677.4549999999999,,2025-01-02,0
A1_load_arima,2025-01-01,12,,,,3810.671,0.0,635.1118333333333,,2025-01-02,0
A1_load_arima,2025-01-01,13,,,,3844.9495,0.0,640.8249166666667,,2025-01-02,0
A1_load_arima,2025-01-01,14,,,,4234.62,0.0,705.77,,2025-01-02,0
A1_load_arima,2025-01-01,15,,,,4109.9755,0.0,684.9959166666665,,2025-01-02,0
A1_load_arima,2025-01-01,16,,,,3996.8945,0.0,666.1490833333332,,2025-01-02,0
A1_load_arima,2025-01-01,17,,,,4102.19,0.0,683.6983333333333,,2025-01-02,0
A1_load_arima,2025-01-01,18,,,,4086.0577,0.0,681.0096166666666,,2025-01-02,0
A1_load_arima,2025-01-01,19,,,,4133.7626,0.0,688.9604333333333,,2025-01-02,0
A1_load_arima,2025-01-01,20,,,,4179.18,0.0,696.53,,2025-01-02,0
A1_load_arima,2025-01-01,21,,,,3953.3711,0.0,658.8951833333333,,2025-01-02,0
A1_load_arima,2025-01-01,22,,,,3910.7496,0.0,651.7916,,2025-01-02,0
A1_load_arima,2025-01-01,23,,,,4099.31,0.0,683.2183333333334,,2025-01-02,0
A1_load_arima,2025-01-01,24,,,,4123.8623,0.0,687.3103833333332,,2025-01-02,0
A1_load_arima,2025-01-01,25,,,,4169.0068,0.0,694.8344666666667,,2025-01-02,0
A1_load_arima,2025-01-01,26,,,,4260.24,0.0,710.04,,2025-01-02,0
A1_load_arima,2025-01-01,27,,,,4217.2222,0.0,702.8703666666667,,2025-01-02,0
A1_load_arima,2025-01-01,28,,,,4261.857,0.0,710.3095,,2025-01-02,0
A1_load_arima,2025-01-01,29,,,,4341.9,0.0,723.6499999999999,,2025-01-02,0
A1_load_arima,2025-01-01,30,,,,4208.2208,0.0021,701.3697833333333,,2025-01-02,0
A1_load_arima,2025-01-01,31,,,,4302.1233,0.0,717.02055,,2025-01-02,0
A1_load_arima,2025-01-01,32,,,,4456.59,0.0,742.765,,2025-01-02,0
A1_load_arima,2025-01-01,33,,,,4148.637,0.0299,691.4345166666665,,2025-01-02,0
A1_load_arima,2025-01-01,34,,,,4498.1333,0.0,749.6888833333334,,2025-01-02,0
A1_load_arima,2025-01-01,35,,,,5369.38,0.0,894.8966666666666,,2025-01-02,0
A1_load_arima,2025-01-01,36,,,,5440.8991,0.4169,906.7470333333332,,2025-01-02,0
A1_load_arima,2025-01-01,37,,,,5316.893,0.0,886.1488333333333,,2025-01-02,0
A1_load_arima,2025-01-01,38,,,,5399.82,0.0,899.9699999999999,,2025-01-02,0
A1_load_arima,2025-01-01,39,,,,5447.4007,5.8062,906.9324166666667,,2025-01-02,0
A1_load_arima,2025-01-01,40,,,,5444.401,0.0,907.4001666666666,,2025-01-02,0
A1_load_arima,2025-01-01,41,,,,5433.63,3.075,905.0925,,2025-01-02,0
A1_load_arima,2025-01-01,42,,,,5449.2818,175.7953,878.9144166666666,,2025-01-02,0
A1_load_arima,2025-01-01,43,,,,5510.0042,421.496,848.0847,,2025-01-02,0
A1_load_arima,2025-01-01,44,,,,5476.0,677.1,799.8166666666666,,2025-01-02,0
A1_load_arima,2025-01-01,45,,,,5329.4215,950.8112,729.7683833333333,,2025-01-02,0
A1_load_arima,2025-01-01,46,,,,6084.1163,1255.5705,804.7576333333333,,2025-01-02,0
A1_load_arima,2025-01-01,47,,,,7316.0,1592.2875,953.9520833333332,,2025-01-02,0
A1_load_arima,2025-01-01,48,,,,7469.4947,1937.5212,921.9955833333333,,2025-01-02,0
A1_load_arima,2025-01-01,49,,,,7225.691,2225.1261,833.4274833333332,,2025-01-02,0
A1_load_arima,2025-01-01,50,,,,7216.13,2490.1125,787.6695833333333,,2025-01-02,0
A1_load_arima,2025-01-01,51,,,,7361.7004,2826.3146,755.8976333333333,,2025-01-02,0
A1_load_arima,2025-01-01,52,,,,7275.513,3122.1315,692.2302499999998,,2025-01-02,0
A1_load_arima,2025-01-01,53,,,,7077.29,3350.9625,621.0545833333333,,2025-01-02,0
A1_load_arima,2025-01-01,54,,,,7221.8762,3601.7977,603.3464166666665,,2025-01-02,0
A1_load_arima,2025-01-01,55,,,,7229.5513,3875.6352,558.9860166666666,,2025-01-02,0
A1_load_arima,2025-01-01,56,,,,7099.33,4149.825,491.58416666666665,,2025-01-02,0
A1_load_arima,2025-01-01,57,,,,7297.1521,4403.4802,482.27865,,2025-01-02,0
A1_load_arima,2025-01-01,58,,,,7313.1756,4624.7505,448.0708499999999,,2025-01-02,0
A1_load_arima,2025-01-01,59,,,,7099.46,4836.6375,377.13708333333335,,2025-01-02,0
A1_load_arima,2025-01-01,60,,,,7125.5214,5080.7024,340.8031666666666,,2025-01-02,0
A1_load_arima,2025-01-01,61,,,,7096.3104,5338.7528,292.92626666666666,,2025-01-02,0
A1_load_arima,2025-01-01,62,,,,6986.17,5494.725,248.5741666666666,,2025-01-02,0
A1_load_arima,2025-01-01,63,,,,7098.9702,5437.9778,276.83206666666666,,2025-01-02,0
A1_load_arima,2025-01-01,64,,,,7193.993,5396.2126,299.6300666666667,,2025-01-02,0
A1_load_arima,2025-01-01,65,,,,7135.18,5372.1,293.84666666666664,,2025-01-02,0
A1_load_arima,2025-01-01,66,,,,7042.947,5182.9722,309.9958,,2025-01-02,0
A1_load_arima,2025-01-01,67,,,,7069.1675,5131.5011,322.94439999999986,,2025-01-02,0
A1_load_arima,2025-01-01,68,,,,7129.17,5294.775,305.7325000000001,,2025-01-02,0
A1_load_arima,2025-01-01,69,,,,6971.0393,5434.7444,256.0491500000001,,2025-01-02,0
