a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,delta_pv_mae_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_protected_bias_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_protected_bias_kWh,delta_protected_bias_kWh,publication_hour,group_type,month,clock,boundary,is_generation
48096,207.47110994538698,394.21186605842445,-29.6762228147871,48096,48.499739368595236,73.18220822238477,-4.377892616865954,48096,207.27677081799465,398.80618264153776,-29.676222814787035,48096,48.67140420522623,73.87151539397323,-4.377892616865945,-0.1943391273923396,6.394884621840902e-14,0.1716648366309954,8.881784197001252e-15,0.7895874916833001,6.798816524516291,54.8245527906863,43.64784364930406,48.02573626617001,0.790086493679308,6.872853124353844,55.67018322940999,44.419437488190205,48.797330105056155,0.7715938388861474,0,overall,,,,
4032,179.06938874421297,340.76496880585165,-66.60507492559525,4032,41.30959352831166,63.362587163362186,-17.23999952305498,4032,175.13737450521043,339.4654778847473,-66.6050749255952,4032,41.11820186056863,63.16763561298667,-17.23999952305497,-3.932014239002541,4.263256414560601e-14,-0.19139166774302652,1.0658141036401503e-14,0.8120039682539683,3.949381408277331,51.01490236301439,29.825521431682088,47.06552095473706,0.8139880952380952,4.016747186007871,51.584611302472176,30.32786459340933,47.56786411646429,0.5023431617272323,0,month,2025-02,,,
4464,223.2006910916965,421.6908278981753,-76.85391857078854,4464,46.051259648344,72.07967047115879,-9.928491184777682,4464,221.57551016768,422.9268518131775,-76.85391857078847,4464,45.880108349607674,72.21740967946205,-9.92849118477767,-1.6251809240165187,7.105427357601002e-14,-0.1711512987363264,1.2434497875801753e-14,0.7618727598566308,6.970476029362446,47.781412561464535,30.882445347324406,40.81093653210209,0.7638888888888888,7.11002686990454,48.74252549648925,31.70400744180704,41.63249862658471,0.8215620944826227,0,month,2025-03,,,
4320,224.04804036265432,398.8815400813177,-7.00097821759259,4320,45.89306248837403,69.00158680901117,4.19496905923888,4320,223.37343022112623,405.7851692694873,-7.000978217592533,4320,45.937478550769015,70.15745125578496,4.19496905923889,-0.6746101415280918,5.684341886080802e-14,0.044416062394986966,9.769962616701378e-15,0.7587962962962963,8.39121754362366,46.109133682050064,41.91288519766528,37.7179161384264,0.7594907407407407,8.412539778926277,46.92824313893081,42.710672419243416,38.51570336000453,0.7977872215781261,0,month,2025-04,,,
4464,202.58610144115892,359.08211805974895,13.883324283154112,4464,46.12986344681428,65.66764490257214,7.523538074689446,4464,203.01058193744373,366.63898542901626,13.883324283154195,4464,46.08184596340321,66.5873005007823,7.52353807468946,0.424480496284815,8.348877145181177e-14,-0.0480174834110656,1.4210854715202004e-14,0.7954749103942652,6.76798871890091,56.353659527319394,57.109208883107925,49.58567080841848,0.7939068100358423,6.845314897483431,57.17259137235886,57.85081454956488,50.327276474875426,0.7416056664569481,0,month,2025-05,,,
4320,207.14226628858026,376.8041911034531,-31.132420300925947,4320,49.064694658475425,69.45299888459759,-2.4310731558350107,4320,211.1652780339912,384.9991556535314,-31.132420300925865,4320,49.83389743928248,70.66436796484737,-2.4310731558350005,4.02301174541094,8.171241461241152e-14,0.7692027808070563,1.021405182655144e-14,0.8030092592592593,6.87488453324258,61.150465700776195,51.84450801169861,54.27558116753361,0.8041666666666667,6.941787110701924,62.4003963143039,53.02753604776698,55.45860920360198,1.1830280360683716,0,month,2025-06,,,
4464,216.61831875,392.1098853913911,5.322196102150534,4464,57.416880229622905,80.72643783389003,3.5065539375419292,4464,218.40015142107308,400.96318165995484,5.322196102150602,4464,57.77815399496519,81.89671366061405,3.506553937541941,1.78183267107309,6.750155989720952e-14,0.3612737653422826,1.1546319456101628e-14,0.7829301075268817,9.274588866902686,67.04230299626714,61.27426806690638,57.76771412936444,0.7820340501792115,9.362022540728363,67.82090489201227,61.965436288825835,58.45888235128388,0.6911682219194404,0,month,2025-07,,,
4464,267.5031120183692,510.1293938931368,-82.70563438620073,4464,59.60328169985038,94.53094454732722,-25.89109982461778,4464,264.0073058990775,512.7710613699436,-82.70563438620064,4464,59.80046076709962,94.94497815214024,-25.89109982461777,-3.4958061192917285,8.526512829121202e-14,0.1971790672492446,1.0658141036401503e-14,0.8080197132616488,6.28735485093356,68.4032424858979,36.22478781034658,62.11588763496435,0.8095878136200717,6.484073564832595,69.47477384815221,37.099600458701836,62.990700283319605,0.8748126483552525,0,month,2025-08,,,
4320,229.88354457561726,426.0435769661253,0.16144682870369875,4320,61.90741740497447,87.65529451507693,-12.788115929842352,4320,233.1420113549934,435.8623550139983,0.1614468287037358,4320,62.712589294312544,89.04582191183675,-12.788115929842343,3.2584667793761355,3.70536934468646e-14,0.8051718893380766,8.881784197001252e-15,0.7578703703703704,10.113592430282406,59.67079993456333,36.769091574438576,49.557207504280925,0.7597222222222222,10.146231071932958,60.57330797557388,37.63896097379858,50.42707690364092,0.8698693993599989,0,month,2025-09,,,
4464,251.82718196311234,480.7877746085096,-85.56521467293909,4464,51.715893061176956,81.33847362213542,-9.140390626933522,4464,245.19797706004678,477.29861318756105,-85.56521467293904,4464,50.9041676266069,80.87212223331314,-9.140390626933515,-6.629204903065556,5.684341886080802e-14,-0.8117254345700573,7.105427357601002e-15,0.7876344086021505,6.200229825139091,59.03748239156785,43.69686193949523,52.83725256642875,0.7860663082437276,6.309008655517927,59.73446657441253,44.28506729196108,53.4254579188946,0.5882053524658488,0,month,2025-10,,,
