strategy_id,date,ordinary_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,charge_kWh,discharge_kWh,state_start_kWh,state_end_kWh
C75,2025-03-20,40691.11370865487,1712.0049971597823,997.8223193088413,43400.941025123495,205.89645546103097,21436.807463831974,17584.14431274329,1925.2370983931978,1680.4256905716531
C75,2025-06-21,19878.676738811148,111.45817064673666,0.0,19990.134909457884,0.0,12751.342456890576,10004.286533592376,2315.777226765733,2676.111511753497
C75,2025-09-23,42036.26784266418,1789.2830632836854,727.3805745228728,44552.93148047074,141.4680661417171,21997.86192429176,17689.54234347221,1303.712319653436,1446.7410032135624
C75,2025-12-21,61485.60694145317,1170.0001069142409,177.69687109146852,62833.30391945888,30.59255764680529,24706.413415831255,20122.398900595228,1758.5153206626965,1636.0663942494637
C80,2025-03-20,40896.07406819839,1783.833734871317,3.8455320028558697,42683.753335072564,0.7708794232446365,21508.953645343132,17713.680651344326,2053.699268860237,1729.890159286475
C80,2025-06-21,20374.020941605617,120.51237101439808,0.0,20494.533312620017,0.0,12508.74294058145,9782.020975779615,2618.5037235487875,3007.460174761405
C80,2025-09-23,42684.51819957103,2085.2598502286123,42.99618749999924,44812.77423729964,6.374999999999886,21452.904837178674,17380.42489108489,1580.366661352368,1576.3978024966298
C80,2025-12-21,61978.049776184314,1052.0732219687052,76.56510583993818,63106.68810399296,13.181562510103845,24483.834033765823,19947.209732943425,1926.3278062693028,1798.2120667214042
L75,2025-03-20,40711.9707074165,1581.5292937082536,1115.8362557671778,43409.33625689193,229.68479177595466,21503.010936729617,17637.67146668324,1925.2442968058967,1680.5413991033959
L75,2025-06-21,19905.640744647575,122.06856676695105,0.0,20027.709311414525,0.0,12719.838037479709,9976.96927524386,2364.3270152332725,2726.659832027385
L75,2025-09-23,42174.55363331404,1403.8831899078002,273.8527875031822,43852.28961072502,64.8342223529864,22033.22221574561,17764.319605651293,1354.9739042106196,1446.7410032135624
L75,2025-12-21,61487.78453332923,1212.3578559842285,174.43746906019368,62874.57985837365,30.031414144821156,24730.04660813004,20141.53229588105,1758.5031526732782,1636.064771233591
L80,2025-03-20,41004.08985897812,1715.3800044602942,166.21081677523463,42885.68068021365,33.31879658719748,21494.903324091458,17702.297461963797,2053.707415024257,1729.901004524574
L80,2025-06-21,20386.400658967155,106.18678382927422,0.0,20492.58744279643,0.0,12481.982830701327,9763.468070713583,2659.6039301365204,3045.090621419285
L80,2025-09-23,42767.297282902735,1684.6439975449662,42.99618749999924,44494.9374679477,6.374999999999886,21463.734519414065,17382.230232186303,1632.4137540540348,1636.1856746530234
L80,2025-12-21,61961.153850454975,1109.4383694796309,75.03297105739837,63145.625190992,12.91778790692922,24492.470592835067,19954.576497862934,1926.739753678924,1798.2116229383355
