month,C75,C80,L75,L80,d_bias_80,d_bias_75,d_quantile_L,d_quantile_C,d_combined_75_vs_80,em_C75,em_C80,em_L75,em_L80,em_d_bias_80,em_d_bias_75,em_d_quantile_L,em_d_quantile_C,em_d_combined_75_vs_80
2025-02,1193157.7834505348,1205034.1724683952,1194184.2319153734,1204656.4406416598,377.7318267354276,-1026.448464838555,-10472.208726286422,-11876.389017860405,-11498.657191124978,872.5857808353778,332.1742402263068,1592.821955847909,553.3541835803611,-221.17994335405433,-720.2361750125312,1039.4677722675478,540.411540609071,319.2315972550167
2025-03,1106244.2379756845,1114822.050196979,1104849.442870419,1113993.8041688993,828.2460280796513,1394.7951052654535,-9144.361298480304,-8577.812221294502,-7749.5661932148505,1542.513882955238,637.1259698585446,1624.8721186038256,710.3551634830594,-73.22919362451478,-82.35823564858765,914.5169551207662,905.3879130966933,832.1587194721785
2025-04,914328.4404588352,927579.1539581316,913521.6136248189,926619.0501533508,960.1038047807524,806.8268340163631,-13097.43652853195,-13250.71349929634,-12290.609694515588,40.08246003814206,0.0,34.01723099884953,0.0,0.0,6.065229039292532,34.01723099884953,40.08246003814206,40.08246003814206
2025-05,967625.4376012846,978935.3689860268,967189.8356967196,977129.1542728759,1806.2147131509846,435.60190456500277,-9939.318576156278,-11309.93138474226,-9503.716671591275,7379.507690636155,5861.7172950887125,7724.830281866,6085.1071453296645,-223.389850240952,-345.3225912298458,1639.723136536336,1517.7903955474421,1294.4005453064901
2025-06,1287444.7618668617,1303642.4923903795,1289167.7432111904,1306969.5020961598,-3327.009705780307,-1722.9813443287276,-17801.7588849694,-16197.730523517821,-19524.740229298128,3730.80727267885,2621.4552848054764,3580.766901764732,2521.6507483637142,99.80453644176214,150.04037091411783,1059.116153401018,1109.3519878733737,1209.1565243151358
2025-07,1481341.4817414249,1496352.918756085,1476068.3684001858,1490107.8721042818,6245.04665180319,5273.113341239048,-14039.503704095958,-15011.4370146601,-8766.39036285691,5541.340629740023,4040.670208785361,5478.701059544521,4067.9015556018094,-27.231346816448422,62.63957019550253,1410.7995039427115,1500.6704209546624,1473.439074138214
2025-08,1258541.414729428,1277689.2489279464,1259319.4919100907,1277606.2168502605,83.03207768592983,-778.0771806626581,-18286.724940169835,-19147.834198518423,-19064.802120832494,1577.279960668881,1093.8281135034958,1648.5792556694607,1094.175432786828,-0.34731928333212636,-71.29929500057983,554.4038228826328,483.45184716538506,483.10452788205293
2025-09,1118569.8523021783,1122948.6671874614,1113459.6811484536,1121707.3932766125,1241.2739108488895,5110.171153724659,-8247.712128158892,-4378.814885283122,-3137.5409744342323,5922.513365181376,3225.5694707677885,5003.0654488215405,3054.140966283311,171.42850448447734,919.4479163598353,1948.9244825382293,2696.9438944135873,2868.3723988980646
2025-10,1108259.2542698963,1119568.6562931214,1105879.560159292,1117001.1822777984,2567.4740153229795,2379.694110604236,-11121.622118506348,-11309.402023225091,-8741.928007902112,1468.6116818297974,470.7788127097759,1488.6682415395733,466.24755579091334,4.531256918862539,-20.05655970977591,1022.4206857486599,997.8328691200215,1002.364126038884
2025-11,1258879.8889069052,1273521.9346479243,1257375.5695361455,1271264.1332748206,2257.8013731036335,1504.319370759651,-13888.56373867509,-14642.045741019072,-12384.244367915438,367.6766283469239,254.15286411612215,349.7839626839829,217.01998060189044,37.13288351423171,17.892665662941,132.76398208209247,113.52376423080176,150.65664774503347
2025-12,1680684.5857981567,1692240.8055894591,1672806.5004471638,1685257.5169704352,6983.288619023981,7878.085350992857,-12451.016523271333,-11556.219791302457,-4572.931172278477,9859.923858058919,8037.727035761502,8000.767864331713,6499.281820876315,1538.445214885187,1859.155993727206,1501.4860434553984,1822.1968222974174,3360.6420371826043
