month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,loss_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events
2025-02,1988725.558123835,312.8500766573919,167235.31393249673,579071.1834768263,471147.7612754972,110256.86960051567,1210518.9820347247,1466.7047261739617,1211985.6867608987,13,10
2025-03,1857364.723210132,4572.553702748818,221687.72854599118,599889.6685111679,485957.7866109448,113984.27647455511,1105967.7239861002,29136.03538138086,1135103.7593674809,25,11
2025-04,1592332.3080164175,5557.010494612637,274839.30165786,554962.1871854303,449641.76933225995,105456.41531101639,926177.609474799,35045.78947602039,961223.3989508194,24,6
2025-05,1609021.508006943,8355.78207711436,327023.1676084321,539268.8563887607,435725.19887980213,102340.79662552077,958465.6945343561,53049.92513061153,1011515.6196649676,57,14
2025-06,2113267.6197516965,31009.588013945657,289767.05902079615,550096.3229848796,445579.34042336716,104518.44790108434,1318895.820627706,199262.98709725338,1518158.8077249592,120,25
2025-07,2351619.616410014,26567.423823640667,325202.12988754245,570789.7406931877,462624.089863742,108481.65072084569,1484793.6808726792,156468.3971825587,1641262.078055238,152,21
2025-08,2013873.0256891216,3455.3193192886474,326164.12890498916,564053.0981739198,457001.74633716536,107183.2816326326,1260592.1936962076,22900.5838054225,1283492.7775016301,63,36
2025-09,1813252.6023781016,2920.7489324333706,322333.0864047873,556828.583263781,451372.1856080334,105835.32339393739,1124425.0573270773,19453.88188813399,1143878.9392152112,21,15
2025-10,1861958.851100775,972.7749413447812,274738.24854782544,594798.0305418856,481738.2440809248,113006.27461873578,1129753.9307742834,6167.201558791467,1135921.132333075,14,9
2025-11,2055707.121414529,674.4200253832064,150138.74516702106,623755.9206608309,505485.53237127303,118540.65121844679,1261598.9305354608,3511.0117661907857,1265109.9423016515,12,8
2025-12,2677245.0212966353,15704.355402523403,196549.6596278252,696886.7056745626,564523.9248365624,132413.55110485211,1675254.6757295132,80134.64763821801,1755389.3233677312,75,21
