strategy_id,date,initial_kWh,final_kWh,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,theta,theta_preset,residual_days,fallback_reason,solver_seconds,mip_gap,milp_fallback
B_adaptive,2025-02-01,8801.462273333342,10071.787214814824,49077.368644238675,0.0,9871.237809465023,19392.960284773653,14565.005383333333,25509.247057599503,0.0,25509.247057599503,0,0,0.80,adaptive,28,,0.06731460010632873,0.0,False
B_adaptive,2025-02-02,10071.787214814824,10800.0,94858.34532530863,0.0,11709.794596090542,21773.0593292181,16980.786550000004,60272.85136670427,0.0,60272.85136670427,0,0,0.80,adaptive,28,,0.03421510010957718,0.0,False
B_adaptive,2025-02-03,10800.0,10800.0,91802.38128436213,0.0,7427.378969958849,21884.662181069954,17726.576366666668,58009.443830636854,0.0,58009.443830636854,0,0,0.80,adaptive,28,,0.031457999954000115,2.508542448855796e-16,False
B_adaptive,2025-02-04,10800.0,10800.0,93578.29603251028,0.0,8003.096977777779,23054.39528806584,18674.06018333333,59089.21228101352,0.0,59089.21228101352,0,0,0.80,adaptive,28,,0.022165799979120493,0.0,False
B_adaptive,2025-02-05,10800.0,10800.0,94373.24977201645,0.0,9394.977594444445,22262.343127572014,18032.497933333332,59978.09221089052,0.0,59978.09221089052,0,0,0.80,adaptive,28,,0.07460330007597804,0.0,False
B_adaptive,2025-02-06,10800.0,10800.0,90997.53324012345,1.7411333333330958,6484.526279423873,22335.21514403291,18091.52426666666,57463.30421383722,10.170830366665278,57473.475044203886,1,1,0.65,adaptive,28,,0.018708599964156747,2.5323840018344674e-16,False
B_adaptive,2025-02-07,10800.0,10800.0,43285.03628395062,0.0,7714.296135596709,19816.107798353907,16051.047316666663,22277.765453662592,0.0,22277.765453662592,0,0,0.65,adaptive,28,,0.037614500150084496,0.0,False
B_adaptive,2025-02-08,10800.0,10800.0,38567.52746666666,62.06058100000115,3201.517305144027,20267.936978189307,16417.028952333338,19881.113372319996,379.376331653007,20260.489703973002,1,1,0.65,adaptive,28,,0.039241400081664324,0.0,False
B_adaptive,2025-02-09,10800.0,10769.032709999998,83520.45826737859,1154.6191180000042,588.6104775720219,23994.323695473242,19463.272754333328,52109.18855624471,7061.737555602528,59170.92611184724,9,5,0.65,adaptive,28,,0.03078470006585121,0.0,False
B_adaptive,2025-02-10,10769.032709999998,10722.075973888886,86684.52004773662,0.0,8360.608610288065,21260.71008744856,17263.436233333334,54218.15162431593,0.0,54218.15162431593,0,0,0.65,adaptive,28,,0.03678700001910329,0.0,False
B_adaptive,2025-02-11,10722.075973888886,10733.207878888885,80248.008659465,457.2222389999977,931.121783333333,23913.12245946502,19359.610477666673,49716.73696506837,2366.142508645816,52082.87947371419,11,4,0.65,adaptive,28,,0.03280200017616153,0.0,False
B_adaptive,2025-02-12,10733.207878888885,10719.879073888884,81485.89101433333,343.0881949999991,2227.490309259256,22877.62469074074,18542.871924,50654.73700380203,2232.869542361658,52887.60654616369,6,2,0.65,adaptive,28,,0.023860400076955557,0.0,False
B_adaptive,2025-02-13,10719.879073888884,10748.065752222217,81793.70551069958,58.0553453333318,6497.390606995879,21050.12222037037,17025.230988,50979.429851734356,340.64766382532406,51320.07751555968,2,2,0.65,adaptive,28,,0.03171200002543628,0.0,False
B_adaptive,2025-02-14,10748.065752222217,10784.749174444438,36101.25241991358,235.34946133333426,2400.270889300413,21586.916290946494,17452.38711566666,18603.366279275753,1438.691257130672,20042.057536406424,1,1,0.65,adaptive,28,,0.03417299990542233,0.0,False
B_adaptive,2025-02-15,10784.749174444438,10616.928634444439,35826.995864604934,236.30901666666352,2854.2805866214076,21473.53516131686,17544.60196666667,18488.002535979736,1125.8003240083146,19613.802859988053,7,1,base,adaptive,28,,0.07945349998772144,0.0,False
B_adaptive,2025-02-16,10616.928634444439,10576.090032407403,80452.864844,394.5720668333328,973.6336882716012,23858.836128395065,19362.412005833336,49663.18850879532,2203.5475367945796,51866.736045589896,5,4,0.65,adaptive,28,,0.02642000000923872,0.0,False
B_adaptive,2025-02-17,10576.090032407403,10598.187602222217,81315.68854999999,98.26426750000314,6301.315243415644,20573.087339917685,16644.312932499997,50201.75970365632,685.4915300800219,50887.25123373634,1,1,0.65,adaptive,28,,0.02321260003373027,0.0,False
B_adaptive,2025-02-18,10598.187602222217,10688.113638703699,77324.31852962963,111.31909083333426,787.5907771604973,23556.450669135796,18999.791609166663,47481.8940411158,693.559500986673,48175.45354210247,2,2,0.65,adaptive,28,,0.02488469984382391,0.0,False
B_adaptive,2025-02-19,10688.113638703699,10466.774406851848,77953.68402399999,717.9090491666666,1483.3799833333314,23726.79481666666,19417.909110166664,47970.47467062528,3944.75822521209,51915.23289583737,11,5,0.65,adaptive,28,,0.023325799964368343,0.0,False
B_adaptive,2025-02-20,10466.774406851848,10405.37315574074,78060.39150666667,39.36416666666662,2976.5730975308616,22027.947202469135,17897.898360000003,48316.309415495656,184.2844683333331,48500.59388382899,2,1,0.65,adaptive,28,,0.02314840001054108,0.0,False
B_adaptive,2025-02-21,10405.37315574074,10572.213569814816,35463.123655100826,0.0,5775.13000288066,20934.606559053493,16806.87494016666,18257.427591377626,0.0,18257.427591377626,0,0,0.65,adaptive,28,,0.02316840016283095,0.0,False
B_adaptive,2025-02-22,10572.213569814816,10582.540718518518,35481.1827369609,37.94738616666399,3649.774651440325,21133.148181687247,17108.555593333334,18281.459007585905,231.97237163681694,18513.431379222722,1,1,0.65,adaptive,28,,0.09030500007793307,0.0,False
B_adaptive,2025-02-23,10582.540718518518,10568.929115185188,79566.07471666666,6.708766666666747,3882.256021399166,21952.232745267498,17793.55896666667,49219.34270621662,31.423863066667042,49250.76656928329,1,1,0.65,adaptive,28,,0.027006000047549605,0.0,False
B_adaptive,2025-02-24,10568.929115185188,10574.663558703707,77122.09870226338,340.113921999999,5179.640366460906,21444.092852469134,17364.554211333336,47161.91032631746,2136.101598305327,49298.01192462279,5,2,0.65,adaptive,28,,0.024256300181150436,0.0,False
