区域,年份,增长系数,基期原始最大负荷率_raw,基期原始最大负荷率_pct,原始峰时风险率_raw,原始峰时风险率_pct,原始风险等级,基期调度后最大负荷率_raw,基期调度后最大负荷率_pct,调度后峰时风险率_raw,调度后峰时风险率_pct,调度后风险等级,TOU缓解量_raw,TOU缓解量_pct,调度后容量裕度_raw,调度后容量裕度_pct,首次原始预警年,首次原始过载年,首次调度后预警年,首次调度后过载年
1,2026,1.15,0.4398890869,43.98890869,0.5058724499,50.58724499,安全,0.3519112696,35.19112696,0.40469796,40.469796,安全,0.1011744899,10.11744899,0.59530204,59.530204,无,无,无,无
1,2027,1.3225,0.4398890869,43.98890869,0.5817533174,58.17533174,安全,0.3519112696,35.19112696,0.465402654,46.5402654,安全,0.1163506634,11.63506634,0.534597346,53.4597346,无,无,无,无
1,2028,1.520875,0.4398890869,43.98890869,0.669016315,66.9016315,安全,0.3519112696,35.19112696,0.5352130522,53.52130522,安全,0.1338032629,13.38032629,0.4647869478,46.47869478,无,无,无,无
2,2026,1.15,0.4241681976,42.41681976,0.4877934272,48.77934272,安全,0.3393345581,33.93345581,0.3902347418,39.02347418,安全,0.09755868542,9.755868542,0.6097652582,60.97652582,无,无,无,无
2,2027,1.3225,0.4241681976,42.41681976,0.5609624413,56.09624413,安全,0.3393345581,33.93345581,0.4487699531,44.87699531,安全,0.1121924882,11.21924882,0.5512300469,55.12300469,无,无,无,无
2,2028,1.520875,0.4241681976,42.41681976,0.6451068075,64.51068075,安全,0.3393345581,33.93345581,0.5160854461,51.60854461,安全,0.1290213615,12.90213615,0.4839145539,48.39145539,无,无,无,无
3,2026,1.15,0.3336958886,33.36958886,0.3837502719,38.37502719,安全,0.3247408238,32.47408238,0.3734519474,37.34519474,安全,0.01029832452,1.029832452,0.6265480526,62.65480526,无,无,无,无
3,2027,1.3225,0.3336958886,33.36958886,0.4413128127,44.13128127,安全,0.3247408238,32.47408238,0.4294697395,42.94697395,安全,0.0118430732,1.18430732,0.5705302605,57.05302605,无,无,无,无
3,2028,1.520875,0.3336958886,33.36958886,0.5075097346,50.75097346,安全,0.3247408238,32.47408238,0.4938902004,49.38902004,安全,0.01361953418,1.361953418,0.5061097996,50.61097996,无,无,无,无
4,2026,1.15,0.3546542791,35.46542791,0.407852421,40.7852421,安全,0.305738064,30.5738064,0.3515987736,35.15987736,安全,0.05625364737,5.625364737,0.6484012264,64.84012264,无,无,无,无
4,2027,1.3225,0.3546542791,35.46542791,0.4690302841,46.90302841,安全,0.305738064,30.5738064,0.4043385896,40.43385896,安全,0.06469169447,6.469169447,0.5956614104,59.56614104,无,无,无,无
4,2028,1.520875,0.3546542791,35.46542791,0.5393848267,53.93848267,安全,0.305738064,30.5738064,0.4649893781,46.49893781,安全,0.07439544864,7.439544864,0.5350106219,53.50106219,无,无,无,无
5,2026,1.15,0.5258132956,52.58132956,0.6046852899,60.46852899,安全,0.5258132956,52.58132956,0.6046852899,60.46852899,安全,0,0,0.3953147101,39.53147101,无,无,无,无
5,2027,1.3225,0.5258132956,52.58132956,0.6953880834,69.53880834,安全,0.5258132956,52.58132956,0.6953880834,69.53880834,安全,0,0,0.3046119166,30.46119166,无,无,无,无
5,2028,1.520875,0.5258132956,52.58132956,0.7996962959,79.96962959,安全,0.5258132956,52.58132956,0.7996962959,79.96962959,安全,0,0,0.2003037041,20.03037041,无,无,无,无
6,2026,1.15,0.3656360241,36.56360241,0.4204814277,42.04814277,安全,0.3113787171,31.13787171,0.3580855247,35.80855247,安全,0.06239590305,6.239590305,0.6419144753,64.19144753,无,无,无,无
