区域,年份,S0服务保障率_raw,S0服务保障率_pct,S1服务保障率_raw,S1服务保障率_pct,S0服务缺口,S1服务缺口,补桩是否消除缺口,S1地理覆盖率_pct
1,2026,12.20296773,1220.296773,12.20296773,1220.296773,0,0,是,90.15110921
1,2027,10.61127629,1061.127629,10.61127629,1061.127629,0,0,是,90.15110921
1,2028,9.22719677,922.719677,9.22719677,922.719677,0,0,是,90.15110921
2,2026,11.83697385,1183.697385,11.83697385,1183.697385,0,0,是,94.02445508
2,2027,10.29302074,1029.302074,10.29302074,1029.302074,0,0,是,94.02445508
2,2028,8.950452815,895.0452815,8.950452815,895.0452815,0,0,是,94.02445508
3,2026,10.24237798,1024.237798,10.24237798,1024.237798,0,0,是,90.27276167
3,2027,8.906415637,890.6415637,8.906415637,890.6415637,0,0,是,90.27276167
3,2028,7.74470925,774.470925,7.74470925,774.470925,0,0,是,90.27276167
4,2026,11.83913364,1183.913364,11.83913364,1183.913364,0,0,是,90.37640383
4,2027,10.29489882,1029.489882,10.29489882,1029.489882,0,0,是,90.37640383
4,2028,8.952085929,895.2085929,8.952085929,895.2085929,0,0,是,90.37640383
5,2026,12.86791284,1286.791284,12.86791284,1286.791284,0,0,是,91.60573093
5,2027,11.18948942,1118.948942,11.18948942,1118.948942,0,0,是,91.60573093
5,2028,9.729990803,972.9990803,9.729990803,972.9990803,0,0,是,91.60573093
6,2026,9.977766798,997.7766798,9.977766798,997.7766798,0,0,是,90.46429655
6,2027,8.676318955,867.6318955,8.676318955,867.6318955,0,0,是,90.46429655
6,2028,7.544625178,754.4625178,7.544625178,754.4625178,0,0,是,90.46429655
7,2026,21.82470539,2182.470539,21.82470539,2182.470539,0,0,是,90.13512547
7,2027,18.97800468,1897.800468,18.97800468,1897.800468,0,0,是,90.13512547
7,2028,16.50261277,1650.261277,16.50261277,1650.261277,0,0,是,90.13512547
8,2026,13.3108419,1331.08419,13.3108419,1331.08419,0,0,是,90.6840577
8,2027,11.57464513,1157.464513,11.57464513,1157.464513,0,0,是,90.6840577
8,2028,10.06490881,1006.490881,10.06490881,1006.490881,0,0,是,90.6840577
9,2026,12.47135331,1247.135331,12.47135331,1247.135331,0,0,是,90.52708724
9,2027,10.84465505,1084.465505,10.84465505,1084.465505,0,0,是,90.52708724
9,2028,9.430134828,943.0134828,9.430134828,943.0134828,0,0,是,90.52708724
10,2026,8.120663345,812.0663345,8.120663345,812.0663345,0,0,是,90.14472075
10,2027,7.061446387,706.1446387,7.061446387,706.1446387,0,0,是,90.14472075
10,2028,6.140388162,614.0388162,6.140388162,614.0388162,0,0,是,90.14472075
