周次,总订购量(m³),总成本,供应商数,A类,B类,C类,达标
1,25615,18496.2,45,12,16,17,✓
2,26059,18816.0,44,10,15,19,✓
3,26049,18808.8,40,10,14,16,✓
4,26059,18815.4,44,11,15,18,✓
5,26064,18819.4,46,11,15,20,✓
6,25539,18441.4,46,11,15,20,✓
7,25531,18435.8,43,10,14,19,✓
8,25947,18734.1,47,12,16,19,✓
9,26057,18814.2,43,10,16,17,✓
10,25864,18674.3,45,11,15,19,✓
11,25408,18345.5,42,12,13,17,✓
12,25381,18327.8,52,14,17,21,✓
13,25381,18327.4,53,13,17,23,✓
14,25612,18494.0,44,12,15,17,✓
15,25623,18501.8,48,13,17,18,✓
16,25381,18327.6,53,14,16,23,✓
17,26063,18818.6,46,11,16,19,✓
18,26057,18814.2,43,10,16,17,✓
19,25383,18328.8,53,14,17,22,✓
20,25381,18327.6,53,14,16,23,✓
21,26062,18818.0,46,10,15,21,✓
22,25381,18327.4,53,13,17,23,✓
23,26067,18821.8,47,12,15,20,✓
24,25619,18499.2,46,12,16,18,✓
