hour,mean_bias_kWh,mean_abs_bias_kWh
0,-0.2663558632734535,0.2663558632734535
1,-0.2763754158349966,0.2763754158349966
2,-0.28481892880904897,0.28481892880904897
3,-0.2358341067864271,0.2358341067864271
4,-0.28758858117099195,0.36987401031270845
5,-0.5982462159015316,0.5982462159015315
6,-0.3741005572188958,0.37410055721889574
7,-0.1704335745176313,0.1897035844976703
8,-0.2885862192282111,0.2885862192282111
9,-0.3005392298735855,0.3044256237524945
10,-0.12986106121090998,0.22526844644045182
11,-0.2294892631403862,0.2839847554890207
12,-0.05117383566200865,0.12579510978043906
13,-0.09004628243512976,0.23587504158349992
14,0.10453323353293416,0.10453323353293419
15,-0.07102351962741227,0.20898330006653595
16,0.13737060046573565,0.17115802561543694
17,-0.18922116600132943,0.21897078343313423
18,-0.0055400449101801015,0.12284044411177654
19,-0.1523219810379242,0.16012138223552919
20,-0.14904224051896273,0.14904224051896273
21,-0.28211422155688654,0.36397573186959403
22,-0.17056968562874145,0.17056968562874145
23,-0.39243140385894804,0.3924314038589481
