target,day_index,date,chosen_lambda,score_days,score_first_day,score_last_day,trained,reason,tied_lambdas,score_lambda_0.001,score_lambda_0.01,score_lambda_0.1,score_lambda_1,score_lambda_10
load,8,2025-01-09,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,9,2025-01-10,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,10,2025-01-11,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,11,2025-01-12,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,12,2025-01-13,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,13,2025-01-14,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,14,2025-01-15,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,15,2025-01-16,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,16,2025-01-17,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,17,2025-01-18,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,18,2025-01-19,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,19,2025-01-20,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,20,2025-01-21,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,21,2025-01-22,0.1,0,,,False,"score_days=0<7, default lambda",,,,,,
load,22,2025-01-23,0.1,0,,,True,"score_days=0<7, default lambda",,,,,,
load,23,2025-01-24,0.1,1,22.0,22.0,True,"score_days=1<7, default lambda",,,,,,
load,24,2025-01-25,0.1,2,22.0,23.0,True,"score_days=2<7, default lambda",,,,,,
load,25,2025-01-26,0.1,3,22.0,24.0,True,"score_days=3<7, default lambda",,,,,,
load,26,2025-01-27,0.1,4,22.0,25.0,True,"score_days=4<7, default lambda",,,,,,
load,27,2025-01-28,0.1,5,22.0,26.0,True,"score_days=5<7, default lambda",,,,,,
load,28,2025-01-29,0.1,6,22.0,27.0,True,"score_days=6<7, default lambda",,,,,,
load,29,2025-01-30,0.1,7,22.0,28.0,True,,0.1,20995.807298043816,20909.357894243192,20715.685067296934,23687.717855461982,30491.985258257042
load,30,2025-01-31,0.1,8,22.0,29.0,True,,0.1,20175.98623545712,20094.655998464325,19895.142509843317,22686.990272646053,29399.409943671057
load,31,2025-02-01,0.1,9,22.0,30.0,True,,0.1,20195.414707332362,20112.38848972349,19909.893499003138,22762.407256838524,29662.096891969115
load,32,2025-02-02,0.1,10,22.0,31.0,True,,0.1,23531.155978009985,23455.8420155334,23254.681611279404,25775.2167108847,32224.455284743144
load,33,2025-02-03,0.1,11,22.0,32.0,True,,0.1,27769.622243973266,27667.00846261858,27223.78821951793,28668.269976331794,34352.46281143784
load,34,2025-02-04,0.1,12,22.0,33.0,True,,0.1,26986.853096565635,26889.291144280363,26477.12119577493,28125.271357810896,34202.92442795631
load,35,2025-02-05,0.1,13,22.0,34.0,True,,0.1,27525.999263452166,27463.349920388027,27278.482000807882,29619.35167361264,36337.413980554935
load,36,2025-02-06,0.1,14,22.0,35.0,True,,0.1,26855.879037568626,26799.478248748892,26663.42648938287,29340.64525624931,36525.44615950986
load,37,2025-02-07,0.1,14,23.0,36.0,True,,0.1,27012.21448874733,26960.478469192283,26861.611078429243,29686.162006858023,36989.94273462753
load,38,2025-02-08,0.01,14,24.0,37.0,True,,0.01,26762.116756907202,26733.18237171807,26771.034926229466,30037.057633603996,37632.62079851273
load,39,2025-02-09,0.01,14,25.0,38.0,True,,0.01,27008.050752295967,26976.54630063653,26989.400148428605,30199.39677234606,37818.83202826207
load,40,2025-02-10,0.1,14,26.0,39.0,True,,0.1,27458.85112406286,27402.175496792494,27187.43685907306,29652.28826434778,37033.00853667934
load,41,2025-02-11,0.1,14,27.0,40.0,True,,0.1,28618.09537443516,28503.709639077224,27904.75245560948,29538.3641781287,36677.87471325621
load,42,2025-02-12,0.1,14,28.0,41.0,True,,0.1,28546.937531987478,28414.85231617813,27653.989703260217,28727.90815584106,35680.3294186172
load,43,2025-02-13,0.1,14,29.0,42.0,True,,0.1,29217.910720592485,29064.917677990306,28102.282410393604,28470.26616390277,35203.230110947756
load,44,2025-02-14,0.1,14,30.0,43.0,True,,0.1,30151.553230262776,29994.68227334906,28968.87162467158,29042.15941016545,35668.58759918098
load,45,2025-02-15,1.0,14,31.0,44.0,True,,1,30381.164203936078,30220.46705159863,29138.814676537164,28863.473645513342,35206.282692852015
load,46,2025-02-16,0.1,14,32.0,45.0,True,,0.1,27729.987550914204,27573.91947470114,26539.5278345263,26596.587987901636,33385.70004571825
load,47,2025-02-17,0.1,14,33.0,46.0,True,,0.1,24196.707350812365,24051.634934688667,23137.897463742516,23849.4400017811,31109.035646321903
load,48,2025-02-18,0.1,14,34.0,47.0,True,,0.1,24292.818874907007,24137.151572409897,23150.05909619022,23610.02248490851,30505.362990338213
load,49,2025-02-19,1.0,14,35.0,48.0,True,,1,23202.830670752,23021.14491287602,21845.129363318458,21640.44313960738,27847.136143613294
load,50,2025-02-20,1.0,14,36.0,49.0,True,,1,23291.411900542018,23106.614798076407,21883.59233146349,21272.566633468537,26912.456750920093
load,51,2025-02-21,1.0,14,37.0,50.0,True,,1,23349.411240636076,23151.498510211077,21804.624312145243,20704.597414893462,26027.549015258155
load,52,2025-02-22,1.0,14,38.0,51.0,True,,1,23328.141995548052,23125.268544879054,21710.180959187463,20102.86372656692,25038.03382313582
load,53,2025-02-23,1.0,14,39.0,52.0,True,,1,23300.22395102328,23099.49245367522,21702.590858410254,20098.086732433312,24888.463864952886
load,54,2025-02-24,1.0,14,40.0,53.0,True,,1,22715.640387752916,22544.226765747204,21399.347909735767,20501.318294112767,25339.318908800353
load,55,2025-02-25,1.0,14,41.0,54.0,True,,1,21039.133461679383,20936.53470742708,20204.543366662638,20044.314402540404,24941.48796663155
