strategy_id,scope,mae,rmse,mean_signed,samples
R0_naive,load,176.79572117223884,244.28661499529923,-1.9494697043413223,48096
R0_naive,pv,185.34649152736193,375.1748781365903,-0.7610173132900867,48096
R0_naive,net_demand,303.8291523868929,448.2115496746542,-1.1884523910512308,48096
R1_load_ridge,load,150.02486407635746,195.98837941402917,7.8490000722210285,48096
R1_load_ridge,pv,185.34649152736193,375.1748781365903,-0.7610173132900867,48096
R1_load_ridge,net_demand,282.498109500563,425.3249657034605,8.610017385511112,48096
R2_pv_ridge,load,176.79572117223884,244.28661499529923,-1.9494697043413223,48096
R2_pv_ridge,pv,154.65611941860212,303.4147192508477,-6.170109364135091,48096
R2_pv_ridge,net_demand,270.3299906915737,387.55172115327053,4.220639659793775,48096
R3_both_ridge,load,150.02486407635746,195.98837941402917,7.8490000722210285,48096
R3_both_ridge,pv,154.65611941860212,303.4147192508477,-6.170109364135091,48096
R3_both_ridge,net_demand,248.92919202542612,360.9810747774679,14.019109436356121,48096
