month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kWh,unused_kWh,strategy_id
2025-02,1215835.0274486702,2860.2098116779052,1218695.2372603482,606.952843333331,174687.96981410496,T_q80_4800
2025-03,1121754.1159476698,27122.438542646127,1148876.554490316,4560.210112580245,245324.2095084218,T_q80_4800
2025-04,952161.5055532895,10536.793486521365,962698.2990398109,1892.6963188333375,314545.6007086623,T_q80_4800
2025-05,973414.0074348255,57099.32136974452,1030513.32880457,8960.169486499977,355600.7918633436,T_q80_4800
2025-06,1331280.1930869343,124947.68204944753,1456227.8751363817,19507.063406666643,297962.50138180866,T_q80_4800
2025-07,1502697.633299593,196237.99760620648,1698935.6309057996,32919.65610188886,359279.7353659671,T_q80_4800
2025-08,1279475.6923409998,17693.36368463961,1297169.0560256396,2709.3334354999915,356498.09201243625,T_q80_4800
2025-09,1141136.2521819097,25036.459064974722,1166172.7112468844,3890.533000825101,352321.21280781896,T_q80_4800
2025-10,1136964.7249288473,753.9627065419,1137718.6876353892,135.25200966666267,285332.51298279216,T_q80_4800
2025-11,1270223.904354886,2347.04524980172,1272570.9496046877,439.4990264999956,162224.7324726338,T_q80_4800
2025-12,1678028.4147834918,74760.04251174016,1752788.4572952318,14642.27004143827,197867.84887674902,T_q80_4800
