date,interval,emergency_kWh
2025-02-01,无紧急购电,0.0
2025-02-02,无紧急购电,0.0
2025-02-03,无紧急购电,0.0
2025-02-04,无紧急购电,0.0
2025-02-05,6:10-6:20,8.210316329325337
2025-02-05,8:00-8:10,10.13417560234575
2025-02-05,10:30-11:00,310.5471134499058
2025-02-06,8:00-8:20,25.168905545381335
2025-02-07,无紧急购电,0.0
2025-02-08,无紧急购电,0.0
2025-02-09,无紧急购电,0.0
2025-02-10,无紧急购电,0.0
2025-02-11,无紧急购电,0.0
2025-02-12,无紧急购电,0.0
2025-02-13,无紧急购电,0.0
2025-02-14,无紧急购电,0.0
2025-02-15,20:50-21:30,236.09950291743164
2025-02-15,21:40-21:50,5.889536590125999
2025-02-15,23:20-23:30,2.0720789414594822
2025-02-16,6:00-6:10,30.039564406483574
2025-02-16,20:40-20:50,2.7208393335326946
2025-02-17,无紧急购电,0.0
2025-02-18,无紧急购电,0.0
2025-02-19,6:00-6:10,3.3324771928279238
2025-02-19,6:30-6:40,54.05030881932999
2025-02-19,22:30-23:00,29.6948882688527
2025-02-19,23:50-24:00,44.40723329360375
2025-02-20,0:00-0:10,10.440628484194349
2025-02-20,6:10-6:20,8.424255809390957
2025-02-21,无紧急购电,0.0
2025-02-22,20:50-21:00,2.392122553127763
2025-02-23,6:10-6:20,22.869948433078207
2025-02-23,22:30-22:40,5.142435501881915
2025-02-24,6:10-6:20,9.186247317906805
2025-02-24,21:00-21:10,10.77941742508051
2025-02-25,6:00-6:10,28.24138246299958
2025-02-25,6:30-6:40,31.095000000000027
2025-02-26,无紧急购电,0.0
2025-02-27,10:00-10:30,169.5787336371565
2025-02-28,无紧急购电,0.0
2025-03-01,无紧急购电,0.0
2025-03-02,20:00-21:50,3348.2806203356663
2025-03-02,23:20-24:00,125.66672408865338
2025-03-03,0:00-0:10,24.814633907886787
2025-03-03,20:40-21:10,359.7936561229706
2025-03-03,21:20-23:00,168.13287386279234
2025-03-04,无紧急购电,0.0
2025-03-05,6:00-6:10,3.286666666666747
2025-03-06,无紧急购电,0.0
2025-03-07,无紧急购电,0.0
2025-03-08,无紧急购电,0.0
2025-03-09,无紧急购电,0.0
2025-03-10,无紧急购电,0.0
2025-03-11,无紧急购电,0.0
2025-03-12,无紧急购电,0.0
2025-03-13,10:50-11:00,68.50930781683792
2025-03-13,20:30-21:00,917.7373709077781
2025-03-14,无紧急购电,0.0
2025-03-15,无紧急购电,0.0
2025-03-16,6:00-6:10,1.6400000000001
2025-03-17,无紧急购电,0.0
2025-03-18,无紧急购电,0.0
2025-03-19,无紧急购电,0.0
2025-03-20,无紧急购电,0.0
2025-03-21,无紧急购电,0.0
2025-03-22,无紧急购电,0.0
2025-03-23,无紧急购电,0.0
2025-03-24,无紧急购电,0.0
2025-03-25,无紧急购电,0.0
2025-03-26,无紧急购电,0.0
2025-03-27,无紧急购电,0.0
2025-03-28,无紧急购电,0.0
2025-03-29,无紧急购电,0.0
2025-03-30,无紧急购电,0.0
2025-03-31,无紧急购电,0.0
2025-04-01,20:20-21:00,1511.4722449311585
2025-04-02,8:50-10:30,1708.4132271939252
2025-04-03,无紧急购电,0.0
2025-04-04,无紧急购电,0.0
2025-04-05,无紧急购电,0.0
2025-04-06,无紧急购电,0.0
2025-04-07,无紧急购电,0.0
2025-04-08,无紧急购电,0.0
2025-04-09,无紧急购电,0.0
2025-04-10,无紧急购电,0.0
2025-04-11,无紧急购电,0.0
2025-04-12,无紧急购电,0.0
2025-04-13,无紧急购电,0.0
2025-04-14,无紧急购电,0.0
2025-04-15,无紧急购电,0.0
2025-04-16,无紧急购电,0.0
2025-04-17,无紧急购电,0.0
2025-04-18,无紧急购电,0.0
2025-04-19,无紧急购电,0.0
2025-04-20,无紧急购电,0.0
2025-04-21,无紧急购电,0.0
2025-04-22,无紧急购电,0.0
2025-04-23,无紧急购电,0.0
2025-04-24,无紧急购电,0.0
2025-04-25,无紧急购电,0.0
2025-04-26,无紧急购电,0.0
2025-04-27,20:40-20:50,650.8179860384297
2025-04-28,20:10-21:10,2461.394078695659
2025-04-29,无紧急购电,0.0
2025-04-30,无紧急购电,0.0
2025-05-01,20:30-23:50,2252.775748548648
2025-05-02,0:00-0:10,11.213831872403537
2025-05-02,20:30-23:20,2149.6821562937675
2025-05-02,23:40-24:00,67.37203469771399
2025-05-03,0:00-0:10,22.06057023172633
2025-05-03,20:40-22:10,1081.219112097605
2025-05-03,22:30-22:40,38.68400386791094
2025-05-03,23:30-23:40,25.68515445034721
2025-05-04,20:40-22:30,1026.6081942562623
2025-05-04,22:40-23:00,35.11168922444058
2025-05-04,23:10-23:50,51.18291212302622
