date,C75,C80,L75,L80,d_bias_80,d_bias_75,d_quantile_L,d_quantile_C,d_combined_75_vs_80
2025-02-01,21884.17283529299,22621.82411148134,21642.017529074783,22480.969987601486,140.85412387985343,242.15530621820653,-838.9524585267027,-737.6512761883496,-596.7971523084962
2025-02-02,56931.48212033642,57795.45360437216,56778.58109573036,57604.00340074028,191.45020363188087,152.90102460605704,-825.4223050099172,-863.971484035741,-672.5212804038601
2025-02-03,57253.90370229766,57964.99331457674,57122.70811164932,57844.803409134074,120.18990544266853,131.19559064834175,-722.0952974847532,-711.08961227908,-590.8997068364115
2025-02-04,57746.10161787013,58341.477783975606,57604.82890856326,58245.33961983489,96.13816414071334,141.27270930687519,-640.510711271636,-595.3761661054741,-499.23800196476077
2025-02-05,55847.35856483313,56469.29656597244,55836.377865082875,56435.94616304935,33.35040292308986,10.980699750252825,-599.568297966478,-621.938001139315,-588.5875982162252
2025-02-06,57051.59887664763,57654.9262473106,56949.2590557258,57583.56079983806,71.36544747254084,102.3398209218285,-634.3017441122574,-603.3273706629698,-531.9619231904289
2025-02-07,22493.280294004097,22989.21388311735,22468.966391074755,22931.613225609217,57.600657508133736,24.313902929341566,-462.64683453446196,-495.93358911325413,-438.3329316051204
2025-02-08,19696.96011241544,19957.362878005395,19672.486214897355,19925.99735587786,31.36552212753668,24.473897518084414,-253.51114098050311,-260.4027655899554,-229.0372434624187
2025-02-09,56300.55823886016,57129.01948625155,56281.39099863463,57094.782425367,34.23706088455219,19.167240225528076,-813.3914267323635,-828.4612473913876,-794.2241865068354
2025-02-10,52404.54146833889,53159.69334263256,52396.28044018855,53126.14569416027,33.547648472296714,8.261028150336642,-729.865253971715,-755.1518742936751,-721.6042258213783
2025-02-11,52960.052059101035,53716.33953197458,52923.612549071986,53656.1834369065,60.156095068079594,36.439510029049416,-732.5708878345176,-756.2874728735478,-696.1313778054682
2025-02-12,52616.846813363,52947.57439992156,52597.81823977916,52953.221942804266,-5.647542882703419,19.028573583840625,-355.40370302510564,-330.7275865585616,-336.375129441265
2025-02-13,49950.61372954758,50592.21878042463,50108.40098119838,50604.713718917505,-12.494938492876827,-157.7872516507996,-496.31273771912674,-641.6050508770495,-654.0999893699263
2025-02-14,20224.480166601552,20829.922565132012,20372.110144928833,21004.96332665788,-175.0407615258664,-147.6299783272807,-632.8531817290459,-605.4423985304602,-780.4831600563266
2025-02-15,19113.425503894214,19276.15769038946,19284.28670689138,19455.600207828254,-179.4425174387943,-170.8612029971664,-171.31350093687433,-162.73218649524642,-342.17470393404074
2025-02-16,53389.759251807955,53335.31764005097,54277.78968479925,53422.779293640524,-87.46165358955477,-888.0304329912979,855.0103911587285,54.44161175698537,-33.020041832569405
2025-02-17,50329.01619099198,50556.97517400442,50464.65284329209,50707.585155328525,-150.60998132410168,-135.63665230011247,-242.93231203643518,-227.95898301244597,-378.56896433654765
2025-02-18,49274.079452055696,49303.89193497044,48909.647901907476,49024.96220574693,278.929729223506,364.4315501482197,-115.31430383945553,-29.81248291474185,249.11724630876415
2025-02-19,50018.82306895413,49571.18737708452,50817.965907835125,49787.707939123495,-216.52056203897519,-799.1428388809945,1030.2579687116304,447.63569186961104,231.11512983063585
2025-02-20,49155.109876764094,49884.20155565359,49367.1803373338,50087.66614562585,-203.46458997226,-212.07046056970285,-720.4858082920546,-729.0916788894974,-932.5562688617574
2025-02-21,18218.51821536627,18512.85749491878,18140.548313444462,18472.750184689266,40.10731022951222,77.96990192180965,-332.20187124480435,-294.3392795525069,-254.2319693229947
2025-02-22,18297.047807668903,18397.312066053844,18275.90655741922,18353.76732198782,43.54474406602458,21.141250249682344,-77.86076456859882,-100.26425838494106,-56.71951431891648
2025-02-23,48493.97207710788,48655.31131539602,48265.78511695865,48416.06264134162,239.24867405440455,228.18696014922898,-150.27752438296739,-161.33923828814295,77.9094357662616
2025-02-24,46883.39079902326,47284.26636483728,46922.902123811684,47565.90108423654,-281.6347193992551,-39.511324788421916,-642.9989604248549,-400.8755658140217,-682.5102852132768
2025-02-25,46334.49634476245,47034.83202099782,46587.155700865136,47299.55462297224,-264.7226019744194,-252.65935610268934,-712.3989221071024,-700.3356762353724,-965.0582782097918
2025-02-26,46815.49388753252,46958.028166601536,46910.926332484516,46667.981440470074,290.0467261314625,-95.43244495199906,242.9448920144423,-142.53427906901925,147.51244706244324
2025-02-27,45808.02855165964,46298.668943256685,45642.60529253673,46172.04082407668,126.62811918000807,165.42325912290835,-529.4355315399443,-490.6403915970441,-364.012272417036
2025-02-28,17664.67182343604,17795.84822903134,17562.040570193847,17729.837068093366,66.01116093797464,102.63125324219436,-167.79649789951873,-131.176405595299,-65.16524465732437
2025-03-01,18482.217875241335,19117.86323671512,18725.83572798635,19351.155732508436,-233.29249579331736,-243.6178527450138,-625.3200045220874,-635.6453614737839,-868.9378572671012
2025-03-02,51823.22040321009,51543.11176857323,51534.9189049852,51382.224915949235,160.88685262399667,288.3014982248933,152.69398903596448,280.1086346368611,440.9954872608578
2025-03-03,50467.17850803079,50831.460982453835,50579.92407140556,50867.40494502277,-35.943962568933784,-112.74556337477406,-287.48087361720536,-364.28247442304564,-400.2264369919794
2025-03-04,46675.05045225411,46669.96679005898,46482.52610868084,46554.64168463057,115.32510542840464,192.52434357327002,-72.1155759497342,5.083662195131183,120.40876762353582
2025-03-05,45898.310489544165,46129.6427384352,46155.7313873682,46325.51207577228,-195.8693373370843,-257.4208978240349,-169.78068840408378,-231.3322488910344,-427.2015862281187
2025-03-06,44177.75876172522,44753.651876892036,44176.03425217324,44746.86713891181,6.784737980226055,1.7245095519829192,-570.8328867385717,-575.8931151668148,-569.1083771865888
2025-03-07,17203.40678025393,17527.880572740138,17209.653194568134,17500.854745632147,27.025827107991063,-6.246414314206049,-291.20155106401216,-324.4737924862093,-297.4479653782182
2025-03-08,16520.023849688743,16516.73953617886,16438.896976692115,16455.155756668588,61.58377951027069,81.12687299662866,-16.258779976473306,3.2843135098846687,64.86809302015536
2025-03-09,44231.553752845175,44903.429658582085,44233.53712143577,44895.43101860024,7.9986399818444625,-1.98336859059782,-661.8938971644675,-671.8759057369098,-663.8772657550653
2025-03-10,45805.12938985061,46413.904667142124,45474.183749684344,46062.13298860207,351.7716785400553,330.9456401662683,-587.9492389177249,-608.7752772915119,-257.0035987514566
2025-03-11,44698.87133711289,44998.01012584785,44367.182338089646,44684.92907268132,313.0810531665338,331.68899902324483,-317.7467345916739,-299.1387887349629,13.942264431570948
2025-03-12,43530.759216267754,44231.22137056729,43380.98230276142,44041.80001761245,189.42135295484331,149.7769135063354,-660.8177148510295,-700.4621542995374,-511.04080134469405
2025-03-13,46561.65899706931,46804.789298289914,46248.63075630824,46515.346073522145,289.4432247677687,313.0282407610721,-266.71531721390784,-243.13030122060445,46.312923547164246
2025-03-14,16816.32518917093,17081.350608523004,16810.431005301587,17057.428874943504,23.921733579500142,5.894183869342669,-246.99786964191662,-265.0254193520741,-241.10368577257395
2025-03-15,16346.521966522914,16582.39644184008,16350.964408014155,16577.770057636135,4.626384203944326,-4.44244149124097,-226.80564962197968,-235.87447531716498,-231.24809111322065
2025-03-16,43877.5562312509,44498.57309460636,43727.67232741379,44330.95488339344,167.6182112129245,149.88390383710794,-603.2825559796474,-621.016863355464,-453.3986521425395
2025-03-17,40722.90064216435,40445.60549037259,40751.11308164683,40428.11161149609,17.493878876499366,-28.212439482478658,323.0014701507389,277.2951517917609,294.78903066826024
2025-03-18,43915.25065696413,44609.616241178956,43648.23787463476,44355.172270362076,254.4439708168793,267.012782329366,-706.9343957273159,-694.3655842148291,-439.92161339794984
2025-03-19,41380.421723179985,41700.26932472052,41540.46140706576,41836.49856076308,-136.22923604256357,-160.03968388577778,-296.037153697318,-319.8476015405322,-456.07683758309577
2025-03-20,43400.941025123495,42683.753335072564,43409.33625689193,42885.68068021365,-201.92734514108452,-8.395231768437952,523.655576678284,717.1876900509305,515.260344909846
2025-03-21,15220.809102974736,15469.917800336767,15289.423861473708,15518.42398885805,-48.50618852128355,-68.61475849897215,-229.0001273843427,-249.1086973620313,-297.61488588331486
2025-03-22,16084.662746349433,16373.395501876314,16141.600523359051,16422.05731833552,-48.66181645920551,-56.937777009618,-280.4567949764678,-288.7327555268803,-337.3945719860858
2025-03-23,41439.59604045399,42108.743856016175,41403.99266608439,42027.625369157286,81.11848685888981,35.60337436959526,-623.6327030728935,-669.147815562188,-588.0293287032982
2025-03-24,41474.431211882904,41334.551527183925,41506.00985462022,41431.86175840346,-97.3102312195333,-31.57864273731684,74.1480962167625,139.87968469897896,42.569453479445656
2025-03-25,42413.21476003767,43101.53370853777,42374.58441568893,43097.43884261058,4.094865927188948,38.630344348741346,-722.8544269216509,-688.3189485000985,-684.2240825729095
2025-03-26,38850.28853281314,39341.10973941654,38866.181890012274,39470.13993588892,-129.0301964723767,-15.893357199136517,-603.9580458766432,-490.82120660340297,-619.8514030757797
2025-03-27,40492.585222587026,40664.172364832746,40465.81560828613,40819.36186595375,-155.1895011210072,26.769614300894318,-353.54625766762183,-171.58714224572032,-326.7766433667275
