strategy_id,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,theta,theta_preset,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan
B_fixed_q80,2025-02-01,2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:10:00,0.4248,2532.1822,0.0,2725.9526,0.0,454.3254333333333,16.10736666666662,470.43279999999993,0.80,0.80,28,,1024.363607407398,602.3332407407313,0.0,0.0,0.0,8801.462273333342,9343.56219,9300.0,435.14966042666265,0.0
B_fixed_q80,2025-02-01,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,0.4245,2492.4439,0.0,2680.0361,0.0,446.6726833333333,16.615499999999997,463.2881833333333,0.80,0.80,28,,1296.6215166666666,833.3333333333333,0.0,0.0,47.880866666666634,9343.56219,10093.56219,10050.0,550.4158338249999,0.0
B_fixed_q80,2025-02-01,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,0.4269,2464.3,0.0,2659.84,0.0,443.3066666666667,15.048333333333346,458.355,0.80,0.80,28,,458.355,47.63833333333332,0.0,0.0,0.0,10093.56219,10136.43669,10050.0,195.6717495,0.0
B_fixed_q80,2025-02-01,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,0.4272,2581.7688,0.0,2861.9215,0.0,476.9869166666666,20.284400000000005,497.2713166666666,0.80,0.80,28,,497.2713166666666,66.97651666666667,0.0,0.0,0.0,10136.43669,10196.715555,10050.0,212.43430648,0.0
B_fixed_q80,2025-02-01,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,0.4271,2546.4635,0.0,2905.6089,0.0,484.26815,28.05211666666662,512.3202666666666,0.80,0.80,28,,512.3202666666666,87.9096833333333,0.0,0.0,0.0,10196.715555,10275.834270000001,10050.0,218.8119858933333,0.0
B_fixed_q80,2025-02-01,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,0.4285,2436.31,0.0,2809.25,0.0,468.2083333333333,38.063333333333276,506.2716666666666,0.80,0.80,28,,506.2716666666666,100.21999999999997,0.0,0.0,0.0,10275.834270000001,10366.032270000002,10050.0,216.93740916666664,0.0
B_fixed_q80,2025-02-01,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,0.4311,2620.5011,0.0,2942.6338,0.0,490.43896666666666,22.744733333333443,513.1837,0.80,0.80,28,,513.1837,76.43351666666672,0.0,0.0,0.0,10366.032270000002,10434.822435000002,10050.0,221.23349307,0.0
B_fixed_q80,2025-02-01,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,0.4302,2710.7861,0.0,2923.2679,0.0,487.2113166666666,22.408899999999903,509.6202166666665,0.80,0.80,28,,509.6202166666665,57.82253333333324,0.0,0.0,0.0,10434.822435000002,10486.862715000001,10050.0,219.23861720999994,0.0
B_fixed_q80,2025-02-01,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,0.4279,2676.48,0.0,2787.63,0.0,464.605,34.3566666666668,498.9616666666668,0.80,0.80,28,,498.9616666666668,52.88166666666683,0.0,0.0,0.0,10486.862715000001,10534.456215000002,10050.0,213.50569716666672,0.0
B_fixed_q80,2025-02-01,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,0.4312,2830.598,0.0,2965.6344,0.0,494.27239999999995,37.48723333333339,531.7596333333333,0.80,0.80,28,,531.7596333333333,59.99330000000003,0.0,0.0,0.0,10534.456215000002,10588.450185000002,10050.0,229.29475389333336,0.0
B_fixed_q80,2025-02-01,2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,0.4333,2688.1558,0.0,3034.1367,0.0,505.68944999999997,17.27055000000007,522.96,0.80,0.80,28,,522.96,74.93403333333339,0.0,0.0,0.0,10588.450185000002,10655.890815000002,10050.0,226.59856800000003,0.0
B_fixed_q80,2025-02-01,2025-02-01,11,2025-02-01 01:50:00,2025-02-01 02:00:00,0.4311,2384.42,0.0,2927.02,0.0,487.83666666666664,42.113333333333344,529.95,0.80,0.80,28,,529.95,132.54666666666674,0.0,0.0,0.0,10655.890815000002,10775.182815000002,10050.0,228.461445,0.0
B_fixed_q80,2025-02-01,2025-02-01,12,2025-02-01 02:00:00,2025-02-01 02:10:00,0.4293,2604.5438,0.0,3011.4346,0.0,501.90576666666664,21.959349999999972,523.8651166666666,0.80,0.80,28,,523.8651166666666,27.574649999997845,0.0,0.0,62.19983333333546,10775.182815000002,10800.0,10050.0,224.895294585,0.0
B_fixed_q80,2025-02-01,2025-02-01,13,2025-02-01 02:10:00,2025-02-01 02:20:00,0.4324,2943.3655,0.0,3089.5616,0.0,514.9269333333333,30.663516666666624,545.5904499999999,0.80,0.80,28,,545.5904499999999,0.0,0.0,0.0,55.02953333333329,10800.0,10800.0,10050.0,235.91331057999997,0.0
B_fixed_q80,2025-02-01,2025-02-01,14,2025-02-01 02:20:00,2025-02-01 02:30:00,0.4367,3019.32,0.0,3045.26,0.0,507.54333333333335,29.293333333333408,536.8366666666668,0.80,0.80,28,,536.8366666666668,0.0,0.0,0.0,33.61666666666679,10800.0,10800.0,10050.0,234.43657233333337,0.0
B_fixed_q80,2025-02-01,2025-02-01,15,2025-02-01 02:30:00,2025-02-01 02:40:00,0.4348,2844.4369,0.0,2987.7561,0.0,497.95935,19.115400000000022,517.07475,0.80,0.80,28,,517.07475,0.0,0.0,0.0,43.00193333333334,10800.0,10800.0,10050.0,224.8241013,0.0
B_fixed_q80,2025-02-01,2025-02-01,16,2025-02-01 02:40:00,2025-02-01 02:50:00,0.4335,2768.3064,0.0,3006.3681,0.0,501.06135,31.93055000000004,532.9919,0.80,0.80,28,,532.9919,0.0,0.0,0.0,71.60750000000002,10800.0,10800.0,10050.0,231.05198865,0.0
B_fixed_q80,2025-02-01,2025-02-01,17,2025-02-01 02:50:00,2025-02-01 03:00:00,0.4357,2861.65,0.0,3084.35,0.0,514.0583333333333,29.74333333333334,543.8016666666666,0.80,0.80,28,,543.8016666666666,0.0,0.0,0.0,66.85999999999996,10800.0,10800.0,10050.0,236.93438616666663,0.0
