publication_hour,kind,j,lead_hours,range_label,n,n_invalid,mean_b_kW,sd_b_kW,mean_y_kW,sd_y_kW,pearson_r,beta,intercept_a_kW,constant_b,constant_y
6,hour,0,1,next_node,334,0,5.012772532195258,118.53292757647786,7.561225346925704,119.18523581994323,0.6477892624822033,0.6513541645274418,4.296135082251553,False,False
6,hour,1,2,next_node,334,0,5.012772532195258,118.53292757647786,5.725266927512705,125.9640062416167,0.6084100363998876,0.6465525418925532,2.484246104892691,False,False
6,hour,2,3,next_node,334,0,5.012772532195258,118.53292757647786,7.695619205336635,122.59932915462497,0.5913681170960436,0.61165564642475,4.629528581776514,False,False
6,hour,3,4,next_node,334,0,5.012772532195258,118.53292757647786,8.691106066064707,119.41866817279086,0.6142423603966676,0.6188323035095414,5.589040492996959,False,False
6,hour,4,5,next_node,334,0,5.012772532195258,118.53292757647786,8.595331918404503,121.58868903693674,0.671819015706014,0.6891384112408394,5.140837819655744,False,False
6,hour,5,6,next_node,334,0,5.012772532195258,118.53292757647786,6.889403133682807,125.11349528135823,0.645877904585473,0.681734972888023,3.4720207873528466,False,False
6,hour,6,7,far,334,0,5.012772532195258,118.53292757647786,3.950191451409512,124.6347644223242,0.5875574908152759,0.6178037693794874,0.8532816859773233,False,False
6,hour,7,8,far,334,0,5.012772532195258,118.53292757647786,4.594074155503462,131.56018012819592,0.511510367066088,0.5677274442178573,1.7481856173547716,False,False
6,hour,8,9,far,334,0,5.012772532195258,118.53292757647786,1.9009497952422938,145.50733558560304,0.4531808674957571,0.5563107392680771,-0.8877093979259605,False,False
6,hour,9,10,far,334,0,5.012772532195258,118.53292757647786,0.1496600708379354,143.2480999702541,0.3781378962043722,0.45698301953333936,-2.141091857158437,False,False
6,hour,10,11,far,334,0,5.012772532195258,118.53292757647786,2.7988942871761564,146.48647898258645,0.35296833949440726,0.43620865781371704,0.6122795089817954,False,False
6,hour,11,12,far,334,0,5.012772532195258,118.53292757647786,-1.2432635080899728,157.3398523275958,0.2989516168483017,0.39682647016087025,-3.2324643377603843,False,False
6,hour,12,13,far,334,0,5.012772532195258,118.53292757647786,0.5417036846551383,152.15403063170368,0.28984444016941113,0.3720569526936847,-1.323333188220035,False,False
6,hour,13,14,far,334,0,5.012772532195258,118.53292757647786,-0.16505471797084603,148.40926141120445,0.2888480094923971,0.3616524169725313,-1.977936019972777,False,False
6,hour,14,15,far,334,0,5.012772532195258,118.53292757647786,1.3111425960787364,152.17973389189726,0.2993188929175158,0.3842836788420302,-0.6151840737915364,False,False
6,hour,15,16,far,334,0,5.012772532195258,118.53292757647786,1.8751079552660044,163.29893935601353,0.30466294077000217,0.4197241737467905,-0.22887385399025684,False,False
6,hour,16,17,far,334,0,5.012772532195258,118.53292757647786,-2.2985002981536238,148.15994389627213,0.2823971784257997,0.3529816648208301,-4.0679170919360335,False,False
6,hour,17,18,far,334,0,5.012772532195258,118.53292757647786,1.7298755191148296,146.47558300242898,0.3587748090380465,0.443351483802055,-0.4925446209961226,False,False
6,midnight_tail,-1,18,midnight_tail,334,0,5.012772532195258,118.53292757647786,6.839108965998587,229.9003650871259,0.3221112057042266,0.6247503145678774,3.7073777496523848,False,False
12,hour,0,1,next_node,334,0,6.889403133682807,125.11349528135823,3.950191451409512,124.6347644223242,0.6661216037736615,0.6635727742738656,-0.6214288990994516,False,False
12,hour,1,2,next_node,334,0,6.889403133682807,125.11349528135823,4.594074155503462,131.56018012819592,0.614897710805716,0.6465813572875919,0.13951452642544382,False,False
