企业代号,信誉评级,F1,F2,F3,F4,F7,F8,F9,F10
E1,A,-0.45658548900311796,7.026388843045053,0.602533356862081,-0.09906955368781871,0.5158384190642256,0.23625154130702836,0.40118827584603345,0.4610201508548932
E2,A,6.156498902591557,0.2448898523624732,0.6942990236962905,-1.4205935516813728,0.2685968404030352,0.08452034311796648,0.19910794945866972,0.4503646975906083
E3,C,0.6934381379694671,0.3829281429053895,7.143298258814413,-0.334352027339754,0.16882262661696995,0.5689361525360362,0.4196364050701278,-0.26199685311492626
E4,C,-1.7721763052371393,7.393988656134428,1.0211147097753361,-2.112191327215529,0.2616487455197133,0.7108919766920664,0.5356432901461536,-0.6979984982750158
E5,B,0.17160668316779218,1.2897847239485738,-1.458785853750659,2.4327592446731203,0.3932687874596588,0.5915094339622642,0.5022667367327586,5.0
E6,A,2.3226236447570843,1.494887609629972,-2.217245206200883,3.027663475758929,0.18302902002293375,0.2509505703422053,0.21963129436129272,0.6185622704496299
E7,A,1.9973435763991287,-0.2564206195639948,6.0143250414594895,2.2586802373851214,0.15614262808276705,0.19830654067983802,0.17847409389179927,-0.41823874727916754
E8,A,5.644625004420388,-0.08474194585752066,-0.6355577854279021,-0.973484167754808,0.21667554135605255,0.04806366047745358,0.156936939055836,0.11737927982193364
E9,A,0.6912876156948821,0.26279056380657034,1.5317236481113832,-0.9507932927395901,0.12345679012345678,0.25262444971215714,0.19882239765674975,0.038749473015877646
E10,B,0.47897665578942483,0.23049090876043934,0.4934363522839685,-0.5562243580830712,0.1930680986087381,0.41725352112676056,0.3250967483635244,-0.08149676065906125
E11,C,0.32148903024318937,0.5560364297842161,-0.898949113554083,1.3378623866918107,0.24365303244005643,0.9597135183527306,0.7001488547181278,5.0
E12,B,-0.2037190805738307,0.7654353386463678,-0.27662575899512987,0.6270296978576483,0.18485523385300667,0.9649122807017544,0.6947039538292232,5.0
E13,A,3.562152879953262,0.061974007689648294,-0.44218004321028226,-1.8967419833884247,0.39839631746974535,0.12792004996876952,0.2958742680239924,0.07136989745813312
E14,C,2.173537187851615,0.3625290859074882,-0.6113387159082952,1.4568957194731598,0.17238943054966793,0.05635491606714628,0.1282458426814957,0.006239442055589697
E15,A,-0.09907870010124908,0.1564598207694897,0.49470811416463967,-1.2223317856279214,0.41304347826086957,1.0,0.765050624120338,0.2885827445078333
E16,A,-0.3508273375625435,0.22741239147740094,0.2995825353832158,-0.9056152588470213,0.47586206896551725,0.30068337129840544,0.39802964616691394,0.05487964325996586
E17,A,1.633564472363975,0.44178130227111545,-1.2852309799402304,1.8904236149687972,0.21220930232558138,0.15680473372781065,0.18657506868946827,0.550191859427302
E18,A,0.8860379700706474,0.5043490564976256,-1.1088169359282134,1.3936291116811026,0.4515177797051171,0.45931758530183725,0.4554343803213308,0.16846058128507274
E19,A,0.39644349346817354,1.3270893491651239,-1.0792676304965076,1.3410316166771206,0.39960629921259844,0.11745724427234591,0.2945177402147809,0.16687422545405867
E20,B,-0.08097448999536355,1.4814770434010043,-1.466582621769365,1.7091458392589716,0.2814159292035398,0.5521235521235521,0.4381982097287827,0.0037625812929373676
E21,B,0.2053490521088709,0.4196435867186531,-0.48848315557806504,1.3171095106323494,0.2093425605536332,0.6159618008185539,0.4600180690618508,1.4368793675477696
E22,A,0.2975650917250791,0.3632121440352402,-0.46034210013780186,0.0033546349074130705,0.37888198757763975,0.39564660691421255,0.3873550038875916,0.929859467487077
E23,B,1.1263425370853886,0.7716416403814311,-1.021344437364831,2.419646992279583,0.15835184811149264,0.20952380952380953,0.18570882391218632,-0.1263121955614161
E24,A,0.20022813887880678,0.36674392120380783,-0.2901035722919038,0.5254660916975463,0.20273571079628724,0.5566778900112234,0.41892245204776474,1.068982292390311
E25,C,-0.008187227849248918,-0.24323527146806895,-0.0076258656614959066,-0.37118129690682516,0.22482269503546098,0.3425357873210634,0.2897205634733826,0.9750071082464956
E26,A,-0.18294118266771195,0.014537106379337339,-0.4897338793252219,0.18329077176540512,0.3463969658659924,0.3472222222222222,0.3468098395130275,0.10123864268308796
E27,A,0.24041527460699685,-0.15363189179149947,-0.2586014861467223,0.6224771805012194,0.27914230019493175,0.16553133514986376,0.22947880803531065,0.32770707496773466
E28,B,-0.306633707488168,-0.154884261149913,-0.1055948653178286,-0.5129869862123486,0.35502958579881655,0.9771528998242531,0.7351441343122538,2.2468589612962337
E29,C,-0.44452846240750077,-0.2317707078649945,-0.00797838251604243,0.09406318584031055,0.7,0.9978947368421053,0.8619147016431424,0.8622391066472984
E30,B,-0.22584488108082282,-0.026673333804080778,-0.17053758851325723,-0.015533843047121345,0.383289124668435,0.76,0.6018764628597364,0.7940943824094138
E31,A,-0.07042708103093462,-0.21985092040135,0.19166594369078896,-0.48688187852687476,0.42961165048543687,0.1575920245398773,0.3235748881104639,0.18842540770733862
E32,B,0.039701546215871415,-0.33762817523850425,-0.1472654847845888,-0.030321808546611637,0.5813871196036801,0.7844202898550725,0.6904079134748455,0.762588944159296
