变量,均值,标准差
x1,1636.8048780487804,3548.4402476473456
x2,1574.6422764227643,3423.8142212749526
x3,61.54471544715447,131.50380235308782
x4,12.731707317073171,27.767203549562137
x5,30988619.67528455,59727936.08084967
x6,3293333.066666667,7039216.651503386
x7,4164902.3022764223,16280473.971096117
x8,34153406.0700813,65669571.2663518
x9,1228.6178861788617,2327.04012914008
x10,1132.1626016260163,2156.0672963659435
x11,90.04878048780488,174.11320293712703
x12,48.10569105691057,243.2992764439839
x13,89619361.6394309,252294224.32052484
x14,11154690.694471542,40558681.698656365
x15,7030662.371300814,16036242.678857604
x16,100774057.17097561,292008336.60582036
x17,41055307.13918699,110967254.78586504
x18,0.07795063827298662,0.07362113679605606
x19,0.014040333966117082,0.020084034882765195
