企业代号,F1,F2,F3,F4,F7,F8,F9,F10
E124,15.69564998141007,15.740457709676026,1.5918043239658088,3.8391518693135085,0.12779277468267186,0.32327919566898683,0.2458052395835809,1.2830272792577464
E125,16.211329120698018,16.028968473017468,2.064334297968762,3.71106430375287,0.12105678233438485,0.30344827586206896,0.23101471887394637,0.7628691068210283
E126,5.109511987508334,11.53066181921387,1.650222167056033,0.015170183687045998,0.4652908067542214,0.25,0.37349399918204457,0.6450402988860757
E127,3.241642750072326,5.2392964877140695,3.2612921236191816,-1.305332733497907,0.3889655172413793,0.46795827123695977,0.43027846635750766,-0.16679643813406295
E128,1.8198167416193434,1.1759945988711167,1.3413543434838904,-0.40475361465189313,0.30757293606455616,0.9808764940239044,0.7268836934228192,0.7119722091773081
E129,14.019199590767789,10.792426023160616,4.55777836306817,0.01959969491424566,0.08789124249130573,0.08406395048994326,0.085998890337728,-0.16742477614623844
E130,2.120131670220773,1.7978650900774802,-0.21844881948410963,1.0475915393730921,0.20762842202399262,0.9232995658465991,0.6691754814414121,5.0
E131,14.002408569182464,9.049096429126662,2.6791495701960595,3.2560056396686052,0.17238943054966793,0.05635491606714628,0.1282458426814957,0.006239442055589697
E132,4.366930356425118,3.8391698452575733,0.7598196571228949,0.5978017187921438,0.2124442721457647,0.22636262513904337,0.21951378866415522,0.38814374412290314
E133,-0.5967019000490208,0.61746308975773,-0.77332857456624,0.05936259192765097,0.22735562310030394,0.8941176470588236,0.6523560937621931,1.9988502061180122
E134,1.4506617103977753,-0.20395876036071775,1.6821749792083982,-0.8467259711358445,0.16106194690265488,0.08045602605863192,0.12730695752632862,0.8181838566264651
E135,0.2670082920225315,0.5843701899023961,-0.0074274080108675,0.11034639484908904,0.5558630231753718,0.25907990314769974,0.433650836934904,0.614734565204333
E136,0.8958664038140037,3.7081245485110452,-1.5834728260928586,1.6710834867224307,0.9875776397515528,0.9793357933579335,0.983465350352838,2.216218270836149
E137,2.667463608705882,3.5358775062385095,-0.544083581796357,1.7367569167277044,0.18530935690338313,0.49606299212598426,0.37444495584326526,0.8494485879499274
E138,-0.6051428744813719,-0.21799023657287758,0.7213747642720608,0.28374332275960695,0.5711538461538461,0.24932975871313673,0.44067110442839474,0.5018008333170392
E139,8.33488304728871,3.2772631129919074,5.7205264070539785,-2.671479084721886,0.4915254237288136,0.20815785368897208,0.37744332966962685,-0.11040260990862161
E140,1.369769001129114,1.7469475717280425,1.1822869943414913,-0.4904919435027721,0.21311475409836064,0.5242603550295858,0.40016672667161624,0.02567226180530144
E141,3.333232349858334,1.4478596560872659,2.870486725409115,-0.39849196553306954,0.16631280962491155,0.10443037974683544,0.13886262070730254,0.40228742142808466
E142,-0.1177664547887201,0.7219377038091378,-0.37709602657165403,0.2499576280494557,0.2696011004126547,0.733739837398374,0.5527471855781387,0.9180689955703807
E143,2.323109752875295,0.47055893861793924,0.43987495501893303,0.9691011142847653,0.22644049542272482,0.6539130434782608,0.4893248238125115,3.384104296935434
E144,0.429359403011362,-0.6750568503444679,0.9231126077712277,-0.09669276076996283,0.21993543179983857,0.5073529411764706,0.3910106143580994,5.0
E145,6.431042689199465,5.3615985053998525,0.8330765671090151,1.0621576549930563,0.13453815261044177,0.17583704050573637,0.15655538847584663,0.13200143238110862
E146,3.754666944042015,5.267598805274273,-0.8053007990276833,1.5416192844218102,0.2953846153846154,0.4311414392059553,0.3695504103681253,0.2944342421489373
E147,8.51494925426315,5.916160214830729,0.5172116462638646,2.9624227313710048,0.1799365715239526,0.3007169970476592,0.24779818611640037,-0.23704941475847735
E148,-2.2388801786638304,-1.2640886510537837,-1.0638393402337938,-0.1420706554490094,0.31868131868131866,0.07829181494661921,0.2320424434926721,5.0
E149,-1.819478321107313,-1.503190693692257,0.6804508294178313,-0.5638546282133812,0.23890784982935154,0.7822185970636215,0.5783350647774455,1.755080824286189
