企业代号,信誉评级,TOPSIS得分,D+,D-
E1,A,0.7197860389345893,0.1472223543551861,0.3781703169924067
E2,A,0.7174714254167637,0.14971875635156007,0.38020556633731356
E3,C,0.598080080300217,0.19768606694819568,0.294168313090145
E4,C,0.6488090393180315,0.18323408527749943,0.3385165070776465
E5,B,0.5086190320661296,0.22970469415231576,0.23776294140620988
E6,A,0.723176423771265,0.1274809119082527,0.33303231776941566
E7,A,0.6279874362231805,0.19318176035576637,0.3261065257020555
E8,A,0.6872027599049318,0.15746314857114338,0.34594012760646414
E9,A,0.41650937062456833,0.2667457904282184,0.1904094425167164
E10,B,0.36025783530401645,0.2932096705190061,0.16511508952072446
E11,C,0.4301799292806425,0.27535114670199684,0.20787358537208547
E12,B,0.4119715366067726,0.28763085747717665,0.20151359641050368
E13,A,0.612785129220275,0.18791388318852784,0.29738227534479894
E14,C,0.5748722116520791,0.1972006100697061,0.2666613656076895
E15,A,0.2587427185838448,0.3433432296781966,0.11984713738258197
E16,A,0.2711574704229487,0.3481208047242617,0.12951434046663649
E17,A,0.5210162582531435,0.21745171163844074,0.23653387888610528
E18,A,0.41612802886090905,0.26269172632926524,0.1872215140306949
E19,A,0.48468742282823435,0.23426629929335233,0.22034380439550083
E20,B,0.44280771594517626,0.2601883011401153,0.20677492325118263
E21,B,0.37226380682912735,0.28869132909331646,0.17120143470877236
E22,A,0.3475858804224049,0.2996859820237859,0.15966334305470273
E23,B,0.5163003320258327,0.2212066522155626,0.2361156740639332
E24,A,0.35667556139598566,0.2972440584429255,0.16479973186401145
E25,C,0.29043185249104836,0.354578277719419,0.14513169639446877
E26,A,0.2845616788602651,0.3566014922610858,0.14183629695128913
E27,A,0.31615781349046657,0.3324694023988239,0.15370915183368405
E28,B,0.26719618672076695,0.37189169589203747,0.13559979340550932
E29,C,0.21771421219950882,0.38901388848992124,0.10826459558024418
E30,B,0.2632829019726733,0.3580203566133196,0.12794686228902866
E31,A,0.27163113224037777,0.3591167113451029,0.13392566039439138
E32,B,0.24024845720308644,0.3666791059687707,0.11595118527273182
E33,B,0.3363598992928021,0.3230453090131788,0.16373255753305535
E34,B,0.32680098126517065,0.31795517125716455,0.15434969799638937
E35,B,0.2804890272454616,0.35801555118056533,0.13956623359034298
E36,D,0.31107340382152376,0.34678461382612136,0.15658485813285627
E37,B,0.3007721593722054,0.34434543120705796,0.14811984864451733
E38,B,0.2676429185606121,0.36429843624129116,0.1331343709921988
E39,C,0.2463597237625432,0.38071341957713006,0.12445255156952376
E40,C,0.3191240482220893,0.3426281797874239,0.16058856928998136
E41,C,0.27595278460194117,0.35987437046056137,0.1371572672099756
E42,A,0.2648858645958977,0.3806970918175596,0.13717771990421998
E43,B,0.2916428919038781,0.37625477484016323,0.15491061258407865
E44,C,0.2825705170448064,0.3457262310064354,0.13616954000097464
E45,B,0.2884968204298273,0.3612031816224626,0.1464588989962605
E46,C,0.305519895086404,0.3389511439910464,0.1491134451139447
E47,C,0.3473811714822946,0.3180423100878165,0.1692901107128497
E48,A,0.29713457307723706,0.3534128152517392,0.14940437376603996
E49,C,0.3054685257566454,0.34532156031451905,0.15187918029325392
E50,C,0.2418985970953676,0.3812704777818638,0.12165759851509145
E51,B,0.26437666767161394,0.3661806876481626,0.13160217784755052
E52,D,0.31123613579486553,0.36200277249038926,0.16358051434554058
E53,C,0.2568711200927284,0.3655190586472117,0.12634590730799752
E54,A,0.32617167209876424,0.33451240226693124,0.16192325007577948
E55,C,0.26251040030183126,0.3634472152331026,0.12936952144624053
E56,C,0.2755682300710626,0.35768065235768487,0.13605895150929295
E57,B,0.26744774914235575,0.36357567636786065,0.1327379703606527
E58,B,0.2755053233423612,0.363726143034986,0.13831501407612232
E59,A,0.2823059894567771,0.35716814763826416,0.1404926175546672
E60,B,0.2844115363860461,0.3688309974811554,0.1465923485892306
E61,B,0.2343070519940503,0.3773790155982422,0.11548045101183863
E62,B,0.25185860806208227,0.38624520659607325,0.1300278044642622
