企业代号,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,F7,F8,F9,F10
E124,8360,8128,543,130,150164582.91,19731054.08,19235208.01,169895636.99,1293,1099,194,41,520691097.82,42394545.17,86299620.86,538007376.38,-35765049.06000006,0.12516039349871685,0.020476903336184772,0.12779277468267186,0.32327919566898683,0.2458052395835809,1.2830272792577464
E125,8360,8128,543,130,150164582.91,19731054.08,19235208.01,169895636.99,1595,1380,215,42,520691097.82,42394545.17,86299620.86,538007376.38,23639301.350000024,0.12461728282228214,0.02001553717497601,0.12105678233438485,0.30344827586206896,0.23101471887394637,0.7628691068210283
E126,533,515,18,3,112773465.19,16045258.44,5187617.01,128818723.63,1516,1264,252,32,520691097.82,17316278.56,86299620.86,538007376.38,254574025.28,0.13177159590043924,0.01708150317227916,0.4652908067542214,0.25,0.37349399918204457,0.6450402988860757
E127,1450,1424,26,2,1646702.46,118856.48,89214.0,1765558.94,4026,3904,122,4,520691097.82,19570221.0,46238497.02,538007376.38,254574025.28,0.02702702702702703,0.001095690284879474,0.3889655172413793,0.46795827123695977,0.43027846635750766,-0.16679643813406295
E128,3222,3134,88,15,8928032.93,432467.02,1427539.93,9360499.95,1255,1161,94,0,242390151.79,8299067.0,13953144.33,250689218.79,241328718.84,0.04065222247040429,0.0033504578959124413,0.30757293606455616,0.9808764940239044,0.7268836934228192,0.7119722091773081
E129,6326,5928,398,29,76126149.46,9451657.36,19235208.01,85577806.82,5817,5181,636,86,324806032.62,42394545.17,49984741.68,374399072.3,254574025.28,0.08515193938894837,0.00947047681791979,0.08789124249130573,0.08406395048994326,0.085998890337728,-0.16742477614623844
E130,3251,3123,128,18,72445153.24,4961822.88,8132960.88,77406976.12,1382,1321,61,21,110036672.88,10107749.25,5587480.0,120144422.13,42737446.00999999,0.04079430174832722,0.008417871789337363,0.20762842202399262,0.9232995658465991,0.6691754814414121,5.0
E131,7077,6527,543,130,111348020.14,13755650.1,13267406.13,125103670.24,3336,3097,239,42,209084031.79,32676565.58,23216789.28,241760597.37,116656927.13000001,0.07577067127628925,0.01651781427062326,0.17238943054966793,0.05635491606714628,0.1282458426814957,0.006239442055589697
E132,5159,5050,109,10,64061771.730000004,6110116.07,4867132.4,70171887.8,1798,1659,139,8,203358261.85,17667972.89,22028069.84,221026234.74,150854346.94,0.035647549230990366,0.00258732212160414,0.2124442721457647,0.22636262513904337,0.21951378866415522,0.38814374412290314
E133,1645,1599,46,2,39108647.88,1550384.16,2394547.0700000003,40659032.04,170,140,30,3,113655014.38,3409650.48,27299100.78,117064664.86,76405632.82,0.0418732782369146,0.0027548209366391185,0.22735562310030394,0.8941176470588236,0.6523560937621931,1.9988502061180122
E134,1695,1664,31,7,3928745.5,366483.89,149700.0,4295229.39,3070,2835,235,58,122815469.98,7368930.2700000005,9539461.61,130184400.25,125889170.86,0.055823714585519414,0.013641133263378805,0.16106194690265488,0.08045602605863192,0.12730695752632862,0.8181838566264651
E135,2891,2847,44,5,24565279.45,1815677.99,1099170.93,26380957.44,413,367,46,14,135537558.52,7758321.61,22702535.73,143295880.13,116914922.69,0.027239709443099273,0.0057506053268765135,0.5558630231753718,0.25907990314769974,0.433650836934904,0.614734565204333
E136,1288,1286,2,1,114520005.26,17590003.99,226460.58000000002,132110009.25,1355,1284,71,4,116652185.36,17913039.64,8247587.1,134565225.0,2455215.75,0.027620128641695045,0.0018917896329928112,0.9875776397515528,0.9793357933579335,0.983465350352838,2.216218270836149
E137,3281,3141,140,37,103268584.53,5032857.25,13310996.43,108301441.78,254,231,23,6,143264372.92,10273700.18,16984139.68,153538073.1,45236631.31999999,0.04611032531824611,0.012164073550212163,0.18530935690338313,0.49606299212598426,0.37444495584326526,0.8494485879499274
E138,520,512,8,25,20785662.73,3089352.78,372625.0,23875015.51,1492,1439,53,12,107831741.03,16309564.92,3882053.25,124141305.95,100266290.44,0.030318091451292245,0.018389662027833,0.5711538461538461,0.24932975871313673,0.44067110442839474,0.5018008333170392
E139,472,457,15,2,1210488.04,83520.91,483633.76,1294008.95,11741,11053,613,32,187713527.39,9394778.16,18633454.31,197108305.55,195814296.60000002,0.04723935610049646,0.0025575447570332483,0.4915254237288136,0.20815785368897208,0.37744332966962685,-0.11040260990862161
E140,2074,2023,51,17,6926522.32,471902.37,601324.65,7398424.69,845,726,119,22,182429033.05,5764632.93,44113965.49,188193665.98,180795241.29,0.05823912298732443,0.013360739979445015,0.21311475409836064,0.5242603550295858,0.40016672667161624,0.02567226180530144
E141,1413,1357,56,3,39177009.15,1871435.01,1901662.21,41048444.16,4740,4458,282,144,159374968.2,2465075.43,8803873.26,161840043.63,120791599.47,0.05493255322606858,0.023890784982935155,0.16631280962491155,0.10443037974683544,0.13886262070730254,0.40228742142808466
E142,727,704,23,11,49328650.86,6671160.97,2091648.74,55999811.83,1476,1366,108,10,97267679.64,9490952.8,6998683.21,106758632.44,50758820.61,0.05946436677258284,0.009532455742169769,0.2696011004126547,0.733739837398374,0.5527471855781387,0.9180689955703807
E143,3714,3579,135,43,32709212.26,3599340.07,1958798.4,36308552.33,1150,1099,51,21,90439864.44,12508662.42,5082621.49,102948526.86,66639974.53,0.038240131578947366,0.013157894736842105,0.22644049542272482,0.6539130434782608,0.4893248238125115,3.384104296935434
E144,2478,2434,44,11,8662197.31,679421.43,230918.4,9341618.74,1360,1245,115,58,104168305.74000001,5277011.56,10543694.14,109445317.3,100103698.56,0.04142782699322564,0.01797811360083377,0.21993543179983857,0.5073529411764706,0.3910106143580994,5.0
E145,2988,2916,72,18,112976762.78,16045011.6,2734837.31,129021774.38,4271,3844,426,80,117569720.06,16468807.7,15758496.57,134038527.76,5016753.38000001,0.06860449097671856,0.013500482160077145,0.13453815261044177,0.17583704050573637,0.15655538847584663,0.13200143238110862
E146,3250,3170,80,8,123019829.79,14308340.32,12398434.86,137328170.11,1612,1416,196,32,131110608.43,12005924.01,20130352.34,143116532.44,5788362.329999983,0.05676676264911559,0.008227067050596462,0.2953846153846154,0.4311414392059553,0.3695504103681253,0.2944342421489373
E147,5991,5603,388,62,147605710.2,8798001.88,9810063.19,156403712.08,2371,2314,57,24,187669783.07,12147320.26,4324646.67,199817103.33,43413391.25,0.0532169337479072,0.010284620904089931,0.1799365715239526,0.3007169970476592,0.24779818611640037,-0.23704941475847735
E148,546,511,35,2,28869945.28,1361156.05,2103759.36,30231101.33,281,270,11,1,80568173.17,4028422.12,4215128.0,84596595.29,54365493.96000001,0.05562273276904474,0.0036275695284159614,0.31868131868131866,0.07829181494661921,0.2320424434926721,5.0
E149,293,285,8,0,566820.35,70629.59,8948.09,637449.9400000001,1226,1147,79,32,101240606.26,5917340.399999999,7488980.84,107157946.66,106520496.72,0.05727452271231073,0.02106649111257406,0.23890784982935154,0.7822185970636215,0.5783350647774455,1.755080824286189
E150,3379,3268,111,16,83207437.35,5091848.72,2885077.5,88299286.07,464,410,54,1,114258375.14,9017054.16,12317740.88,123275429.3,34976143.230000004,0.0429352068696331,0.004423627374447047,0.16809707013909442,0.2629310344827586,0.2206687040378871,0.8107257566998454
