month,fixed_total_cost_yuan,free_total_cost_yuan,free_minus_fixed_yuan,fixed_emergency_cost_yuan,free_emergency_cost_yuan,delta_emergency_cost_yuan,delta_emergency_kWh,fixed_planned_cost_yuan,free_planned_cost_yuan
2025-02,1206627.0208212002,1204751.3829324595,-1875.6378887407482,6496.954084782135,6652.652546272862,155.6984614907269,73.0348070393477,1200130.066736418,1198098.7303861866
2025-03,1121683.2500458818,1121727.336024518,44.08597863605246,26572.272352819004,27028.66246643316,456.3901136141576,199.20385752749644,1095110.9776930627,1094698.6735580848
2025-04,965287.600130887,963772.2557652153,-1515.3443656717427,39292.22914444982,39518.650737848846,226.4215933990272,40.86939959175561,925995.3709864372,924253.6050273663
2025-05,987043.7229047774,985855.170849806,-1188.55205497134,36382.13125290974,39036.187592618255,2654.0563397085134,1267.5172511431647,950661.5916518676,946818.9832571878
2025-06,1397827.7085571964,1396328.2481359753,-1499.460421221098,95567.42357232652,97566.59873462708,1999.1751623005694,1029.8619491676036,1302260.2849848699,1298761.6494013483
2025-07,1489655.6396873968,1487625.0007905327,-2030.6388968641404,51210.85774873988,53164.662204772896,1953.8044560330163,988.7235466126467,1438444.781938657,1434460.3385857597
2025-08,1275973.5867100477,1272927.9901760223,-3045.5965340253897,24235.709625443924,24290.615325804632,54.90570036070858,26.193612349366504,1251737.8770846038,1248637.3748502177
2025-09,1138980.077558625,1137445.7874895062,-1534.2900691188406,47098.38235856405,48590.44501588058,1492.0626573165282,764.3802682242895,1091881.695200061,1088855.3424736254
2025-10,1117818.634269824,1117465.6302484863,-353.0040213377215,15320.747734793475,15320.747734793467,-7.275957614183426e-12,-1.8189894035458565e-12,1102497.8865350306,1102144.8825136928
2025-11,1261370.2070925913,1261899.7938637084,529.5867711170577,1753.1377105335953,1753.1377105335953,0.0,0.0,1259617.0693820578,1260146.6561531748
2025-12,1696600.5741598727,1696667.8087490592,67.23458918649703,44263.77077908564,44038.862568734534,-224.90821035110275,-44.95477859328457,1652336.8033807871,1652628.9461803248
