date,fixed_total_cost_yuan,free_total_cost_yuan,free_minus_fixed_yuan,fixed_planned_cost_yuan,free_planned_cost_yuan,fixed_emergency_cost_yuan,free_emergency_cost_yuan,delta_emergency_kWh,fixed_state_end_kWh,free_state_end_kWh,fixed_nominal_terminal_kWh,free_nominal_terminal_kWh
2025-02-01,23542.794649841628,21325.711316508296,-2217.083333333332,23542.794649841628,21325.711316508296,0.0,0.0,0.0,7269.76577278695,2729.5796900631467,6000.0,1200.0
2025-02-02,58828.13693866192,58773.83891520875,-54.29802345317148,58828.13693866192,58773.83891520875,0.0,0.0,0.0,7129.7726504980155,2592.7886263024925,6000.0,1200.0
2025-02-03,55134.997484899905,55079.65107600254,-55.34640889736329,55134.997484899905,55079.65107600254,0.0,0.0,0.0,6298.396052752799,1670.9596816936446,6000.0,1200.0
2025-02-04,55661.787179826,55653.33490448688,-8.452275339121115,55661.787179826,55653.33490448688,0.0,0.0,0.0,6557.857982118015,1827.112651523065,6000.0,1200.0
2025-02-05,56394.903124768935,56434.812753534745,39.90962876581034,54467.03550158214,54506.94513034795,1927.8676231867933,1927.8676231867933,0.0,6375.790636107738,1743.0075372189879,6000.0,1200.0
2025-02-06,55979.01461471891,55972.78929299682,-6.225321722085937,55856.03429408558,55849.80897236349,122.98032063333395,122.98032063333395,0.0,6441.355769666296,1743.9511937583168,6000.0,1200.0
2025-02-07,22727.821357504967,22752.265607696336,24.444250191369065,22727.821357504967,22752.265607696336,0.0,0.0,0.0,6550.013888855438,1910.5593546216217,6000.0,1200.0
2025-02-08,20931.495392884368,20927.710721263993,-3.7846716203748656,20931.495392884368,20927.710721263993,0.0,0.0,0.0,6584.947409231337,1897.1746645652693,6000.0,1200.0
2025-02-09,55729.10881610919,55748.317188697576,19.208372588385828,55729.10881610919,55748.317188697576,0.0,0.0,0.0,6620.367931235481,2028.0999118192897,6000.0,1200.0
2025-02-10,55882.71716342737,55856.02528369236,-26.691879735008115,55882.71716342737,55856.02528369236,0.0,0.0,0.0,6538.441540633133,1885.756771064487,6000.0,1200.0
2025-02-11,54698.14041801574,54700.74317596304,2.602757947301143,54698.14041801574,54700.74317596304,0.0,0.0,0.0,6555.912287229041,1987.5519279209175,6000.0,1200.0
2025-02-12,54163.43064196798,54125.56630083191,-37.864341136068106,54163.43064196798,54125.56630083191,0.0,0.0,0.0,6484.364071057755,1849.7596169643507,6000.0,1200.0
2025-02-13,53383.33032185642,53377.506944392575,-5.823377463842917,53383.33032185642,53377.506944392575,0.0,0.0,0.0,6513.634385005302,1856.9242248530686,6000.0,1200.0
2025-02-14,19398.35180103078,19394.93751482373,-3.414286207051191,19398.35180103078,19394.93751482373,0.0,0.0,0.0,6471.869410520874,1863.6178046127966,6000.0,1200.0
2025-02-15,19834.058219527094,19805.171542406064,-28.886677121030516,18425.783143059452,18396.896465938422,1408.2750764676427,1408.2750764676427,0.0,5992.877046101223,1284.249861540396,6000.0,1200.0
2025-02-16,50890.18022716299,50921.7046412926,31.524414129606157,50773.194612355815,50804.71902648542,116.98561480717738,116.98561480717738,0.0,6170.321346236437,1449.7456891619897,6000.0,1200.0
2025-02-17,51239.334850922576,51275.95167031906,36.61681939648406,51239.334850922576,51275.95167031906,0.0,0.0,0.0,6175.79592040535,1470.5151664984548,6000.0,1200.0
2025-02-18,50342.294935820566,50371.5660314472,29.271095626630995,50331.35530541002,50360.62640103665,10.939630410544803,10.939630410544803,0.0,6452.124655292502,1799.594589478329,6000.0,1200.0
2025-02-19,49393.7874456354,49509.72537846602,115.93793283062405,49171.89976992526,49174.80246461065,221.88767571013813,334.9229138553727,52.967061745895194,5914.22819394251,1200.0,6000.0,1200.0
2025-02-20,49854.638568131566,49889.12550611824,34.486937986672274,49824.251179809056,49858.73811779573,30.387388322510606,30.387388322510606,0.0,6453.068415087706,1792.6925587007204,6000.0,1200.0
2025-02-21,18414.538638879956,18409.56975112082,-4.968887759136123,18414.538638879956,18409.56975112082,0.0,0.0,0.0,6442.716351457579,1703.9784778190506,6000.0,1200.0
2025-02-22,18006.043235723762,18037.102106122245,31.058870398483123,18006.043235723762,18037.102106122245,0.0,0.0,0.0,6161.187400814081,1456.3127176840278,6000.0,1200.0
2025-02-23,47341.338279437594,47413.130031910594,71.79175247300009,47259.57249302515,47288.701022152665,81.76578641243918,124.42900975793133,20.067745293452575,6036.653208279107,1305.8688876788365,6000.0,1200.0
2025-02-24,48549.507807176684,48591.48984089255,41.982033715867146,48504.98908106655,48546.97111478242,44.51872611013148,44.51872611013148,0.0,6144.254512107104,1420.6971152763676,6000.0,1200.0
2025-02-25,47821.15379073407,47859.29154555072,38.13775481664925,47545.04695183861,47583.18470665526,276.10683889546067,276.10683889546067,0.0,6123.427212234344,1388.7002197511836,6000.0,1200.0
2025-02-26,47483.695893656615,47527.25793741254,43.562043755926425,45845.76852493698,45889.33056869291,1637.9273687196346,1637.9273687196346,0.0,6167.202382618756,1469.403390823494,6000.0,1200.0
2025-02-27,47225.479131471846,47251.19701784802,25.717886376172828,46608.16709636552,46633.88498274169,617.3120351063287,617.3120351063287,0.0,6398.547682128132,1740.8468802113564,6000.0,1200.0
2025-02-28,17774.939891405455,17765.888935453204,-9.05095595225066,17774.939891405455,17765.888935453204,0.0,0.0,0.0,6416.908257428585,1732.8664206094838,6000.0,1200.0
