strategy_id,terminal_mode,date,next_date,day_end_actual_kWh,day_end_nominal_kWh,next_emergency_0_6h_kWh,next_emergency_0_6h_cost_yuan
T_fixed6000,fixed6000,2025-02-01,2025-02-02,7269.76577278695,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-02,2025-02-03,7129.7726504980155,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-03,2025-02-04,6298.396052752799,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-04,2025-02-05,6557.857982118015,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-05,2025-02-06,6375.790636107738,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-06,2025-02-07,6441.355769666296,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-07,2025-02-08,6550.013888855438,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-08,2025-02-09,6584.947409231337,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-09,2025-02-10,6620.367931235481,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-10,2025-02-11,6538.441540633133,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-11,2025-02-12,6555.912287229041,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-12,2025-02-13,6484.364071057755,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-13,2025-02-14,6513.634385005302,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-14,2025-02-15,6471.869410520874,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-15,2025-02-16,5992.877046101223,6000.0,25.71394984221945,116.98561480717738
T_fixed6000,fixed6000,2025-02-16,2025-02-17,6170.321346236437,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-17,2025-02-18,6175.79592040535,6000.0,2.404578615352193,10.939630410544803
T_fixed6000,fixed6000,2025-02-18,2025-02-19,6452.124655292502,6000.0,1.3742213641319267,6.252020096118201
T_fixed6000,fixed6000,2025-02-19,2025-02-20,5914.22819394251,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-20,2025-02-21,6453.068415087706,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-21,2025-02-22,6442.716351457579,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-22,2025-02-23,6161.187400814081,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-23,2025-02-24,6036.653208279107,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-24,2025-02-25,6144.254512107104,6000.0,30.75640980227729,139.92628639546052
T_fixed6000,fixed6000,2025-02-25,2025-02-26,6123.427212234344,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-26,2025-02-27,6167.202382618756,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-27,2025-02-28,6398.547682128132,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-02-28,2025-03-01,6416.908257428585,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-01,2025-03-02,6388.515022694478,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-02,2025-03-03,5812.363131983408,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-03,2025-03-04,5981.891288653128,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-04,2025-03-05,6051.712449469428,6000.0,3.286666666666747,14.952690000000366
T_fixed6000,fixed6000,2025-03-05,2025-03-06,6207.694424206292,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-06,2025-03-07,6245.872426251826,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-07,2025-03-08,6618.315345864207,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-08,2025-03-09,6453.425180505491,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-09,2025-03-10,6303.979497662709,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-10,2025-03-11,6429.316328115558,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-11,2025-03-12,6710.97307391004,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-12,2025-03-13,6305.521082990219,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-13,2025-03-14,6199.368568911731,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-14,2025-03-15,6820.662398053062,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-15,2025-03-16,6194.184765885964,6000.0,1.6400000000001,7.461180000000455
T_fixed6000,fixed6000,2025-03-16,2025-03-17,6631.011839074956,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-17,2025-03-18,6629.295022936175,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-18,2025-03-19,6534.037559423573,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-19,2025-03-20,6709.155209581985,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-20,2025-03-21,6376.037124884051,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-21,2025-03-22,6416.908065115409,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-22,2025-03-23,6911.710565340052,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-23,2025-03-24,6353.674263095515,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-24,2025-03-25,6294.667431111119,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-25,2025-03-26,6288.369630362811,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-26,2025-03-27,6484.356224016547,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-27,2025-03-28,6453.366699680413,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-28,2025-03-29,6742.525303475746,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-29,2025-03-30,6512.185217398835,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-30,2025-03-31,6608.307833566644,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-03-31,2025-04-01,6518.481623081518,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-01,2025-04-02,6249.685548532568,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-02,2025-04-03,6483.236448242529,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-03,2025-04-04,6493.017567850604,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-04,2025-04-05,6748.587845172052,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-05,2025-04-06,6388.634427549167,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-06,2025-04-07,6290.230092790191,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-07,2025-04-08,6560.290508851604,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-08,2025-04-09,6111.5119219954495,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-09,2025-04-10,6198.559289859455,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-10,2025-04-11,6588.122745674131,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-11,2025-04-12,6478.475575047622,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-12,2025-04-13,6701.099546595183,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-13,2025-04-14,6539.545737666105,6000.0,0.0,0.0
T_fixed6000,fixed6000,2025-04-14,2025-04-15,6319.526192927416,6000.0,0.0,0.0
