province,emission_total_mtco2,carbon_intensity_tco2_per_10k_yuan,per_capita_emission_tco2_per_person,industrial_emission_share_pct
山东,920.905304452066,1.0532444115144444,9.061352990771091,90.51025816190496
内蒙古,878.769744615783,3.794571971603564,36.60015596067401,94.5378110525346
河北,862.273721856768,2.0350851581688345,11.620939647665336,92.9924896142542
江苏,821.345905674838,0.6684369440921045,9.645870882851884,90.81163546437216
山西,629.336654408677,2.4542622604910465,18.079191450981813,94.88504259666844
广东,619.353860410031,0.4796782651066778,4.893370154144197,82.48788999703434
河南,528.975824777069,0.8622951544248343,5.358345064597539,80.57124111887128
辽宁,525.713479151335,1.814362950089336,12.525934695052062,87.39095757407
新疆,524.476393687672,2.956245560853332,20.273536671344107,92.54192663069676
浙江,460.894579359081,0.5930543744985949,7.007671877133662,85.40947086318596
安徽,441.077218568729,0.9791924044149828,7.198910046821103,88.73277854133082
湖北,372.810249713111,0.6937953726779262,6.379367722674726,76.77413319550035
陕西,365.526129061286,1.1153372442956668,9.239790926726135,91.67363213810565
四川,307.863676214341,0.5424929712780328,3.676423169504909,73.28526505813903
湖南,307.058038080964,0.63089277688485,4.649576591171472,69.59640988147294
福建,299.219512343733,0.5633968663916389,7.144687496268697,87.53724594404613
广西,279.107504323731,1.0612089484532126,5.53016652117557,89.16110389200524
黑龙江,273.293395891859,1.7187182937668009,8.818760758046434,80.97469597706241
贵州,251.866531099655,1.2490529497220626,6.531808379140431,71.2877572670298
宁夏,247.423050285139,4.880524110090322,33.986682731475135,97.35198201545234
江西,223.645074946473,0.6972631854591719,4.939158015602319,83.31681402233642
云南,220.046746229424,0.7599821311914126,4.688829026836224,78.8531396625262
甘肃,195.741193567455,1.7474395940531264,7.854783048453251,86.69798565093024
吉林,186.839588764021,1.4295082612662466,7.957393047871422,89.76687286312122
上海,178.588614209177,0.3999494190939358,7.215701584209172,66.00659541471659
重庆,162.055223095746,0.5563363764487143,5.043735546086087,78.56470566274301
天津,152.678504319368,0.9360290370440614,11.20165108726104,82.22181745749597
北京,71.5544670473354,0.1719608733464918,3.276303436233305,48.70836811282897
青海,55.3334344741701,1.5327396602357304,9.299736886415143,75.50165078208191
海南,44.6919345401215,0.6554799586418923,4.351697618317576,73.99223651279637
