month,planned_kWh,emergency_kWh,unused_kWh,charge_kWh,discharge_kWh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_slots,emergency_events,delta_total_cost_yuan_vs_A
2025-02,1965486.396393644,7201.368575499999,140928.0777203704,610954.3748847735,493074.35970266664,1190448.118337275,41334.937584121,1231783.055921396,86,38,-1199.5173715332057
2025-03,1895369.8130153497,8179.2952943333175,256344.78420622632,636245.5665094218,515358.90887263167,1126630.3751016317,47076.8923049029,1173707.2674065346,50,15,-70562.91113212775
2025-04,1603602.552078613,8711.292935298348,280789.09296502057,598921.8581520575,485126.70510316663,930441.1187925433,55521.83771827729,985962.9565108207,49,20,-81065.74334736471
2025-05,1673126.958924755,11566.136296166651,389562.80634469807,570104.33636609,461784.5124565329,991466.2007321124,75908.90302003565,1067375.103752148,49,16,-91619.02572222496
2025-06,2185273.643601671,21838.01965216666,349223.54364309355,567868.1759337398,459973.2225063292,1352268.3527875682,139938.73113951585,1492207.0839270842,122,34,-193886.8338297333
2025-07,2407666.2709519444,34597.373477162524,386337.3128668704,584774.0633977365,473666.99135216663,1510520.8251366897,218954.3270502192,1729475.152186909,188,49,-127057.8836878587
2025-08,2002447.0090925412,10927.619706681053,312954.05172733584,612145.8568695777,495838.14406435797,1249884.7526060834,72316.07176377969,1322200.824369863,101,43,-59704.98248265288
2025-09,1868896.4818714175,12672.778255333333,383600.5447551441,576762.3585347736,467177.51041316666,1147973.6472679554,80850.95665749366,1228824.6039254488,61,24,-38750.14533955697
2025-10,1864836.81658043,6692.821028333333,275812.0497254301,634652.6149999999,514068.61814999994,1121216.3244510703,41646.995865205,1162863.3203162753,56,22,-61400.042988728266
2025-11,2024296.1247778435,4948.65662714666,114331.38405824076,668110.4703337695,541169.4809703534,1235110.4624443802,29355.4587117981,1264465.9211561782,49,27,-93256.93706680997
2025-12,2651322.83961358,18038.659107666652,170279.78668806594,711442.5811755143,576397.8053756666,1653544.8505480227,98274.21145341708,1751819.0620014397,82,29,-149180.03617984336
