strategy_id,target,date,slot,forecast_kW
G0_naive_gate,load,2025-01-01,0,
G0_naive_gate,load,2025-01-01,1,
G0_naive_gate,load,2025-01-01,2,
G0_naive_gate,load,2025-01-01,3,
G0_naive_gate,load,2025-01-01,4,
G0_naive_gate,load,2025-01-01,5,
G0_naive_gate,load,2025-01-01,6,
G0_naive_gate,load,2025-01-01,7,
G0_naive_gate,load,2025-01-01,8,
G0_naive_gate,load,2025-01-01,9,
G0_naive_gate,load,2025-01-01,10,
G0_naive_gate,load,2025-01-01,11,
G0_naive_gate,load,2025-01-01,12,
G0_naive_gate,load,2025-01-01,13,
G0_naive_gate,load,2025-01-01,14,
G0_naive_gate,load,2025-01-01,15,
G0_naive_gate,load,2025-01-01,16,
G0_naive_gate,load,2025-01-01,17,
G0_naive_gate,load,2025-01-01,18,
G0_naive_gate,load,2025-01-01,19,
G0_naive_gate,load,2025-01-01,20,
G0_naive_gate,load,2025-01-01,21,
G0_naive_gate,load,2025-01-01,22,
G0_naive_gate,load,2025-01-01,23,
G0_naive_gate,load,2025-01-01,24,
G0_naive_gate,load,2025-01-01,25,
G0_naive_gate,load,2025-01-01,26,
G0_naive_gate,load,2025-01-01,27,
G0_naive_gate,load,2025-01-01,28,
G0_naive_gate,load,2025-01-01,29,
G0_naive_gate,load,2025-01-01,30,
G0_naive_gate,load,2025-01-01,31,
G0_naive_gate,load,2025-01-01,32,
G0_naive_gate,load,2025-01-01,33,
G0_naive_gate,load,2025-01-01,34,
G0_naive_gate,load,2025-01-01,35,
G0_naive_gate,load,2025-01-01,36,
G0_naive_gate,load,2025-01-01,37,
G0_naive_gate,load,2025-01-01,38,
G0_naive_gate,load,2025-01-01,39,
G0_naive_gate,load,2025-01-01,40,
G0_naive_gate,load,2025-01-01,41,
G0_naive_gate,load,2025-01-01,42,
G0_naive_gate,load,2025-01-01,43,
G0_naive_gate,load,2025-01-01,44,
G0_naive_gate,load,2025-01-01,45,
G0_naive_gate,load,2025-01-01,46,
G0_naive_gate,load,2025-01-01,47,
G0_naive_gate,load,2025-01-01,48,
G0_naive_gate,load,2025-01-01,49,
G0_naive_gate,load,2025-01-01,50,
G0_naive_gate,load,2025-01-01,51,
G0_naive_gate,load,2025-01-01,52,
G0_naive_gate,load,2025-01-01,53,
G0_naive_gate,load,2025-01-01,54,
G0_naive_gate,load,2025-01-01,55,
G0_naive_gate,load,2025-01-01,56,
G0_naive_gate,load,2025-01-01,57,
G0_naive_gate,load,2025-01-01,58,
G0_naive_gate,load,2025-01-01,59,
G0_naive_gate,load,2025-01-01,60,
G0_naive_gate,load,2025-01-01,61,
G0_naive_gate,load,2025-01-01,62,
G0_naive_gate,load,2025-01-01,63,
G0_naive_gate,load,2025-01-01,64,
G0_naive_gate,load,2025-01-01,65,
G0_naive_gate,load,2025-01-01,66,
G0_naive_gate,load,2025-01-01,67,
G0_naive_gate,load,2025-01-01,68,
G0_naive_gate,load,2025-01-01,69,
G0_naive_gate,load,2025-01-01,70,
G0_naive_gate,load,2025-01-01,71,
G0_naive_gate,load,2025-01-01,72,
G0_naive_gate,load,2025-01-01,73,
G0_naive_gate,load,2025-01-01,74,
G0_naive_gate,load,2025-01-01,75,
G0_naive_gate,load,2025-01-01,76,
G0_naive_gate,load,2025-01-01,77,
G0_naive_gate,load,2025-01-01,78,
G0_naive_gate,load,2025-01-01,79,
G0_naive_gate,load,2025-01-01,80,
G0_naive_gate,load,2025-01-01,81,
