strategy_id,month,total_cost_yuan,delta_total_cost_yuan,delta_planned_cost_yuan,delta_emergency_cost_yuan,delta_unused_kWh,delta_planned_kWh
G0_naive_gate,2025-02,1219879.7041334542,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-03,1149994.9091606755,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-04,964037.209157063,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-05,1032151.610702135,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-06,1458239.8913894414,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-07,1701429.285325879,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-08,1298899.1085926334,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-09,1168429.0905961152,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-10,1138824.8336579895,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-11,1273083.145656503,0.0,0.0,0.0,0.0,0.0
G0_naive_gate,2025-12,1753391.7453709256,0.0,0.0,0.0,0.0,0.0
G1_ridge_gate,2025-02,1210085.3278647468,-9794.376268707449,-10211.131624136586,416.75535542910893,-13281.245150353672,-12657.17186776339
G1_ridge_gate,2025-03,1137958.817248981,-12036.0919116945,-30482.05969210062,18445.96778040613,-45974.13366988447,-46274.01490440359
G1_ridge_gate,2025-04,970341.6518661525,6304.44270908949,-34267.59182198194,40572.03453107138,-49534.93452027108,-54913.67639391497
G1_ridge_gate,2025-05,992125.8113438659,-40025.79935826908,-26156.469929024344,-13869.329429244797,-40195.56592651637,-36440.08272283664
G1_ridge_gate,2025-06,1401575.6553197857,-56664.236069655744,-38647.70975891268,-18016.52631074295,-56079.40156050332,-51876.02973550721
G1_ridge_gate,2025-07,1483229.5683549305,-218199.7169709485,-49984.490047450876,-168215.22692349786,-95936.07064778579,-62328.245343335904
G1_ridge_gate,2025-08,1287658.765513566,-11240.343079067301,-22367.177451427095,11126.834372359535,-30463.480072338425,-31785.45278603118
G1_ridge_gate,2025-09,1143566.9879594233,-24862.10263669188,-56947.43270642962,32085.33006973768,-77215.11961049523,-80670.65085746069
G1_ridge_gate,2025-10,1130200.1754909765,-8624.658167012967,-30147.16879889276,21522.510631879617,-32192.85557800476,-33236.08795822505
G1_ridge_gate,2025-11,1268250.6251933018,-4832.520463201217,-6018.163716760464,1185.6432535591966,-8633.831302714796,-8877.03416324826
G1_ridge_gate,2025-12,1699599.8923270893,-53791.85304383631,-15750.104310984956,-38041.748732851454,-36033.16839356566,-27582.190681467764
G2_lightgbm_gate,2025-02,1214013.5064291966,-5866.197704257676,-8743.084452697542,2876.88674844002,-8102.043397497357,-7962.489565497264
G2_lightgbm_gate,2025-03,1123854.033478368,-26140.875682307407,-29868.839027998503,3727.9633456909614,-46736.366660009924,-44190.80427362048
G2_lightgbm_gate,2025-04,963287.4215100064,-749.7876470566262,-33036.06957617961,32286.28192912294,-47578.521919186576,-51876.841033311095
G2_lightgbm_gate,2025-05,989459.2514672009,-42692.35923493409,-22571.528209781973,-20120.831025152154,-33739.773431212874,-29819.952429561643
G2_lightgbm_gate,2025-06,1397055.683043879,-61184.20834556245,-33740.40461844159,-27443.803727121005,-49096.51879157257,-43462.971304743085
G2_lightgbm_gate,2025-07,1489747.6791522892,-211681.60617358983,-62306.17002236587,-149375.4361512242,-110270.16215272961,-77684.3601381313
G2_lightgbm_gate,2025-08,1285595.5196007867,-13303.588991846656,-29328.109777819132,16024.520785972254,-40362.523042608285,-42764.241083000554
G2_lightgbm_gate,2025-09,1138632.1899729108,-29796.90062320442,-49894.84838561388,20097.947762409556,-68880.23274718766,-69528.68456439464
G2_lightgbm_gate,2025-10,1119204.9885449456,-19619.845113043906,-35414.22778836219,15794.382675318311,-43966.035236144526,-44109.564426203026
G2_lightgbm_gate,2025-11,1262802.9148586593,-10280.230797843775,-9681.031394121936,-599.1994037219372,-14934.511915938725,-14731.236062753014
G2_lightgbm_gate,2025-12,1696348.2325794634,-57043.51279146224,-25781.4241810753,-31262.08861038711,-45776.77729642487,-37730.60808175383
