因素,类别,人数,平均得分,得分标准差,I级人数,II级人数,III级人数,IV级人数
性别,男,21,26.748451,22.516514,5,6,6,4
性别,女,14,22.709513,17.548894,2,4,5,3
学位,博士,30,24.565660,21.752591,6,7,11,6
学位,硕士,5,28.536174,11.076781,1,3,0,1
职称,讲师,15,15.269811,11.571391,1,3,7,4
职称,教授,9,48.165530,23.740860,5,4,0,0
职称,副教授,11,19.737612,11.588408,1,3,4,3
研究方向大类,基础数学与方程类,10,21.064269,16.807238,2,2,4,2
研究方向大类,优化运筹类,7,42.881922,21.447792,4,3,0,0
研究方向大类,算法数据类,9,23.201059,25.701100,1,3,1,4
研究方向大类,代数密码类,6,20.108793,11.760708,0,2,4,0
研究方向大类,图像处理类,3,13.124078,2.615390,0,0,2,1
