教师编号,队号,匹配得分,条件满足率,条件完全满足,专业偏好满足率,队伍质量,条件明细,选队次序,教师研究方向,教师选队条件,队员专业,队员年级,参赛经历,专业排名,队员特长
7,28,94.652508,1.000000,True,1.000000,73.262542,三人均有参赛经历:1.00,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,应数/自动化/智能,2/2/2,1/1/1,20/60/1/69/1/65,建模/编程/写作
7,3,68.381226,0.666667,False,1.000000,58.572797,三人均有参赛经历:0.67,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,材成/材成/材成,1/2/2,0/1/2,40/60/20/58/23/58,建模/写作/编程
7,106,95.436158,1.000000,True,1.000000,77.180791,三人均有参赛经历:1.00,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,冶金/冶金/冶金,3/3/2,1/1/1,1/59/20/59/6/60,建模/写作/编程
7,46,69.312495,0.666667,False,1.000000,63.229143,三人均有参赛经历:0.67,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,智能/应化/给排水,2/2/3,1/0/1,8/65/15/41/65/125,建模/编程/写作
7,103,94.060341,1.000000,True,1.000000,70.301705,三人均有参赛经历:1.00,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,智能/智能/计算机,3/2/3,1/1/1,2/63/40/65/51/128,建模/编程/写作
7,36,96.225014,1.000000,True,1.000000,81.125070,三人均有参赛经历:1.00,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,工程管理/工程管理/计算机,3/3/3,1/1/1,2/37/10/37/1/128,写作/建模/编程
7,166,43.032377,0.333333,False,1.000000,48.495219,三人均有参赛经历:0.33,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,冶金/冶金/冶金,1/3/3,0/0/1,30/52/28/59/13/59,建模/建模/写作
7,78,93.015835,1.000000,True,1.000000,65.079177,三人均有参赛经历:1.00,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,大数据/电子信息/土木,2/2/2,1/1/1,7/60/60/94/96/310,建模/编程/写作
7,100,69.636393,0.666667,False,1.000000,64.848631,三人均有参赛经历:0.67,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,应数/环工/环工,2/2/1,1/1/0,16/60/2/45/6/46,建模/编程/写作
7,112,95.515954,1.000000,True,1.000000,77.579772,三人均有参赛经历:1.00,1,算法设计与分析,专业不限，专业排名不限，队员均具有参赛经历,智能/建环/智能,3/3/2,1/1/1,12/63/2/126/14/65,建模/写作/编程
